ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
4907742;86830462;5355;128736444;1;0;0;2025-10-01;2019-04-18;2079-06-06;0;11.4591.4971.5355.86830462
4908009;86884109;5355;128807025;1;0;247052745;2025-09-29;2019-04-18;2025-09-29;0;11.4591.4971.5355.86884109
4908257;88768119;5355;131135693;1;0;0;2025-10-01;2019-04-18;2079-06-06;0;11.4591.4971.5355.88768119
115585620;98412233;98363315;156783832;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98412233
115586786;98413359;98363315;156785398;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98413359
115585634;98412247;98363315;156783855;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98412247
115585653;98412266;98363315;156783878;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98412266
115585668;98412281;98363315;156783904;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98412281
115585680;98412293;98363315;156783924;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98412293
115585689;98412302;98363315;156783946;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98412302
115585702;98412315;98363315;156783975;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98412315
115586744;98413318;98363315;156785333;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98413318
115586768;98413342;98363315;156785371;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98413342
115586777;98413350;98363315;156785386;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98413350
115586896;98413467;98363315;156785546;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98413467
115586935;98413506;98363315;156785592;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98413506
115586952;98413521;98363315;156785614;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98413521
115586962;98413531;98363315;156785629;1;0;0;2025-09-29;2020-09-24;2079-06-06;0;11.2122.1961.98363315.98413531
228988445;159604346;3961;507693172;1;0;247030578;2025-09-29;2023-08-07;2025-09-29;0;11.4042.3954.3961.159604346
247033862;174920997;4545;689648001;1;0;0;2025-09-29;2025-09-29;2079-06-06;1;11.4042.3954.4545.174920997
247033863;174920998;4488;689648006;1;0;0;2025-09-29;2025-09-29;2079-06-06;1;11.4042.3954.4488.174920998
247033887;174921022;7610156;689648045;1;0;0;2025-09-29;2025-09-29;2079-06-06;1;11.4042.3954.5374.7610156.174921022
247034015;174921150;4318;689648179;1;0;0;2025-09-29;2025-09-29;2079-06-06;1;11.4042.3380.3876.4318.174921150
