ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
493507610;86884109;128807025;689688248;15;48;2025-09-29;2015-11-02;2025-09-29
1644463604;174920997;689648001;0;2;0100;2025-09-29;2025-09-29;2079-06-06
1644463606;174920997;689648001;0;4;0107;2025-09-29;2025-09-29;2079-06-06
1644463608;174920997;689648001;0;7;79630159051;2025-09-29;2025-09-29;2079-06-06
1644463610;174920997;689648001;0;15;52;2025-09-29;2025-09-29;2079-06-06
1644463612;174920997;689648001;0;21;79630159;2025-09-29;2025-09-29;2079-06-06
1644463688;174921004;689648022;0;2;0100;2025-09-29;2025-09-29;2079-06-06
1644463690;174921004;689648022;0;4;0107;2025-09-29;2025-09-29;2079-06-06
1644463692;174921004;689648022;0;7;79630159051;2025-09-29;2025-09-29;2079-06-06
1644463694;174921004;689648022;0;15;371;2025-09-29;2025-09-29;2079-06-06
1644463696;174921004;689648022;0;21;79630159;2025-09-29;2025-09-29;2079-06-06
1644463619;174920998;689648006;0;2;0100;2025-09-29;2025-09-29;2079-06-06
1644463621;174920998;689648006;0;4;0107;2025-09-29;2025-09-29;2079-06-06
1644463623;174920998;689648006;0;7;79630159051;2025-09-29;2025-09-29;2079-06-06
1644463625;174920998;689648006;0;15;92;2025-09-29;2025-09-29;2079-06-06
1644463627;174920998;689648006;0;21;79630159;2025-09-29;2025-09-29;2079-06-06
1644463743;174921009;689648031;0;2;0100;2025-09-29;2025-09-29;2079-06-06
1644463745;174921009;689648031;0;4;0107;2025-09-29;2025-09-29;2079-06-06
1644463747;174921009;689648031;0;7;79630159051;2025-09-29;2025-09-29;2079-06-06
1644463749;174921009;689648031;0;15;249;2025-09-29;2025-09-29;2079-06-06
1644463751;174921009;689648031;0;21;79630159;2025-09-29;2025-09-29;2079-06-06
1644464499;174921167;689648199;0;2;0100;2025-09-29;2025-09-29;2079-06-06
1644464501;174921167;689648199;0;4;0107;2025-09-29;2025-09-29;2079-06-06
1644464503;174921167;689648199;0;7;79630159051;2025-09-29;2025-09-29;2079-06-06
1644464505;174921167;689648199;0;15;48;2025-09-29;2025-09-29;2079-06-06
1644464507;174921167;689648199;0;21;79630159;2025-09-29;2025-09-29;2079-06-06
1644496583;174926059;689655720;0;2;0100;2025-09-29;2025-09-29;2079-06-06
1644496585;174926059;689655720;0;4;0104;2025-09-29;2025-09-29;2079-06-06
1644496587;174926059;689655720;0;7;79622447106;2025-09-29;2025-09-29;2079-06-06
1644496589;174926059;689655720;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644496591;174926059;689655720;0;21;79622447;2025-09-29;2025-09-29;2079-06-06
1644511917;174928437;689664301;0;2;0100;2025-09-29;2025-09-29;2079-06-06
1644511919;174928437;689664301;0;4;0101;2025-09-29;2025-09-29;2079-06-06
1644511921;174928437;689664301;0;7;79615420101;2025-09-29;2025-09-29;2079-06-06
1644511923;174928437;689664301;0;15;21;2025-09-29;2025-09-29;2079-06-06
1644511925;174928437;689664301;0;21;79615420;2025-09-29;2025-09-29;2079-06-06
1644511927;174928438;689664302;0;2;0100;2025-09-29;2025-09-29;2079-06-06
1644511929;174928438;689664302;0;4;0101;2025-09-29;2025-09-29;2079-06-06
1644511931;174928438;689664302;0;7;79615420101;2025-09-29;2025-09-29;2079-06-06
1644511933;174928438;689664302;0;15;22;2025-09-29;2025-09-29;2079-06-06
