ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
54538876;26176840;2c92be15-55e8-4020-99ef-40f5619cb34c;40443624;5;2;20;15523264;129183254;2025-09-30;2014-01-04;2025-09-30;0;0
54644531;46415138;2e137f99-15f3-4a96-ac8e-27af3acf4077;69865014;36;2;20;27740247;129176964;2025-09-30;2018-09-06;2025-09-30;0;0
54900903;11043202;31aeccc7-3e44-4c95-b87d-fb0d5476af71;18031241;33а;2;20;5859828;129182904;2025-09-30;2019-08-29;2025-09-30;0;0
55080740;80929358;3439ebaf-df7c-41af-88b1-1e702e9d0030;120275425;55;2;20;48972534;129171620;2025-09-29;2019-05-23;2025-09-29;0;0
55345086;8558938;37f6e0c8-1fc2-418b-a43b-8c7ea2841a9c;14429006;20;2;20;4361530;129186605;2025-10-01;2018-09-21;2025-10-01;0;0
56323208;34922313;45c570d2-11c3-4304-b752-41660dab978b;53124638;1;2;20;20771974;129165134;2025-09-29;2014-01-04;2025-09-29;0;0
56556212;6799747;49102525-62ec-4e62-94e8-3d99f20655db;11835027;16;2;20;3253770;129176912;2025-09-30;2018-08-07;2025-09-30;0;0
56885085;83760672;4db68329-1ff6-4b25-89fe-7002ccdaf8c3;124427096;9;2;20;50710259;129177009;2025-09-30;2018-09-06;2025-09-30;0;0
57294442;18395162;537b049a-e779-4075-ac6f-d5b811b339a4;28959920;25;2;20;10609727;129165338;2025-09-29;2014-01-04;2025-09-29;0;0
57551353;13787716;571bb6d8-71fc-466b-8d9b-5592b912ae12;22097702;9;2;20;7604177;129188707;2025-10-01;2014-01-04;2025-10-01;0;0
58002415;46515433;5d7b1912-32bd-4227-a828-90a761f14ed9;70009407;24;2;20;27802478;129176963;2025-09-30;2018-09-06;2025-09-30;0;0
58244514;45643133;60e147c8-d776-4188-8540-6365f82e2817;68745916;13;2;20;27270243;129164979;2025-09-29;2018-08-13;2025-09-29;0;0
58524006;37908886;64d404a2-8eb2-4206-afd2-825d60e38272;57484486;10;2;20;22617132;129175734;2025-09-30;2018-11-22;2025-09-30;0;0
58752481;30631038;680f14fa-8660-4d93-a6d8-236917a904c7;46898656;7;2;20;18173850;129172448;2025-09-29;2014-01-04;2025-09-29;0;0
58779043;66880443;68693788-e9ce-4859-92ae-5540007191bc;99738626;34;2;20;40286063;129184637;2025-10-01;2013-01-01;2025-10-01;0;0
58793446;3697201;68a13e59-9bde-4e1f-81f9-62896f0c5949;7293651;9;2;20;1337334;129189690;2025-10-01;2019-04-01;2025-10-01;0;0
58890506;57720921;6a02fba3-2613-4a4a-92c3-720f61f37b0a;86288512;19;2;20;34550065;129165174;2025-09-29;2019-06-10;2025-09-29;0;0
58992442;13773957;6b745bf7-2ba2-49ce-980c-22341df78f51;22077981;28;2;20;7592887;129169903;2025-09-29;2018-12-25;2025-09-29;0;0
59053969;28577580;6c51297a-71d1-40ab-b1f6-d505d22dcf55;43930188;4;2;20;16950872;129169780;2025-09-29;2014-01-04;2025-09-29;0;0
59144090;36009222;6d938927-bc07-4c67-8232-b8b927ed7459;54680261;18;2;20;21404991;129169799;2025-09-29;2018-10-02;2025-09-29;0;0
59237046;3707950;6ee82c4d-5b39-4703-aec9-e5a4d99aecae;7309263;33;2;20;1343741;129189694;2025-10-01;2019-04-01;2025-10-01;0;0
59446379;52625453;71d939f7-0ddf-47b8-ba66-85e3b6246f08;78825957;30;2;20;31433828;129188763;2025-10-01;2019-02-12;2025-10-01;0;0
59526442;8653116;72fdd777-a6d3-4030-a250-ede2f6a14686;14574324;58;2;20;4428170;129188868;2025-10-01;2019-01-21;2025-10-01;0;0
59563566;79737902;73827acf-1b01-469f-be7b-1e881809cc67;118511315;7;2;20;48207891;129182931;2025-09-30;2013-01-01;2025-09-30;0;0
59667357;53503342;74fa43e1-7c24-435f-9fa5-d94050310052;80088087;20;2;20;31942881;129169793;2025-09-29;2018-10-18;2025-09-29;0;0
59824016;51745234;772b3870-2673-4630-b62c-ca3288d03104;77559307;2;2;20;30915369;129164982;2025-09-29;2018-08-13;2025-09-29;0;0
59942455;8862103;78db4c85-bf93-4dd7-a898-0567f5ff6bda;14881905;14;2;20;4562365;129169682;2025-09-29;2013-01-01;2025-09-29;0;0
60242896;38565576;7d172044-64fb-4d84-8209-04ee7b19ca8d;58465493;42;2;20;23042094;129169988;2025-09-29;2019-01-11;2025-09-29;0;0
60434913;27855757;7fcd72da-b3b3-43eb-8ae8-aa258124d4ea;42902368;17;2;20;16549164;129184643;2025-10-01;2013-01-01;2025-10-01;0;0
60486874;48799708;808c9ab3-9759-4efb-8bf0-7add250458f9;73333263;77;2;20;29186721;129178419;2025-09-30;2018-10-10;2025-09-30;0;0
60635435;8583019;82a2c4a9-feb3-44b2-81ab-ed6321c0244c;14465970;10А;2;20;4378506;129188883;2025-10-01;2019-01-04;2025-10-01;0;0
60772558;36738568;84939673-fd2e-4be5-8c42-9c0fe9dfc64e;55766134;24;2;20;21887155;129177090;2025-09-30;2019-02-02;2025-09-30;0;0
60924896;56066986;86bcb04c-f9c5-412d-86c6-3e5f1d00b6c0;83865399;12;2;20;33544148;129177031;2025-09-30;2018-10-03;2025-09-30;0;0
61117933;56189666;89720fb6-8fb4-424e-b2a0-a19cfacb4061;84042453;18;2;20;33616386;129169985;2025-09-29;2019-02-01;2025-09-29;0;0
72146310;103715878;ef4f1d64-1b03-4e93-9963-9b5b1beba9c6;275652665;71п;2;10;0;129181374;2025-09-30;2022-02-11;2025-09-30;0;0
72563646;105335267;86a2072e-9188-482c-9117-c407c42b2f81;288196891;Б7;5;10;0;129166974;2025-09-29;2022-08-18;2025-09-29;0;0
124215807;158389320;e16bcdd9-42e7-4b1b-abf3-308c0e0c93e6;497357960;89/3;2;10;0;129172053;2025-09-29;2023-03-24;2025-09-29;0;0
61437605;8561794;8df3eb79-d0ed-43b2-9206-9c37191a705e;14434323;37;2;20;4364212;129186614;2025-10-01;2018-09-21;2025-10-01;0;0
61567618;36742128;8fccc646-e417-4fd4-9f32-e9077bdd25d6;55770440;22;2;20;21888880;129177085;2025-09-30;2018-10-22;2025-09-30;0;0
61598163;53667008;9039ebfe-71ed-4d0b-a689-e38c756dafd6;80333141;8;2;20;32049239;129169932;2025-09-29;2018-10-16;2025-09-29;0;0
61664785;67539801;912a3aba-c7c5-4a2f-8361-b8c8f01deaeb;100693495;5;2;20;40685570;129186602;2025-10-01;2018-09-21;2025-10-01;0;0
61707752;67558116;91c80cd7-973a-4f59-8361-fcccdb0500e6;100720960;27;2;20;40696775;129177084;2025-09-30;2018-09-21;2025-09-30;0;0
61778262;64542937;92c57872-519b-413f-b840-e0b5b6e40863;96290984;37;2;20;38840267;129164974;2025-09-29;2018-08-13;2025-09-29;0;0
61834799;2208349;9393d314-db1a-4917-afc3-6b67973ff028;5157630;17;2;20;466869;129179459;2025-09-30;2018-11-01;2025-09-30;0;0
61864815;78889620;93ff76f4-633d-495a-b99a-cc800f19fda0;117258400;21;2;20;47654466;129188747;2025-10-01;2019-02-15;2025-10-01;0;0
61943626;72205646;951ba192-7780-4fcc-b9fb-76c7f03cc923;107521293;43;2;20;43558898;129165170;2025-09-29;2019-04-23;2025-09-29;0;0
62197303;36000378;98ad5757-7a57-45dc-ae33-466ae32f0d48;54668652;5;2;20;21399599;129169804;2025-09-29;2018-10-02;2025-09-29;0;0
62343259;61061375;9abb1149-124b-41b2-9f14-0f73d9606aef;91183073;14;2;20;36631347;129183149;2025-09-30;2014-01-04;2025-09-30;0;0
62401767;83697860;9b8eacdc-f071-4647-b078-91dea635b71e;124333112;25;2;20;50670843;129164978;2025-09-29;2018-08-13;2025-09-29;0;0
62501795;43141925;9cf8b137-15a3-444f-9630-5b58cf0329b6;65127233;14;2;20;25770966;129182183;2025-09-30;2016-12-28;2025-09-30;0;0
62672087;58451327;9f5b8f61-09df-42ba-bc06-2379c6c1aedf;87358337;34;2;20;35003412;129188749;2025-10-01;2019-05-13;2025-10-01;0;0
62884596;2209465;a25d80ea-c31d-45b6-b39b-ce121ed13b89;5159150;4;2;20;467439;129175733;2025-09-30;2018-11-01;2025-09-30;0;0
63136142;61080806;a5eb4166-916d-4b1a-8bf0-a8c6c5f16eb8;91213780;18;2;20;36645791;129183167;2025-09-30;2014-01-04;2025-09-30;0;0
