ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
3529834;77904865;60309;115822556;3;0;0;2025-09-30;1900-01-01;2079-06-06;0;53099.59426.59488.60309.77904865
5395038;18201210;58292;28673986;3;0;0;2025-09-30;1900-01-01;2079-06-06;0;53099.60788.58031.58292.18201210
5405709;47015909;58886;70739942;3;0;0;2025-09-30;1900-01-01;2079-06-06;0;53099.60788.58031.58886.47015909
7263824;85446657;69618;126870067;3;0;247021845;2025-09-29;2019-03-18;2025-09-29;0;53099.68342.68919.69618.85446657
243654828;171719698;69608;644454351;3;0;247033264;2025-09-29;2025-04-16;2025-09-29;0;53099.60753.64139.69608.171719698
234534123;164238208;69608;598157917;3;0;247033283;2025-09-29;2024-07-12;2025-09-29;0;53099.60753.64139.69608.164238208
237858731;167349111;66212;606875033;3;0;247033285;2025-09-29;2024-11-12;2025-09-29;0;53099.60753.64139.66212.167349111
243425939;171526967;69643;644015354;3;0;247033287;2025-09-29;2025-04-08;2025-09-29;0;53099.60753.64139.69643.171526967
246877501;174767718;66212;689278042;3;0;247033289;2025-09-29;2025-09-22;2025-09-29;0;53099.60753.64139.66212.174767718
247021789;174909118;70262;689623143;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.68670.69014.71322.70262.174909118
247021793;174909122;71842;689623147;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.68670.69014.73264.71842.174909122
247021792;174909121;73789;689623146;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.68670.69014.72550.73789.174909121
247021795;174909124;74031;689623185;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.68670.69014.72849.74031.174909124
247021796;174909125;74031;689623186;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.68670.69014.72849.74031.174909125
247021800;174909129;70661;689623190;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.68670.69014.71322.70661.174909129
247021801;174909130;73066;689623191;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.68670.69014.73066.174909130
7263867;89203402;69618;131640577;3;0;247021844;2025-09-29;2018-10-23;2025-09-29;0;53099.68342.68919.69618.89203402
247021845;85446657;67889;689623297;3;7263824;0;2025-09-29;2025-09-29;2079-06-06;1;53099.68342.68919.67889.85446657
7263872;89203587;69618;131640787;3;0;0;2025-09-29;2018-10-23;2079-06-06;0;53099.68342.68919.69618.89203587
247022696;174910021;57357;689624544;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.53140.57357.174910021
247022784;174910109;56661;689624635;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.53140.56661.174910109
2222141;74698196;74691096;111160629;3;0;247023532;2025-09-29;2017-07-21;2025-09-29;0;53099.53140.56586.74691096.74698196
247023534;174910858;55849;689626373;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.53140.55849.174910858
247033175;64139;61240;689646847;3;5289945;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139
247023997;174911320;174894382;689628168;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60788.58031.61414.174894382.174911320
247023999;174911322;174894382;689628170;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60788.58031.61414.174894382.174911322
247024001;174911324;174894382;689628172;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60788.58031.61414.174894382.174911324
247024003;174911326;174894382;689628174;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60788.58031.61414.174894382.174911326
247024024;174911347;72626;689628292;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.70851.72809.72626.174911347
247024029;174911352;61087;689628317;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.62300.61087.174911352
247024050;174911373;61087;689628339;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.62300.61087.174911373
247024110;174911433;62556;689628406;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61558.62556.174911433
247024109;174911432;68658;689628405;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.62620.65801.68658.174911432
247033177;69704;64139;689646849;3;5291138;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69704
247033178;69743;64139;689646850;3;5291143;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69743
247033179;69545;64139;689646851;3;5290041;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545
247033180;69643;64139;689646852;3;5290817;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69643
247033181;66212;64139;689646853;3;5289958;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.66212
247033182;89426779;66212;689646854;3;5290001;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.66212.89426779
247033183;20981205;69545;689646855;3;5290049;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545.20981205
247033184;20981501;69545;689646856;3;5290055;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545.20981501
247033185;20981893;69545;689646857;3;5290059;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545.20981893
247033186;20982066;69545;689646858;3;5290067;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545.20982066
247033187;20982403;69545;689646859;3;5290076;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545.20982403
247033188;84577874;69545;689646860;3;5290085;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545.84577874
247033189;84577908;69545;689646861;3;5290094;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545.84577908
247033190;86692438;69545;689646862;3;5290103;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545.86692438
247033191;93619206;69545;689646863;3;5290111;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545.93619206
247033192;94784620;69545;689646864;3;5290119;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69545.94784620
247033193;34395100;69608;689646865;3;5290137;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69608.34395100
247033194;34395691;69608;689646866;3;5290146;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69608.34395691
247033195;34397435;69608;689646867;3;5290150;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69608.34397435
247033196;34398471;69608;689646868;3;5290156;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69608.34398471
247033197;34399398;69608;689646869;3;5290162;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69608.34399398
247033198;34400018;69608;689646870;3;5290167;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61240.64139.69608.34400018
247024607;174911930;60289;689629377;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61558.60289.174911930
247024612;174911935;60289;689629385;3;0;0;2025-09-29;2025-09-29;2079-06-06;1;53099.60753.61558.60289.174911935
5290173;34400845;69608;52382363;3;0;247033199;2025-09-29;2018-08-20;2025-09-29;0;53099.60753.64139.69608.34400845
5290179;34402068;69608;52383364;3;0;247033200;2025-09-29;2018-08-17;2025-09-29;0;53099.60753.64139.69608.34402068
5290184;34402703;69608;52384646;3;0;247033201;2025-09-29;2018-08-17;2025-09-29;0;53099.60753.64139.69608.34402703
5290190;34403670;69608;52385922;3;0;247033202;2025-09-29;2018-08-17;2025-09-29;0;53099.60753.64139.69608.34403670
120139710;102270483;61344;215181275;3;0;0;2025-09-29;2021-08-27;2079-06-06;0;53099.60753.60932.61344.102270483
4991717;64796534;61348;96660673;3;0;0;2025-09-29;1900-01-01;2079-06-06;0;53099.60753.61348.64796534
4991924;64839090;61348;96724969;3;0;0;2025-09-29;1900-01-01;2079-06-06;0;53099.60753.61348.64839090
5290690;34404360;69608;52386282;3;0;247033203;2025-09-29;2018-08-17;2025-09-29;0;53099.60753.64139.69608.34404360
5290694;34405853;69608;52391340;3;0;247033204;2025-09-29;2018-08-20;2025-09-29;0;53099.60753.64139.69608.34405853
5290701;41111155;69608;62183680;3;0;247033205;2025-09-29;2018-10-24;2025-09-29;0;53099.60753.64139.69608.41111155
