ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
111793293;174911320;89822bec-af23-41b4-a279-e2ccf6fb5c5c;689628168;8;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793295;174911322;bab36bf2-e2dd-47f2-9bf1-3aec945d2841;689628170;6;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793297;174911324;47e1d04e-d237-4882-8c81-a7ec334e11d5;689628172;4;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793299;174911326;1e721c5a-50ba-4a6a-9adb-8d4bc12242da;689628174;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111793508;174911933;7f3700f4-526d-4add-b1b0-20323f25db59;689629383;1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111811556;174970938;879f30e5-c3b2-4e16-8f4e-07e45704ef90;689777680;2;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811558;174970940;8ddf4d74-75c2-4c00-87dc-783fb5674523;689777682;1;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811560;174970942;8c69dc36-7379-441e-ab92-8bf00de79bba;689777684;1;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811562;174970944;e5278b8a-f252-4156-9639-d595a0bac7aa;689777686;1;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811564;174970946;1ed483c2-f928-4213-bddc-4f06dfceb873;689777688;1;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811566;174970949;2b6403a3-4e2c-4490-aabe-15fc5982673f;689777692;1;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811568;174970952;0a573b2f-4a48-47bc-b29b-7797333dec44;689777695;1;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811570;174970957;e2ef3997-d779-4c24-b06b-66dcf14172ea;689777700;2;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111811768;174972050;e18440ac-a9c8-4014-85d2-da7468a7e1c0;689780207;1;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111813927;174976632;a49270be-6a75-4ca1-b59a-f005c79219ef;689790387;2;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
111813921;174976625;064f790d-c998-4b97-a841-adc5ac36b8e5;689790373;1;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
16752241;29144186;493151c3-2b54-41b6-854d-7b6786db998c;44753797;24;2;10;0;111815903;2025-10-01;2019-03-11;2025-10-01;0;0
