ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
2551602;88466923;69812;130779115;4;0;247059586;2025-09-30;2016-09-28;2025-09-30;0;75433.75444.69812.88466923
246598415;174500048;70130;688738574;4;0;247059583;2025-09-30;2025-09-08;2025-09-30;0;75433.75444.70130.174500048
247022128;174909455;75489;689623620;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.70465.72548.75489.174909455
247022324;174909651;102987445;689623900;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74864.102987445.174909651
247022327;174909654;162912474;689623903;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74864.76219.75638.162912474.174909654
247022329;174909656;162912474;689623905;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74864.76219.75638.162912474.174909656
247022325;174909652;102987445;689623901;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74864.102987445.174909652
247022332;174909659;162912474;689623908;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74864.76219.75638.162912474.174909659
247022334;174909661;162912474;689623910;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74864.76219.75638.162912474.174909661
247022336;174909663;162912474;689623912;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74864.76219.75638.162912474.174909663
247022785;174910110;71370;689624637;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.70465.72029.71370.174910110
247024249;174911572;74088;689628596;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74864.75806.74088.174911572
247024248;174911571;74088;689628595;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74864.75806.74088.174911571
247024658;174911981;76679;689629547;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.70465.72548.76679.174911981
247027747;174915053;75994;689636790;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74861.75398.75994.174915053
247027751;174915057;74971;689636794;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74861.75398.74971.174915057
247027750;174915056;75994;689636793;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.74861.75398.75994.174915056
247031130;174918411;71076;689643603;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.75444.71076.174918411
247031279;174918560;73454;689643935;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.75444.73454.174918560
247031326;174918607;70112;689644019;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.75444.70112.174918607
247038566;174925689;75022;689655150;4;0;0;2025-09-29;2025-09-29;2079-06-06;1;75433.70465.72101.75022.174925689
