ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
59195453;11126482;6e4de1e3-61e5-4bdb-aed5-ece44e7a6f57;18156883;8Б;2;20;5916541;129184836;2025-10-01;2017-03-15;2025-10-01;0;0
124285767;158640628;e419e690-0ce6-4664-a98e-85a784a784d5;499375889;5;2;10;0;129175458;2025-09-30;2023-04-19;2025-09-30;0;0
128484438;172625714;29edae98-1d32-4f9d-a1b0-6016b511413f;647134985;25;2;10;0;129175459;2025-09-30;2025-06-03;2025-09-30;0;0
129147325;174852048;d83e86e8-b424-47f3-9ae7-94ee1b0b085f;689502581;50;2;10;0;129166728;2025-09-29;2025-09-25;2025-09-29;0;0
129164287;174909653;835efe41-5a81-4ce7-b9ef-8640db1ea1b1;689623902;1/14;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129164289;174909655;ccd2390d-c3e4-428a-abf3-4644ef43af84;689623904;1/12;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129164291;174909657;0ef9a121-e645-4155-8811-60cd9bf602f4;689623906;1/10;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129164293;174909659;aded273b-7469-4411-9e9e-6d3fc4b18dc1;689623908;1/8;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129164295;174909661;32a187b5-999f-4b3b-9a39-8dfe8a3a1767;689623910;1/6;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129164297;174909663;7443d52a-868d-4eb5-ac31-e49d6bb25e60;689623912;1/4;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129164328;174910110;2e6a7a7d-fd25-459f-abcb-a3d175ce4a0b;689624637;21;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129164732;174911572;272aab0c-df62-4308-b236-4048518c8277;689628596;116;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129164850;174911981;64337830-328f-47b5-80a4-a7d9b0bdb0f1;689629547;91А;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166729;174918367;7f036daf-c72f-416f-97ce-9a92d1d9b1c9;689643500;12;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129169126;174925690;2432102e-b693-41c4-8917-c2d6f6a6a6d1;689655151;5А;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171158;174932343;e9cbeac3-a548-43cb-8042-82daed88825b;689673089;4А;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129175417;174945872;83bf6272-1fed-4ec3-a5d5-f6ac3885dcec;689702735;18;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129175419;174500048;16f8dd0e-c1f0-4545-a9ba-84c2c95b985c;689702738;67;2;50;129017259;;2025-09-30;2025-09-30;2079-06-06;1;1
129175459;172625714;29edae98-1d32-4f9d-a1b0-6016b511413f;689702995;25;2;20;128484438;;2025-09-30;2025-09-30;2079-06-06;1;1
129175549;174946393;0c03216e-1c18-40f7-9d78-efc62193d22f;689703755;25;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
126283166;163769936;34833443-4233-41b7-b9f6-2aba49015aa3;596537513;21Б;2;10;0;129175857;2025-09-30;2024-06-04;2025-09-30;0;0
129184011;72596973;2cae947c-3dab-46b4-9ef9-d05351f26a0c;689777849;11;2;30;54546781;0;2025-10-01;2025-10-01;2079-06-06;1;0
129184021;5983379;4855cce7-290b-4c7b-ac76-4c8a411f87f2;689778002;57;2;30;56503769;0;2025-10-01;2025-10-01;2079-06-06;1;0
129184088;174971096;fcbeeb95-c7ed-452e-a1c1-316557456b23;689778103;2Б;2;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129184212;174971389;0559ab59-f4d6-4f8e-940f-2df334037be5;689778650;73/1Б;5;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
129184214;174971391;b4674ced-7686-48c8-99cb-0d44ad3f4c4c;689778652;73/1Д;5;10;0;0;2025-10-01;2025-10-01;2079-06-06;1;1
