ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
426548076;76392203;113632604;689778585;8;04:08:010701:83;2025-10-01;2016-06-28;2025-10-01
714762740;100717461;183395546;689789948;8;04:11:010154:1314;2025-10-01;2021-03-26;2025-10-01
853842998;101137987;292631196;689778606;8;04:08:011313:1595;2025-10-01;2022-09-20;2025-10-01
853843121;99124834;292631317;689778621;8;04:08:011308:765;2025-10-01;2022-09-20;2025-10-01
853860617;3239054;292648812;689705142;8;04:04:100101:94;2025-09-30;2022-09-20;2025-09-30
853879957;6583693;292668152;689780812;8;04:10:040101:3023;2025-10-01;2022-09-20;2025-10-01
1540514742;48227231;606085417;689719972;8;04:10:030607:692;2025-09-30;2024-11-02;2025-09-30
1543055959;66001413;606875466;689780789;8;04:10:030615:173;2025-10-01;2024-11-12;2025-10-01
1644376172;174909414;689623570;0;2;0400;2025-09-29;2025-09-29;2079-06-06
1644376174;174909414;689623570;0;7;84610430101;2025-09-29;2025-09-29;2079-06-06
1644376176;174909414;689623570;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644376178;174909414;689623570;0;21;84610430;2025-09-29;2025-09-29;2079-06-06
1644376390;81408787;689623593;0;8;04:10:040101:3853;2025-09-29;2025-09-29;2079-06-06
1644376397;54994370;689623599;0;8;04:10:040101:3846;2025-09-29;2025-09-29;2079-06-06
1644376393;79092187;689623596;0;8;04:10:020201:1664;2025-09-29;2025-09-29;2079-06-06
1644376398;7450248;689623600;0;8;04:10:040101:3848;2025-09-29;2025-09-29;2079-06-06
1644376610;80003859;689623626;0;8;04:10:020201:1579;2025-09-29;2025-09-29;2079-06-06
1644376611;21978120;689623627;0;8;04:00:000000:25637;2025-09-29;2025-09-29;2079-06-06
853872515;76837308;292660711;689623668;8;04:10:030610:550;2025-09-29;2022-09-20;2025-09-29
1644378184;174909653;689623902;0;2;0400;2025-09-29;2025-09-29;2079-06-06
1644378186;174909653;689623902;0;7;84643455;2025-09-29;2025-09-29;2079-06-06
1644378188;174909653;689623902;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644378190;174909653;689623902;0;21;84643455;2025-09-29;2025-09-29;2079-06-06
1644378192;174909654;689623903;0;2;0400;2025-09-29;2025-09-29;2079-06-06
1644378194;174909654;689623903;0;7;84643455;2025-09-29;2025-09-29;2079-06-06
1644378196;174909654;689623903;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644378198;174909654;689623903;0;21;84643455;2025-09-29;2025-09-29;2079-06-06
1644378200;174909655;689623904;0;2;0400;2025-09-29;2025-09-29;2079-06-06
