ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27406748;распоряжение;2025-09-26;364;15;2;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ БИРЮЛИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ МАЙМИНСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-29
27408669;Постановление;2024-10-16;28;21;2;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ЯКОНУРСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ УСТЬ-КАНСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-29
27408670;Постановление;2024-10-16;28;21;2;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ЯКОНУРСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ УСТЬ-КАНСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-29
27409811;О присвоении адреса объекту адресации;2025-09-29;H-28944981;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27409810;О присвоении и аннулировании адреса объекта адресации;2025-09-29;H-28944969;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27409863;О присвоении адреса объекту адресации;2025-09-29;H-28946084;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27409882;О внесении изменений по объекту адресации;2025-09-29;T-28946322;15;4;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27409885;О внесении изменений по объекту адресации;2025-09-29;T-28946360;15;4;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27409920;О присвоении адреса объекту адресации;2025-09-29;H-28946694;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27409926;О внесении изменений по объекту адресации;2025-09-29;T-28946761;21;4;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КОШ-АГАЧСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";2025-09-29
27411139;распоряжение;2025-09-29;365;15;2;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ БИРЮЛИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ МАЙМИНСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-29
27411512;О присвоении адреса;2025-09-26;277-па;21;2;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ УЗНЕЗИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27412201;О присвоении адреса объекту адресации;2025-09-29;H-28949392;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27412340;О внесении изменений по объекту адресации;2025-09-29;T-28949645;15;4;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27412764;О присвоении адреса объекту адресации;2025-09-29;H-28950125;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27412877;О внесении изменений по объекту адресации;2025-09-29;T-28950358;21;4;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КОШ-АГАЧСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";2025-09-29
27412921;О присвоении адреса объекту адресации;2025-09-29;H-28950429;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27413033;О присвоении адреса объекту адресации;2025-09-29;H-28950656;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27413366;О внесении изменений по объекту адресации;2025-09-29;T-28951084;21;4;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КОШ-АГАЧСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";2025-09-29
27413406;О присвоении адреса объекту адресации;2025-09-29;H-28951188;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27413502;"""О присвоении и утверждении адреса объекта адресного учета населенного пункта с. Камлак""";2025-09-29;152;21;2;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КАМЛАКСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ;2025-09-29
27418251;Об уточнении сведений в ФИАС;2025-09-29;183;21;1;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ СОУЗГИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ МАЙМИНСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-29
27418324;О присвоении адреса земельному участку;2025-09-29;108;21;2;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ПАСПАУЛЬСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ЧОЙСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-29
27418336;О внесении изменений по объекту адресации;2025-09-29;T-28951616;21;4;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КОШ-АГАЧСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";2025-09-29
27418348;О присвоении и аннулировании адресов объектов адресации;2025-09-29;H-28952207;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27418352;О внесении изменений по объекту адресации;2025-09-29;T-28952321;15;4;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27418356;О внесении изменений по объекту адресации;2025-09-29;T-28952469;21;4;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КОШ-АГАЧСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";2025-09-29
27418339;О внесении изменений по объекту адресации;2025-09-29;T-28951776;21;4;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КОШ-АГАЧСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ""";2025-09-29
27418345;О присвоении адреса объекту адресации;2025-09-29;H-28952140;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27418349;О присвоении и аннулировании адресов объектов адресации;2025-09-29;H-28952239;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27418353;О присвоении адреса объекту адресации;2025-09-29;H-28952407;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27418357;О присвоении адреса объекту адресации;2025-09-29;H-28952563;15;3;2025-09-29;"МУНИЦИПАЛЬНОЕ УЧРЕЖДЕНИЕ ""УПРАВЛЕНИЕ ИМУЩЕСТВА, ГРАДОСТРОИТЕЛЬСТВА И ЗЕМЕЛЬНЫХ ОТНОШЕНИЙ ГОРОДА ГОРНО-АЛТАЙСКА""";2025-09-29
27418430;О внесении изменений в ФИАС в связи с выявленными объектов адресации и некорректными кадастровыми номерами, либо у которых отсутствует кадастровый номер.;2025-09-26;334;21;1;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ЧЕПОШСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27418438;Постановление №80 от 29.09.2025 О присвоении адреса объекту адресации;2025-09-29;80;21;2;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ СЕЙКИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ЧОЙСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-29
27418785;"""Об изменении и утверждении кадастрового номера объекта адресного учета населенного пункта с. Камлак""";2025-09-29;153;21;1;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ КАМЛАКСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ;2025-09-29
27418786;Постановление №73 от 30.07.2025 О присвоении адреса объекту адресации;2025-07-30;73;21;2;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ СЕЙКИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ЧОЙСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-29
27418940;Об аннулировании адреса;2025-09-29;281-па;21;2;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ УЗНЕЗИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27418948;О внесении изменений по объекту адресации;2025-09-29;T-28951055;21;4;2025-09-29;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ЧИБИТСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ УЛАГАНСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-29
27419931;Постановление;2024-10-16;28;21;2;2025-09-30;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ЯКОНУРСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ УСТЬ-КАНСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-30
27419923;Постановление;2024-10-16;28;21;2;2025-09-30;СЕЛЬСКАЯ АДМИНИСТРАЦИЯ ЯКОНУРСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ УСТЬ-КАНСКОГО РАЙОНА РЕСПУБЛИКИ АЛТАЙ;2025-09-30
