ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
2241992;86786510;11dee068-3567-44fe-a7e1-14132d2920d5;128679780;7;10;74180675;2025-09-30;1900-01-01;2025-09-30;0;0
74162770;174909455;d88af910-8e4c-4e46-988c-b7f5c66eb65f;689623620;39Б;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74162941;174909651;977c59c8-3b2d-4eca-9594-99061d45db21;689623900;19;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163380;174910146;0f3c15bf-c876-4692-bb0a-0a265b50fa24;689624682;4Д;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166430;174915053;0116e1c5-f8da-407f-9235-69eb6d6e6cc3;689636790;80;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166434;174915057;bab0353c-3333-4f7c-8575-3e1f1c447086;689636794;22;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166433;174915056;ffd62622-3ebd-4d5f-a791-8fad3dd0e4de;689636793;65;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168121;174918565;4a12f916-5bd6-4d39-8bf2-8a79c23880d6;689643940;59;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168119;174918560;f926c32d-84b1-4be7-9d9d-1231b2204dac;689643935;4/1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74170536;174923688;2d99cdee-87f2-4cb1-b63e-42c50c285e20;689651923;21;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171306;174925689;daa1d5bd-6dd7-4b6c-81de-37154d6db5bd;689655150;5А;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74172341;174928813;6daad76f-677d-48e5-bc9d-9c40b68fabab;689666163;345;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173207;174930249;49b2ad83-5390-4b80-af8e-6709b6244ea7;689669074;231;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173347;174930430;d8bee9a9-a03c-4001-9302-81c941222f1e;689669554;507;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173538;174930663;8eb4de30-f564-4e30-93af-38ab1d05cacd;689670023;42;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74173682;174930868;b56f56b0-9725-4467-8444-475a68597a6d;689670362;19/2;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180590;174945720;61b7b93a-bbf6-4405-9ee6-e4d9fc9f4144;689702009;4;10;0;2025-09-30;2025-09-30;2079-06-06;1;1
74180675;86786510;11dee068-3567-44fe-a7e1-14132d2920d5;689702739;67;50;;2025-09-30;2025-09-30;2079-06-06;1;1
