ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
111798205;174925166;7c781d67-25f7-40b8-80b9-f7dec0bc36a3;689654371;81;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798207;174925170;cbd5258c-b2ef-42fc-b211-c1864ff16cf4;689654375;36;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798211;174925174;a3f3df32-4ec0-466e-ae04-29d013a51407;689654379;50;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798222;174925198;ea48655d-00d8-4045-80aa-cc93fc3ae84f;689654407;105;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798235;174925212;f77c69cb-bed8-4b1a-a82b-d2e7a71c7a51;689654423;111;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798208;174925171;5f486ead-360d-4305-86ed-57547c2cf3f8;689654376;12;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798212;174925177;b49f449d-cc83-4799-b85a-2f0d57fb82c7;689654382;9;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798214;174925183;b2a5e098-6a7d-436b-b925-49b5a34059fc;689654388;119;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798216;174925185;7c73b101-8bc5-4c69-affa-5b117afb1668;689654390;113;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798218;174925187;ec9e33ae-c820-4268-8f4e-f6480c43a8a1;689654392;111;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798220;174925189;b1a4f711-d6e0-4c8d-afd1-90a213e180a6;689654394;11;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798225;174925201;e0fd210f-9be0-4597-af99-ec4914165f82;689654412;40;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798227;174925204;ec713dac-6075-4d1f-909c-b7bff5fbd6dd;689654415;128;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798229;174925206;6941b60c-61fd-47d1-b924-641195ad1125;689654417;126;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798231;174925208;49d550e8-60cb-4af3-bca4-1f7003135e29;689654419;124;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798233;174925210;5ac41f38-c27f-40c8-beac-5a52923eaebf;689654421;122;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798237;174925215;b9043946-0893-4bea-a8f3-10166bee2872;689654428;139;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798239;174925217;77efdcea-52f4-456a-816c-722fb90e0812;689654430;136;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798241;174925219;5778beb3-41d9-4a81-bc84-e61078ee2126;689654432;134;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798243;174925221;38852411-59ea-4c0c-abeb-274736f481b5;689654434;132;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798245;174925223;1370024d-856e-4125-af52-051d6336d66f;689654436;130;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798247;174925225;fe946dbc-0331-40d1-972b-d33c938cb83e;689654438;138;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111798352;174925330;ee1ded43-2877-4220-b743-a3fcce0fcec0;689654583;57;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799760;174927396;b134367d-694f-48e7-8e3e-77ce4d07835f;689662508;13;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799764;174927403;e06ba073-d67e-4848-89f5-4ecf922d42fb;689662516;107;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799769;174927409;71d16bc5-e175-4e6c-ab89-96137b6e2d50;689662524;354;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799773;174927415;6a848732-3618-479e-abe4-c4de381b5d72;689662530;35;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799781;174927424;f6af01e1-21cb-43b5-b333-c38d69edf7a4;689662544;194;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799785;174927428;cc31a66a-1ab3-40dc-bb59-618c6e6a64ab;689662548;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799763;174927401;11e53734-6903-4583-8667-5274a30a5a38;689662513;93;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799766;174927406;92325f6b-a115-47ce-ac1e-0f7f53d80e2f;689662521;143;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799770;174927410;a44f67b5-bc8d-423e-b28b-b0d234665b10;689662525;17;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799774;174927416;3cf68e3c-03ca-4f95-8ea7-11332cf688eb;689662531;174;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799776;174927419;288612a4-9d98-4cad-a7ac-918246d28cae;689662535;415;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799778;174927421;60840d0a-9c8d-4574-b117-257f6edd15c1;689662539;48;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799782;174927425;313f356e-7e49-42cf-8875-0e59a9146a2e;689662545;97;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799786;174927429;5bbb1b1a-92db-49d0-a910-739f04865509;689662549;383;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799789;174927432;b1e60272-4822-4bce-abe8-9dd991c84df9;689662552;10;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799793;174927440;35b9b08d-fd83-4567-9bae-cdcfee31b5ee;689662560;111;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799787;174927430;494792d9-7536-4727-aeb3-d6850acaf24f;689662550;135;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799791;174927436;60f7ac8c-8e50-464d-9e3a-e5bdd0b0c2a9;689662556;14;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111799796;174927448;14d5aac2-18c8-45b3-a1b9-522309bcd4b5;689662568;110;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
