ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
249596404;174923118;79074;689651279;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.174923118
61833690;76852609;93376;114313607;82634411116;0;0;2025-09-30;2015-10-26;2079-06-06;0;78545.95232005.95232020.92713.93376.76852609
61868214;68847518;93482;102624174;82634411116;0;0;2025-09-30;2015-10-26;2079-06-06;0;78545.95232005.95232020.92713.93482.68847518
61869886;69062749;93482;102947055;82634411116;0;0;2025-09-30;2015-04-21;2079-06-06;0;78545.95232005.95232020.92713.93482.69062749
61870697;69062833;93482;102947190;82634411116;0;0;2025-09-30;2015-04-21;2079-06-06;0;78545.95232005.95232020.92713.93482.69062833
61870790;69063711;93482;102948624;82634411116;0;0;2025-09-30;2015-10-26;2079-06-06;0;78545.95232005.95232020.92713.93482.69063711
62093686;17065606;97746;26995846;82648432101;0;249619127;2025-09-29;2017-10-27;2025-09-29;0;78545.95231709.95231721.98600.97746.17065606
62091081;17059427;97746;26986604;82648432101;0;249619477;2025-09-29;2017-10-27;2025-09-29;0;78545.95231709.95231721.98600.97746.17059427
62246977;75239372;98407;111942964;82648424101;0;249642404;2025-09-30;2015-12-24;2025-09-30;0;78545.95231709.95231710.98467.98407.75239372
62280967;75295326;98407;112022027;82648424101;0;249689441;2025-10-01;2015-12-24;2025-10-01;0;78545.95231709.95231710.98467.98407.75295326
249596395;174923109;79074;689651225;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.174923109
249596397;174923111;79074;689651272;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.174923111
249596399;174923113;79074;689651274;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.174923113
249596401;174923115;79074;689651276;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.174923115
249596403;174923117;79074;689651278;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.174923117
249598457;174925168;165434527;689654373;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.103224853.165434527.174925168
249598461;174925172;156853869;689654377;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.100503558.156853869.174925172
249598435;174925146;174849343;689654350;82627420111;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95231759.95231766.92087.174849343.174925146
249598462;174925173;159123962;689654378;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.79525.159123962.174925173
249598470;174925181;66446461;689654386;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80330.66446461.174925181
249598473;174925184;95607987;689654389;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925184
249598475;174925186;95607987;689654391;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925186
249598477;174925188;95607987;689654393;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925188
249598489;174925200;168797803;689654410;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.74841.168797803.174925200
249598492;174925203;95607987;689654414;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925203
249598494;174925205;95607987;689654416;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925205
249598496;174925207;95607987;689654418;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925207
249598487;174925198;100596869;689654407;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80719.100596869.174925198
249598501;174925212;157002148;689654423;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.95982449.157002148.174925212
249598497;174925208;95607987;689654419;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925208
249598499;174925210;95607987;689654421;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925210
249598504;174925215;95607987;689654428;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925215
249598506;174925217;95607987;689654430;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925217
249598508;174925219;95607987;689654432;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925219
249598510;174925221;95607987;689654434;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925221
249598512;174925223;95607987;689654436;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925223
249598514;174925225;95607987;689654438;82701365;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232455.95232457.78727.83678.83993.95607987.174925225
249598619;174925330;69437196;689654583;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.77238.69437196.174925330
249605702;174927396;80633931;689662508;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80371.80633931.174927396
249605709;174927403;174050049;689662516;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80256.174050049.174927403
249605715;174927409;66446461;689662524;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80330.66446461.174927409
249605719;174927413;72826265;689662528;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.78865.72826265.174927413
249605723;174927417;79648;689662532;82730000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232460.78586.79648.174927417
249605730;174927424;159160995;689662544;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80256.159160995.174927424
249605734;174927428;162152990;689662548;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80719.162152990.174927428
249605707;174927401;68844350;689662513;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80097.68844350.174927401
249605712;174927406;168239747;689662521;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80256.168239747.174927406
249605716;174927410;161267468;689662525;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80256.161267468.174927410
249605720;174927414;79443;689662529;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.82771.79443.174927414
249605724;174927418;30919174;689662533;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.78817.30919174.174927418
249605726;174927420;174050049;689662537;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80256.174050049.174927420
249605729;174927423;99097217;689662543;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80256.99097217.174927423
249605733;174927427;66447035;689662547;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.80330.66447035.174927427
249605736;174927430;99321250;689662550;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.81131.99321250.174927430
249605742;174927436;158024219;689662556;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.81131.158024219.174927436
249605749;174927443;45153426;689662563;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.79006.45153426.174927443
249605759;174927453;78383;689662573;82730000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232460.78586.78383.174927453
249605738;174927432;173992061;689662552;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.103224853.173992061.174927432
249605743;174927437;53364883;689662557;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.81131.53364883.174927437
249605753;174927447;19775953;689662567;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.75657.19775953.174927447
249605760;174927454;76377;689662574;82730000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232460.78586.76377.174927454
249605891;174927585;94643;689662820;82642460101;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232062.95232076.93293.94643.174927585
249605898;174927592;94643;689662827;82642460101;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232062.95232076.93293.94643.174927592
249605902;174927596;94643;689662834;82642460101;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232062.95232076.93293.94643.174927596
249605890;174927584;94643;689662819;82642460101;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232062.95232076.93293.94643.174927584
249605896;174927590;94643;689662825;82642460101;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232062.95232076.93293.94643.174927590
249605901;174927595;94643;689662832;82642460101;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232062.95232076.93293.94643.174927595
249613789;174932925;74841;689674010;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.74841.174932925
249613791;174932927;74841;689674012;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.74841.174932927
249613798;174932934;74841;689674021;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.74841.174932934
249613801;174932937;74841;689674026;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.74841.174932937
249613803;174932939;74841;689674028;82720000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;78545.95232413.79074.74841.174932939
