ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27412571;О внесении изменений в некорректно добавленный кадастровый номер;2025-09-26;27;21;1;2025-09-29;"АДМИНИСТРАЦИЯ МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""село Акайтала""";2025-09-29
27412583;О дополнении объекта адресации кадастровым номером;2023-12-27;106;21;1;2025-09-29;"АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ ""СЕЛО БУТ-КАЗМАЛЯР""";2025-09-29
27413669;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27413680;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27413709;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27413689;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27413695;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27413713;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27413712;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27413738;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27413754;О присвоении адреса объекту адресации;2025-09-26;58;21;2;2025-09-29;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ СЕЛО САМУР;2025-09-29
27413749;О присвоении адреса объекту адресации;2025-09-26;58;21;2;2025-09-29;АДМИНИСТРАЦИЯ СЕЛЬСКОГО ПОСЕЛЕНИЯ СЕЛО САМУР;2025-09-29
27413762;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27413774;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27413783;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27414342;"о присвоении адреса объекту адресации в Российской Федерации, в Республике Дагестан, городского округа ""город Дербент"", город Дербент, улица Гончарная, земельный участок 36а";2025-09-17;1581-ю;15;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""";2025-09-29
27414341;"о присвоении адреса объекту адресации в Российской Федерации, в Республике Дагестан, городского округа ""город Дербент"", город Дербент, улица Гончарная, дом 36а";2025-09-17;1580-ю;15;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""";2025-09-29
27414348;"о присвоении адреса объекту адресации в Российской Федерации, в Республике Дагестан, городского округа ""город Дербент"", город Дербент, улица Гончарная, земельный участок 43";2025-09-17;1585-ю;15;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""";2025-09-29
27414356;"о присвоении адреса объекту адресации в Российской Федерации, в Республике Дагестан, городского округа ""город Дербент"", город Дербент, проезд 3-й Фабричный, дом 11а";2025-09-17;1573-ю;15;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""";2025-09-29
27414373;"о присвоении адреса объекту адресации в Российской Федерации, в Республике Дагестан, городского округа ""город Дербент"", город Дербент, улица Гончарная, земельный участок 10";2025-09-17;1571-ю;15;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""";2025-09-29
27414409;"о присвоении адреса объекту адресации в Российской Федерации, в Республике Дагестан, городского округа ""город Дербент"", город Дербент, улица Орджоникидзе дом 8, квартира 6";2025-09-17;1544-ю;15;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""";2025-09-29
27414426;"о присвоении адреса объекту адресации в Российской Федерации, в Республике Дагестан, городского округа ""город Дербент"", город Дербент, улица  Приморская дом 6, квартира 33";2025-09-17;1548-ю;15;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""";2025-09-29
27414443;"о присвоении адреса объекту адресации в Российской Федерации, в Республике Дагестан, городского округа ""город Дербент"", город Дербент, улица Хизроева дом 9, квартира 25";2025-09-17;1552-ю;15;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""";2025-09-29
27414432;"о присвоении адреса объекту адресации в Российской Федерации, в Республике Дагестан, городского округа ""город Дербент"", город Дербент, улица Приморская дом 6, квартира 47";2025-09-17;1549-ю;15;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""";2025-09-29
27414442;О присвоении адреса объекту адресации;2025-09-26;933;21;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД КИЗЛЯР""";2025-09-29
27414447;"о присвоении адреса объекту адресации в Российской Федерации, в Республике Дагестан, городского округа ""город Дербент"", город Дербент, улица Рабочая, земельный участок 14";2025-09-17;1554-ю;15;2;2025-09-29;"АДМИНИСТРАЦИЯ ГОРОДСКОГО ОКРУГА ""ГОРОД ДЕРБЕНТ""";2025-09-29
