ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
769748;100715;103456;278799;26706000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;103401.95232502.103456.100715
773483;101166;103456;279775;26706000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;103401.95232502.103456.101166
773795;101947;103456;281654;26706000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;103401.95232502.103456.101947
774049;102034;103456;281847;26706000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;103401.95232502.103456.102034
774194;102990;103456;283993;26706000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;103401.95232502.103456.102990
774796;103421;103456;284908;26706000001;0;0;2025-10-01;1900-01-01;2079-06-06;0;103401.95232502.103456.103421
793078;46516668;46515405;70011064;26706000;0;249665497;2025-09-30;2017-03-30;2025-09-30;0;103401.95232502.103696.100731.46515405.46516668
796831;46599362;46582275;70135758;26706000;0;249665930;2025-09-30;2017-03-30;2025-09-30;0;103401.95232502.103696.100731.46582275.46599362
822532;100967;103696;279390;26706000000;0;249656879;2025-09-30;1997-07-01;2025-09-30;0;103401.95232502.103696.100967
863269;61825279;101028;92321174;26706000000;0;249668791;2025-09-30;2015-06-25;2025-09-30;0;103401.95232502.103696.101028.61825279
1056025;60709917;60699498;90631907;26706000;0;249668403;2025-09-30;2019-07-25;2025-09-30;0;103401.95232502.103696.102952.60699498.60709917
1061833;60717456;60711530;90643034;26706000;0;249668504;2025-09-30;2019-07-30;2025-09-30;0;103401.95232502.103696.102952.60711530.60717456
1092356;38435265;102030;58276918;26706000000;0;249663403;2025-09-30;2019-07-26;2025-09-30;0;103401.95232502.103696.102030.38435265
1222758;70042264;103048;104373524;26706000000;0;249669717;2025-09-30;2019-09-02;2025-09-30;0;103401.95232502.103696.103048.70042264
1322793;19606927;19593700;30751214;26706000;0;249661056;2025-09-30;2017-04-20;2025-09-30;0;103401.95232502.103696.104161.19593700.19606927
993705;101980;103696;281722;26706000000;0;249656925;2025-09-30;2015-10-27;2025-09-30;0;103401.95232502.103696.101980
1023234;101949;103696;281686;26706000000;0;249656921;2025-09-30;2010-03-31;2025-09-30;0;103401.95232502.103696.101949
1025716;102489;103696;282916;26706000000;0;249656958;2025-09-30;1997-07-12;2025-09-30;0;103401.95232502.103696.102489
1027272;102039;103696;281887;26706000000;0;249656929;2025-09-30;1999-04-14;2025-09-30;0;103401.95232502.103696.102039
1029463;102304;103696;282510;26706000000;0;249656944;2025-09-30;1999-04-14;2025-09-30;0;103401.95232502.103696.102304
1035976;102915;103696;283853;26706000000;0;249656981;2025-09-30;2004-02-10;2025-09-30;0;103401.95232502.103696.102915
1040437;101997;103696;281805;26706000000;0;249656926;2025-09-30;1998-08-10;2025-09-30;0;103401.95232502.103696.101997
1043970;102796;103696;283588;26706000000;0;249656970;2025-09-30;2006-12-06;2025-09-30;0;103401.95232502.103696.102796
1045373;102855;103696;283726;26706000000;0;249656976;2025-09-30;2010-10-27;2025-09-30;0;103401.95232502.103696.102855
1050041;102923;103696;283852;26706000000;0;249656982;2025-09-30;2007-06-14;2025-09-30;0;103401.95232502.103696.102923
1062044;102979;103696;283976;26706000000;0;249656985;2025-09-30;2012-07-19;2025-09-30;0;103401.95232502.103696.102979
1065572;102414;103696;282739;26706000000;0;249656954;2025-09-30;1997-07-12;2025-09-30;0;103401.95232502.103696.102414
1303505;104079;103696;286125;26706000000;0;249657059;2025-09-30;2001-06-26;2025-09-30;0;103401.95232502.103696.104079
1316216;104404;103696;286669;26706000000;0;249657071;2025-09-30;2019-06-21;2025-09-30;0;103401.95232502.103696.104404
1324203;103617;103696;285292;26706000000;0;249657042;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.103617
1324231;103690;103696;285416;26706000000;0;249657047;2025-09-30;2015-12-20;2025-09-30;0;103401.95232502.103696.103690
1324251;103752;103696;285526;26706000000;0;249657050;2025-09-30;2016-07-25;2025-09-30;0;103401.95232502.103696.103752
1080284;102181;103696;282217;26706000000;0;249656939;2025-09-30;1997-07-08;2025-09-30;0;103401.95232502.103696.102181
1083881;102298;103696;282515;26706000000;0;249656943;2025-09-30;1997-07-01;2025-09-30;0;103401.95232502.103696.102298
1090283;102778;103696;283582;26706000000;0;249656968;2025-09-30;1998-08-20;2025-09-30;0;103401.95232502.103696.102778
1097062;102049;103696;281892;26706000000;0;249656930;2025-09-30;2015-10-27;2025-09-30;0;103401.95232502.103696.102049
1103431;102108;103696;282037;26706000000;0;249656933;2025-09-30;2015-10-27;2025-09-30;0;103401.95232502.103696.102108
1108886;102167;103696;282163;26706000000;0;249656938;2025-09-30;2015-10-27;2025-09-30;0;103401.95232502.103696.102167
1114366;102777;103696;283515;26706000000;0;249656967;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.102777
1119375;102555;103696;283075;26706000000;0;249656959;2025-09-30;1997-07-08;2025-09-30;0;103401.95232502.103696.102555
1124809;102823;103696;283702;26706000000;0;249656973;2025-09-30;2006-12-06;2025-09-30;0;103401.95232502.103696.102823
1125703;103022;103696;284075;26706000000;0;249656989;2025-09-30;2012-07-19;2025-09-30;0;103401.95232502.103696.103022
1163883;103104;103696;284226;26706000000;0;249656993;2025-09-30;2012-07-19;2025-09-30;0;103401.95232502.103696.103104
1186750;102581;103696;283129;26706000000;0;249656960;2025-09-30;1998-08-20;2025-09-30;0;103401.95232502.103696.102581
1194521;103017;103696;284087;26706000000;0;249656987;2025-09-30;2004-10-04;2025-09-30;0;103401.95232502.103696.103017
1198422;103124;103696;284290;26706000000;0;249656994;2025-09-30;2005-02-02;2025-09-30;0;103401.95232502.103696.103124
1211755;103191;103696;284402;26706000000;0;249657001;2025-09-30;2013-08-01;2025-09-30;0;103401.95232502.103696.103191
1216176;103161;103696;284366;26706000000;0;249656997;2025-09-30;1998-08-20;2025-09-30;0;103401.95232502.103696.103161
1217995;102810;103696;283608;26706000000;0;249656971;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.102810
1221716;102862;103696;283732;26706000000;0;249656977;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.102862
1221722;102940;103696;283901;26706000000;0;249656983;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.102940
1222404;103020;103696;284072;26706000000;0;249656988;2025-09-30;2015-12-30;2025-09-30;0;103401.95232502.103696.103020
1224362;103093;103696;284204;26706000000;0;249656992;2025-09-30;2015-10-27;2025-09-30;0;103401.95232502.103696.103093
1224367;103178;103696;284367;26706000000;0;249657000;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.103178
1224373;103228;103696;284490;26706000000;0;249657004;2025-09-30;2011-04-21;2025-09-30;0;103401.95232502.103696.103228
1228974;102268;103696;282400;26706000000;0;249656942;2025-09-30;2017-05-11;2025-09-30;0;103401.95232502.103696.102268
1236322;102340;103696;282576;26706000000;0;249656947;2025-09-30;2017-05-11;2025-09-30;0;103401.95232502.103696.102340
1236327;102386;103696;282659;26706000000;0;249656950;2025-09-30;2018-04-24;2025-09-30;0;103401.95232502.103696.102386
1236335;102431;103696;282761;26706000000;0;249656955;2025-09-30;2014-09-19;2025-09-30;0;103401.95232502.103696.102431
1238845;103262;103696;284561;26706000000;0;249657008;2025-09-30;2016-02-20;2025-09-30;0;103401.95232502.103696.103262
1242384;103279;103696;284599;26706000000;0;249657011;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.103279
1242393;103334;103696;284728;26706000000;0;249657016;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.103334
1242419;103363;103696;284787;26706000000;0;249657020;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.103363
1243360;103446;103696;284944;26706000000;0;249657027;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.103446
1243726;103510;103696;285076;26706000000;0;249657031;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.103510
1243735;103559;103696;285178;26706000000;0;249657037;2025-09-30;2015-12-09;2025-09-30;0;103401.95232502.103696.103559
1254931;103273;103696;284585;26706000000;0;249657009;2025-09-30;2012-07-19;2025-09-30;0;103401.95232502.103696.103273
1254939;103338;103696;284732;26706000000;0;249657017;2025-09-30;2014-02-13;2025-09-30;0;103401.95232502.103696.103338
1259626;103394;103696;284841;26706000000;0;249657024;2025-09-30;2009-09-10;2025-09-30;0;103401.95232502.103696.103394
1260162;103287;103696;284632;26706000000;0;249657012;2025-09-30;1997-06-17;2025-09-30;0;103401.95232502.103696.103287
1264898;103393;103696;284851;26706000000;0;249657023;2025-09-30;2005-12-11;2025-09-30;0;103401.95232502.103696.103393
1266892;103276;103696;284606;26706000000;0;249657010;2025-09-30;1997-07-12;2025-09-30;0;103401.95232502.103696.103276
1270621;103503;103696;285107;26706000000;0;249657030;2025-09-30;2012-09-12;2025-09-30;0;103401.95232502.103696.103503
1279916;103551;103696;285181;26706000000;0;249657036;2025-09-30;2007-12-13;2025-09-30;0;103401.95232502.103696.103551
1279926;103229;103696;284510;26706000000;0;249657005;2025-09-30;1997-07-08;2025-09-30;0;103401.95232502.103696.103229
1285883;103570;103696;285236;26706000000;0;249657038;2025-09-30;1998-08-20;2025-09-30;0;103401.95232502.103696.103570
1290928;103671;103696;285413;26706000000;0;249657045;2025-09-30;1997-07-01;2025-09-30;0;103401.95232502.103696.103671
1299997;103708;103696;285472;26706000000;0;249657048;2025-09-30;1997-07-01;2025-09-30;0;103401.95232502.103696.103708
1353145;103882;103696;285777;26706000000;0;249657056;2025-09-30;2015-04-30;2025-09-30;0;103401.95232502.103696.103882
1354467;103805;103696;285661;26706000000;0;249657054;2025-09-30;1997-06-17;2025-09-30;0;103401.95232502.103696.103805
1358124;104231;103696;286370;26706000000;0;249657064;2025-09-30;1997-07-01;2025-09-30;0;103401.95232502.103696.104231
1358548;104113;103696;286178;26706000000;0;249657060;2025-09-30;1900-01-01;2025-09-30;0;103401.95232502.103696.104113
1364743;104316;103696;286525;26706000000;0;249657068;2025-09-30;1997-07-08;2025-09-30;0;103401.95232502.103696.104316
1366137;104643;103696;287121;26706000000;0;249657074;2025-09-30;2004-02-10;2025-09-30;0;103401.95232502.103696.104643
118739107;104273570;103696;281356798;26706000000;0;249672316;2025-09-30;2022-04-19;2025-09-30;0;103401.95232502.103696.104273570
248182826;173611043;103696;655962864;26706000000;0;249673098;2025-09-30;2025-07-24;2025-09-30;0;103401.95232502.103696.173611043
248182827;173611044;103696;655962865;26706000000;0;249673099;2025-09-30;2025-07-24;2025-09-30;0;103401.95232502.103696.173611044
249656876;100840;103696;689759295;26706000001;892923;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.100840
249656878;100896;103696;689759289;26706000001;870583;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.100896
249656880;100994;103696;689759292;26706000001;875506;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.100994
249656882;101028;103696;689759287;26706000001;854577;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101028
249656884;101140;103696;689759286;26706000001;854394;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101140
249656886;101169;103696;689759291;26706000001;874685;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101169
249656888;101203;103696;689759296;26706000001;898287;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101203
249656890;101244;103696;689759297;26706000001;902250;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101244
249656892;101277;103696;689759302;26706000001;913156;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101277
249656894;101330;103696;689759303;26706000001;915684;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101330
249656896;101361;103696;689759304;26706000001;916350;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101361
249656898;101400;103696;689759283;26706000001;839255;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101400
249656900;101466;103696;689759311;26706000001;926630;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101466
249656902;101564;103696;689759316;26706000001;948826;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101564
249656904;101631;103696;689759318;26706000001;951284;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101631
249656906;101670;103696;689759305;26706000001;918568;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101670
249656908;101694;103696;689759284;26706000001;846174;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101694
249656910;101739;103696;689759322;26706000001;956806;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101739
249656912;101759;103696;689759315;26706000001;948426;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101759
249656914;101785;103696;689759324;26706000001;959620;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101785
249656916;101828;103696;689759325;26706000001;959627;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101828
249656918;101862;103696;689759326;26706000001;959628;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101862
249656920;101916;103696;689759327;26706000001;978220;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101916
249656922;101957;103696;689759330;26706000001;993364;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101957
249656924;101960;103696;689759328;26706000001;993159;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101960
249656926;101997;103696;689759343;26706000001;1040437;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.101997
249656928;102032;103696;689759309;26706000001;924919;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102032
249656930;102049;103696;689759361;26706000001;1097062;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102049
249656932;102069;103696;689759362;26706000001;1100305;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102069
249656934;102109;103696;689759306;26706000001;919827;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102109
249656936;102147;103696;689759364;26706000001;1108878;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102147
249656938;102167;103696;689759365;26706000001;1108886;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102167
249656940;102227;103696;689759356;26706000001;1081152;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102227
249656942;102268;103696;689759402;26706000001;1228974;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102268
249656944;102304;103696;689759339;26706000001;1029463;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102304
249656946;102314;103696;689759336;26706000001;1026141;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102314
249656948;102367;103696;689759405;26706000001;1236325;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102367
249656950;102386;103696;689759406;26706000001;1236327;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102386
249656952;102405;103696;689759334;26706000001;1024274;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102405
249656954;102414;103696;689759353;26706000001;1065572;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102414
249656956;102434;103696;689759368;26706000001;1114371;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102434
249656958;102489;103696;689759335;26706000001;1025716;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102489
249656960;102581;103696;689759377;26706000001;1186750;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102581
249656962;102613;103696;689759354;26706000001;1066021;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102613
249656964;102674;103696;689759370;26706000001;1121493;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102674
249656966;102762;103696;689759344;26706000001;1043303;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102762
249656968;102778;103696;689759359;26706000001;1090283;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102778
249656970;102796;103696;689759345;26706000001;1043970;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102796
249656972;102822;103696;689759380;26706000001;1197861;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102822
249656974;102826;103696;689759389;26706000001;1221707;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102826
249656976;102855;103696;689759347;26706000001;1045373;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102855
249656978;102890;103696;689759348;26706000001;1046522;0;2025-09-30;2025-09-30;2079-06-06;1;103401.95232502.103456.103696.102890
