ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644474848;174922657;689650442;0;1;0700;2025-09-29;2025-09-29;2079-06-06
1644474852;174922657;689650442;0;3;0705;2025-09-29;2025-09-29;2079-06-06
1644474854;174922657;689650442;0;6;83235000005;2025-09-29;2025-09-29;2079-06-06
1644474856;174922657;689650442;0;8;07:06:3600000:384;2025-09-29;2025-09-29;2079-06-06
1644474864;174922657;689650442;0;13;836354100000000003210005000000000;2025-09-29;2025-09-29;2079-06-06
1644474928;174922672;689650457;0;1;0700;2025-09-29;2025-09-29;2079-06-06
1644474879;174922667;689650452;0;2;0700;2025-09-29;2025-09-29;2079-06-06
1644474881;174922667;689650452;0;4;0705;2025-09-29;2025-09-29;2079-06-06
1644474883;174922667;689650452;0;7;83635410101;2025-09-29;2025-09-29;2079-06-06
1644474885;174922667;689650452;0;15;25;2025-09-29;2025-09-29;2079-06-06
1644474887;174922667;689650452;0;21;83635410;2025-09-29;2025-09-29;2079-06-06
1644474889;174922668;689650453;0;4;0705;2025-09-29;2025-09-29;2079-06-06
1644474891;174922668;689650453;0;7;83635410101;2025-09-29;2025-09-29;2079-06-06
1644474893;174922668;689650453;0;1;0700;2025-09-29;2025-09-29;2079-06-06
1644474895;174922668;689650453;0;15;26;2025-09-29;2025-09-29;2079-06-06
1644474897;174922668;689650453;0;21;83635410;2025-09-29;2025-09-29;2079-06-06
1644474899;174922669;689650454;0;2;0700;2025-09-29;2025-09-29;2079-06-06
1644474901;174922669;689650454;0;4;0705;2025-09-29;2025-09-29;2079-06-06
1644474903;174922669;689650454;0;7;83635410101;2025-09-29;2025-09-29;2079-06-06
1644474905;174922669;689650454;0;15;27;2025-09-29;2025-09-29;2079-06-06
1644474907;174922669;689650454;0;21;83635410;2025-09-29;2025-09-29;2079-06-06
1644474909;174922670;689650455;0;1;0700;2025-09-29;2025-09-29;2079-06-06
1644474911;174922670;689650455;0;3;0705;2025-09-29;2025-09-29;2079-06-06
1644474913;174922670;689650455;0;6;83235000005;2025-09-29;2025-09-29;2079-06-06
1644474915;174922670;689650455;0;15;28;2025-09-29;2025-09-29;2079-06-06
1644474917;174922670;689650455;0;21;83635410;2025-09-29;2025-09-29;2079-06-06
1644474919;174922671;689650456;0;2;0700;2025-09-29;2025-09-29;2079-06-06
1644474921;174922671;689650456;0;4;0705;2025-09-29;2025-09-29;2079-06-06
1644474923;174922671;689650456;0;7;83635410101;2025-09-29;2025-09-29;2079-06-06
1644474925;174922671;689650456;0;15;29;2025-09-29;2025-09-29;2079-06-06
1644474927;174922671;689650456;0;21;83635410;2025-09-29;2025-09-29;2079-06-06
1644474930;174922672;689650457;0;3;0705;2025-09-29;2025-09-29;2079-06-06
1644474932;174922672;689650457;0;6;83235000005;2025-09-29;2025-09-29;2079-06-06
1644474934;174922672;689650457;0;8;07:06:2200004:246;2025-09-29;2025-09-29;2079-06-06
1644474941;174922672;689650457;0;13;836354100000000003110038000000000;2025-09-29;2025-09-29;2079-06-06
1644821418;174967393;689751937;0;1;0700;2025-09-30;2025-09-30;2079-06-06
1644821420;174967393;689751937;0;6;83248000010;2025-09-30;2025-09-30;2079-06-06
1644821422;174967393;689751937;0;8;07:11:0900001:1419;2025-09-30;2025-09-30;2079-06-06
1644821424;174967393;689751937;0;13;836484301060000000210144000000000;2025-09-30;2025-09-30;2079-06-06
