ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;AREACODE;CITYCODE;PLACECODE;PLANCODE;STREETCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
247047404;174934023;112550;689675816;8;11;0;1;0;48;0;0;2025-09-29;2025-09-29;2079-06-06;1;110423.114839.115185.112550.174934023
247049949;174936542;113241;689681065;8;15;0;1;0;38;0;0;2025-09-29;2025-09-29;2079-06-06;1;110423.115224.112295.113241.174936542
247076275;174961465;39271664;689738283;8;;;;;;0;0;2025-09-30;2025-09-30;2079-06-06;1;110423.110435.111179.39271664.174961465
247076274;174961464;112492;689738282;8;0;1;0;0;368;0;0;2025-09-30;2025-09-30;2079-06-06;1;110423.110435.112492.174961464
247076298;174961488;111302;689738340;8;11;0;24;0;1;0;0;2025-09-30;2025-09-30;2079-06-06;1;110423.114839.115157.111302.174961488
247076304;174961494;111774;689738403;8;0;1;0;0;696;0;0;2025-09-30;2025-09-30;2079-06-06;1;110423.110435.111774.174961494
247098223;174982765;112927;689802134;8;14;0;18;0;3;0;0;2025-10-01;2025-10-01;2079-06-06;1;110423.115867.112229.112927.174982765
247098224;174982766;73768301;689802135;8;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;110423.115867.115990.113291.73768301.174982766
247098240;174982782;114804;689802162;8;11;0;1;0;46;0;0;2025-10-01;2025-10-01;2079-06-06;1;110423.114839.115185.114804.174982782
247098246;174982786;52558828;689802169;8;;;;;;0;0;2025-10-01;2025-10-01;2079-06-06;1;110423.110435.109503.52558828.174982786
