CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689633410;15452136;ba4d1389-77da-4805-a1bd-ef7c5f883a61;20;27408002;2025-09-29
689638964;1647510;97657a0f-804b-48cd-bb2c-0582204aa582;20;27409200;2025-09-29
689642113;43090284;ae3d85bf-a5b4-4d18-9611-f8bb7f6d803c;24;27409596;2025-09-29
689642115;43098138;9d22e741-4858-404a-92ef-8f1d09ae83b0;24;27409596;2025-09-29
689642117;43103937;203f6f8f-5255-4095-bf3f-e45c1cf7950a;24;27409596;2025-09-29
689642653;84131907;91309976-c54d-459b-b640-9e173fb4c168;20;27409659;2025-09-29
689639628;46092826;2f8cb58f-fab8-42ab-89d1-ccc934cd36f1;20;27409297;2025-09-29
689675813;174934020;6f47ffe5-4dde-4ef6-bd42-9b8ddb160d88;10;27414253;2025-09-29
689678881;4506602;b0832e62-a617-4c87-abcc-03a0de786570;20;27414477;2025-09-29
689682554;41709053;9206ceb6-f61b-42fc-9629-57f5289f628e;20;27415194;2025-09-29
689682658;31958371;7a067d19-005f-469b-8f1b-657ef6463461;20;27415215;2025-09-29
689707761;59787127;c9524ae1-e558-4d22-9366-f979418efd76;20;27419349;2025-09-30
689707762;59644581;9842b41b-42ca-4702-9e48-2b39e1b8349c;20;27419350;2025-09-30
689708002;58707065;a024f9fc-ed1a-474f-80b9-579589f80d34;20;27419422;2025-09-30
689708015;49312442;ee1e94ed-4f1a-4a2c-be23-23edf2a773ca;20;27419430;2025-09-30
689708113;29451945;3b92eceb-e2ad-40f0-bb5d-d68176b3f437;20;27419464;2025-09-30
689719158;17002919;2863c7e8-5c87-4efb-9ba4-8558bf042b75;20;27421604;2025-09-30
689719479;51227628;72c0ede5-2a9c-4bd3-a3a9-57aa45c41961;20;27421660;2025-09-30
689719503;51213162;ee0ace9e-55b5-454f-9993-8209ad92d659;20;27421662;2025-09-30
689719509;51218981;ee6a8999-1b4b-4f70-a2f2-65a919403100;20;27421664;2025-09-30
689719519;51230147;116a8d75-ef13-466a-a462-02edf5558801;20;27421667;2025-09-30
689719569;51227144;529c4031-b920-41f6-b1d6-ca10f02dd7ab;20;27421684;2025-09-30
689719574;51227649;492d5b83-b702-4f02-b206-7460316cf778;20;27421688;2025-09-30
689719580;51230177;e9171177-8ca1-4562-8e6b-8e6f4b533570;20;27421694;2025-09-30
689719584;51229797;d9750aea-9898-455b-9c68-6437343d62b3;20;27421698;2025-09-30
689719598;51212899;9048a49a-11d1-49a2-a197-eb221c5bdb9a;20;27421712;2025-09-30
689719605;51227035;f919b2ef-d188-44ae-9e4d-3aaf46d4ee9c;20;27421718;2025-09-30
689719621;51212919;e2e76f09-8942-4c48-8c5a-8e344009d8b7;20;27421729;2025-09-30
689719624;51230322;20526646-94c5-45a1-ba1a-5450a9143468;20;27421732;2025-09-30
689719630;51227702;234d0555-c00a-468f-b0b8-de0f734bf57e;20;27421738;2025-09-30
689719643;51230199;36418e27-9440-4e81-8666-a3f3e3fcb985;20;27421741;2025-09-30
689719647;51227707;1bf2e962-5479-4f58-ad86-d0d0759fe1fc;20;27421744;2025-09-30
689719661;48148597;0a6c3592-bc0b-48b8-b434-a7f5c3bf67a0;20;27421752;2025-09-30
689721815;22306128;e2382025-bc03-41ef-8a9d-4ec0648fbf56;20;27422101;2025-09-30
689741774;31132973;62f57ef4-7060-4de9-be12-831d3c5f9202;20;27425502;2025-09-30
689741788;21884955;77249ac7-ca2d-4660-908b-982b77eb5337;20;27425505;2025-09-30
689741855;32275207;bcaef93a-6b5e-411a-95a6-86ae22da191c;20;27425514;2025-09-30
689742092;4397332;c98d3d91-d8f3-4db5-a3c0-c3bd465f99a5;20;27425546;2025-09-30
689744444;51227711;e3f50ed7-4423-484c-93c6-ae088639dec2;20;27426118;2025-09-30
689744523;51227983;2017599d-0831-4698-87d5-909150559e57;20;27426140;2025-09-30
689744587;51229347;17695c2f-b448-4574-95b0-410675cbdeaf;20;27426149;2025-09-30
689744593;51214278;e4d10322-98c7-4e27-96ab-87e64661b277;20;27426154;2025-09-30
