ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1458765000;32281187;562760734;689741896;8;08:09:310150:310;2025-09-30;2023-10-03;2025-09-30
1458766818;48148597;562762541;689719661;8;08:03:010181:451;2025-09-30;2023-10-03;2025-09-30
854619705;29809392;293366258;689707948;8;08:09:310131:191;2025-09-30;2022-09-21;2025-09-30
1644409397;15452136;689633410;0;8;08:02:060103:140;2025-09-29;2025-09-29;2079-06-06
1644417922;28206831;689635562;0;8;08:01:360101:120;2025-09-29;2025-09-29;2079-06-06
1644428455;1647510;689638964;0;8;08:09:310134:124;2025-09-29;2025-09-29;2079-06-06
1644431649;46092826;689639628;0;8;08:09:310136:173;2025-09-29;2025-09-29;2079-06-06
1644431648;21290076;689639627;0;8;08:09:310101:160;2025-09-29;2025-09-29;2079-06-06
1644437670;43087639;689642112;0;8;08:06:010108:50;2025-09-29;2025-09-29;2079-06-06
1644437671;43090284;689642113;0;8;08:06:010107:204;2025-09-29;2025-09-29;2079-06-06
1644437672;43094996;689642114;0;8;08:06:010107:228;2025-09-29;2025-09-29;2079-06-06
1644437673;43098138;689642115;0;8;08:06:010108:112;2025-09-29;2025-09-29;2079-06-06
1644437674;43101752;689642116;0;8;08:06:010108:54;2025-09-29;2025-09-29;2079-06-06
1644437675;43103937;689642117;0;8;08:06:010108:48;2025-09-29;2025-09-29;2079-06-06
1644438973;27463678;689642594;0;8;08:08:010105:196;2025-09-29;2025-09-29;2079-06-06
1600722765;84131907;642558972;689642653;8;08:13:240114:56;2025-09-29;2025-03-14;2025-09-29
1644553456;174934023;689675816;0;1;0800;2025-09-29;2025-09-29;2079-06-06
1644553458;174934023;689675816;0;6;85237835001;2025-09-29;2025-09-29;2079-06-06
1644553460;174934023;689675816;0;8;08:09:310137:348;2025-09-29;2025-09-29;2079-06-06
1644553462;174934023;689675816;0;13;856374351010000004820013000000000;2025-09-29;2025-09-29;2079-06-06
1644559372;4506066;689678759;0;8;08:02:070101:34;2025-09-29;2025-09-29;2079-06-06
1644571134;41709053;689682554;0;8;08:03:010146:137;2025-09-29;2025-09-29;2079-06-06
1644571640;16098680;689682645;0;8;08:03:010129:152;2025-09-29;2025-09-29;2079-06-06
1644571653;16065495;689682649;0;8;08:03:010129:144;2025-09-29;2025-09-29;2079-06-06
1644571695;31958371;689682658;0;8;08:03:010103:111;2025-09-29;2025-09-29;2079-06-06
1458770108;59644581;562765814;689707762;8;08:09:310115:145;2025-09-30;2023-10-03;2025-09-30
1644664579;59787127;689707761;0;8;08:09:310102:325;2025-09-30;2025-09-30;2079-06-06
1644664581;59681373;689707763;0;8;08:09:310118:94;2025-09-30;2025-09-30;2079-06-06
854622281;58707065;293368847;689708002;8;08:09:310132:103;2025-09-30;2022-09-21;2025-09-30
1458763459;58714272;562759196;689707990;8;08:09:310108:215;2025-09-30;2023-10-03;2025-09-30
854622680;49322449;293369247;689708012;8;08:09:310108:194;2025-09-30;2022-09-21;2025-09-30
854625454;49312442;293372025;689708015;8;08:09:310117:211;2025-09-30;2022-09-21;2025-09-30
1458769589;29451945;562765300;689708113;8;08:09:310103:204;2025-09-30;2023-10-03;2025-09-30
1458766566;1515170;562762291;689708185;8;08:09:310133:242;2025-09-30;2023-10-03;2025-09-30
1591737582;17002919;638651610;689719158;8;08:09:260101:606;2025-09-30;2025-02-10;2025-09-30
1458767611;44240486;562763338;689719655;8;08:03:010181:608;2025-09-30;2023-10-03;2025-09-30
1401814805;2222896;509230145;689719660;8;08:01:230151:235;2025-09-30;2023-09-07;2025-09-30
1644708473;48148597;689719661;0;8;08:03:010181:174;2025-09-30;2025-09-30;2079-06-06
1644716947;22306128;689721815;0;8;08:09:260101:438;2025-09-30;2025-09-30;2079-06-06
1644771707;174961464;689738282;0;2;0800;2025-09-30;2025-09-30;2079-06-06
1644771709;174961464;689738282;0;7;85701000001;2025-09-30;2025-09-30;2079-06-06
1644771711;174961464;689738282;0;15;264;2025-09-30;2025-09-30;2079-06-06
1644771713;174961464;689738282;0;21;85701000;2025-09-30;2025-09-30;2079-06-06
1644772000;174961494;689738403;0;2;0800;2025-09-30;2025-09-30;2079-06-06
1644772002;174961494;689738403;0;7;85701000001;2025-09-30;2025-09-30;2079-06-06
1644772004;174961494;689738403;0;15;8;2025-09-30;2025-09-30;2079-06-06
1644772006;174961494;689738403;0;21;85701000;2025-09-30;2025-09-30;2079-06-06
1644772008;174961495;689738404;0;2;0800;2025-09-30;2025-09-30;2079-06-06
1644772010;174961495;689738404;0;7;85701000001;2025-09-30;2025-09-30;2079-06-06
1644772012;174961495;689738404;0;15;153;2025-09-30;2025-09-30;2079-06-06
1644772014;174961495;689738404;0;21;85701000;2025-09-30;2025-09-30;2079-06-06
1644784962;32295211;689741772;0;8;08:09:310106:108;2025-09-30;2025-09-30;2079-06-06
1644784963;31132973;689741774;0;8;08:09:310135:121;2025-09-30;2025-09-30;2079-06-06
1644785074;76146438;689741786;0;8;08:09:310134:129;2025-09-30;2025-09-30;2079-06-06
1644785076;21884955;689741788;0;8;08:09:310116:158;2025-09-30;2025-09-30;2079-06-06
1644785089;1634816;689741792;0;8;08:09:310134:135;2025-09-30;2025-09-30;2079-06-06
1644785368;32275207;689741855;0;8;08:09:310148:118;2025-09-30;2025-09-30;2079-06-06
1458769029;4397332;562764742;689742092;8;08:09:310138:57;2025-09-30;2023-10-03;2025-09-30
1644815253;44227382;689750385;0;13;856151010010000004620016000000010;2025-09-30;2025-09-30;2079-06-06
1644815753;30553021;689750493;0;8;08:01:150105:66;2025-09-30;2025-09-30;2079-06-06
1644816042;12540893;689750571;0;8;08:01:230140:86;2025-09-30;2025-09-30;2079-06-06
1644950936;174982777;689802151;0;2;0800;2025-10-01;2025-10-01;2079-06-06
1644950938;174982777;689802151;0;7;85637435101;2025-10-01;2025-10-01;2079-06-06
1644950940;174982777;689802151;0;15;9;2025-10-01;2025-10-01;2079-06-06
1644950942;174982777;689802151;0;21;85637435;2025-10-01;2025-10-01;2079-06-06
