ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
249614894;174934020;112696;689675813;85637435101;0;0;2025-09-29;2025-09-29;2079-06-06;1;110423.95232681.95232683.115185.112696.174934020
249617442;174936542;113241;689681065;85654485101;0;0;2025-09-29;2025-09-29;2079-06-06;1;110423.95232751.95232763.112295.113241.174936542
249645979;174961463;67537751;689738280;85701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;110423.95232764.110435.109322.67537751.174961463
249645982;174961466;67655085;689738285;85701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;110423.95232764.110435.109322.67655085.174961466
249646005;174961489;43291418;689738341;85701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;110423.95232764.110435.109032.43291418.174961489
249646009;174961493;67537751;689738393;85701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;110423.95232764.110435.109322.67537751.174961493
249687152;174982765;112927;689802134;85650477101;0;0;2025-10-01;2025-10-01;2079-06-06;1;110423.95232693.95232704.112229.112927.174982765
249687175;174982786;52558828;689802169;85701000001;0;0;2025-10-01;2025-10-01;2079-06-06;1;110423.95232764.110435.109503.52558828.174982786
249687164;174982777;111971;689802151;85637435101;0;0;2025-10-01;2025-10-01;2079-06-06;1;110423.95232681.95232683.115185.111971.174982777
249687173;174982785;52558828;689802166;85701000001;0;0;2025-10-01;2025-10-01;2079-06-06;1;110423.95232764.110435.109503.52558828.174982785
