ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
119772900;19310088;30300048;689794761;8;10:03:060119:30;2025-10-01;1900-01-01;2025-10-01
339876595;60432558;90222195;689819738;8;10:13:0011207:01;2025-10-01;2015-10-07;2025-10-01
1459340894;9788728;563316025;689754281;8;10:01:0110172:156;2025-09-30;2023-10-04;2025-09-30
1459376335;21663593;563351988;689807108;8;10:01:0170124:45;2025-10-01;2023-10-04;2025-10-01
854794967;23420493;293542705;689794781;8;10:15:0010302:29;2025-10-01;2022-09-21;2025-10-01
1597308005;38900731;641368107;689794738;8;10:01:0000000:5699;2025-10-01;2025-02-26;2025-10-01
1597325581;29285244;641383107;689751458;8;10:01:0120109:78;2025-09-30;2025-02-26;2025-09-30
1597342173;79843480;641397274;689692714;8;10:01:0220117:66;2025-09-29;2025-02-26;2025-09-29
1597342175;29294992;641397276;689751994;8;10:01:120109:80;2025-09-30;2025-02-26;2025-09-30
1644418310;58532430;689635721;0;8;10:20:0040104:184;2025-09-29;2025-09-29;2079-06-06
1644425875;174915836;689638122;0;2;1000;2025-09-29;2025-09-29;2079-06-06
1644425877;174915836;689638122;0;7;86621403111;2025-09-29;2025-09-29;2079-06-06
1644425879;174915836;689638122;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644425881;174915836;689638122;0;21;86621403;2025-09-29;2025-09-29;2079-06-06
1644425955;174915845;689638147;0;2;1000;2025-09-29;2025-09-29;2079-06-06
1644425957;174915845;689638147;0;7;86621403111;2025-09-29;2025-09-29;2079-06-06
1644425959;174915845;689638147;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644425961;174915845;689638147;0;21;86621403;2025-09-29;2025-09-29;2079-06-06
1644426894;174916012;689638435;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644426896;174916012;689638435;0;6;86250000016;2025-09-29;2025-09-29;2079-06-06
1644426898;174916012;689638435;0;8;10:16:0000000:2397;2025-09-29;2025-09-29;2079-06-06
1644426900;174916012;689638435;0;13;866504431010000001820029000000000;2025-09-29;2025-09-29;2079-06-06
1644448812;174919067;689644821;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644448814;174919067;689644821;0;6;86239000074;2025-09-29;2025-09-29;2079-06-06
1644448816;174919067;689644821;0;8;10:21:0030143:65;2025-09-29;2025-09-29;2079-06-06
1644448818;174919067;689644821;0;13;866394581010000002420092000000000;2025-09-29;2025-09-29;2079-06-06
1644448924;174919079;689644834;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644448926;174919079;689644834;0;6;86239000074;2025-09-29;2025-09-29;2079-06-06
1644448928;174919079;689644834;0;8;10:21:0030103:60;2025-09-29;2025-09-29;2079-06-06
1644448930;174919079;689644834;0;13;866394581010000002320076000000000;2025-09-29;2025-09-29;2079-06-06
1644448940;174919081;689644836;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644448942;174919081;689644836;0;6;86236000045;2025-09-29;2025-09-29;2079-06-06
1644448944;174919081;689644836;0;8;10:20:0015511:966;2025-09-29;2025-09-29;2079-06-06
1644448946;174919081;689644836;0;13;866364701310028000020008000000000;2025-09-29;2025-09-29;2079-06-06
1644448971;174919085;689644842;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644448973;174919085;689644842;0;3;1001;2025-09-29;2025-09-29;2079-06-06
1644448975;174919085;689644842;0;6;86401000000;2025-09-29;2025-09-29;2079-06-06
1644448977;174919085;689644842;0;8;10:01:0120101:9537;2025-09-29;2025-09-29;2079-06-06
1644448979;174919085;689644842;0;13;867010000010584122520020000000000;2025-09-29;2025-09-29;2079-06-06
1644449413;174919120;689645052;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449415;174919120;689645052;0;3;1001;2025-09-29;2025-09-29;2079-06-06
1644449417;174919120;689645052;0;6;86401000000;2025-09-29;2025-09-29;2079-06-06
1644449419;174919120;689645052;0;8;10:01:0000000:306;2025-09-29;2025-09-29;2079-06-06
1644449421;174919120;689645052;0;13;867010000010564134130020000000000;2025-09-29;2025-09-29;2079-06-06
1644449423;174919121;689645053;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449425;174919121;689645053;0;3;1001;2025-09-29;2025-09-29;2079-06-06
1644449427;174919121;689645053;0;6;86401000000;2025-09-29;2025-09-29;2079-06-06
1644449429;174919121;689645053;0;8;10:01:0000000:1258;2025-09-29;2025-09-29;2079-06-06
1644449431;174919121;689645053;0;13;867010000010564134130021000000000;2025-09-29;2025-09-29;2079-06-06
1644449433;174919122;689645054;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449435;174919122;689645054;0;3;1001;2025-09-29;2025-09-29;2079-06-06
1644449437;174919122;689645054;0;6;86401000000;2025-09-29;2025-09-29;2079-06-06
1644449439;174919122;689645054;0;8;10:01:0000000:113;2025-09-29;2025-09-29;2079-06-06
1644449441;174919122;689645054;0;13;867010000010564134130022000000000;2025-09-29;2025-09-29;2079-06-06
1644449443;174919123;689645055;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449403;174919119;689645049;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449405;174919119;689645049;0;6;86233000000;2025-09-29;2025-09-29;2079-06-06
1644449407;174919119;689645049;0;8;10:05:0061201:186;2025-09-29;2025-09-29;2079-06-06
1644449409;174919119;689645049;0;13;865330000000068000020001000000000;2025-09-29;2025-09-29;2079-06-06
1644449470;174919126;689645060;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449472;174919126;689645060;0;6;86233000000;2025-09-29;2025-09-29;2079-06-06
1644449474;174919126;689645060;0;8;10:05:0061201:71;2025-09-29;2025-09-29;2079-06-06
1644449476;174919126;689645060;0;13;865330000000068000020004000000000;2025-09-29;2025-09-29;2079-06-06
1644449445;174919123;689645055;0;3;1001;2025-09-29;2025-09-29;2079-06-06
1644449447;174919123;689645055;0;6;86401000000;2025-09-29;2025-09-29;2079-06-06
1644449449;174919123;689645055;0;8;10:01:0000000:1445;2025-09-29;2025-09-29;2079-06-06
1644449451;174919123;689645055;0;13;867010000010564134130023000000000;2025-09-29;2025-09-29;2079-06-06
1644449454;174919124;689645057;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449456;174919124;689645057;0;6;86233000000;2025-09-29;2025-09-29;2079-06-06
1644449458;174919124;689645057;0;8;10:05:0061201:183;2025-09-29;2025-09-29;2079-06-06
1644449460;174919124;689645057;0;13;865330000000068000020002000000000;2025-09-29;2025-09-29;2079-06-06
1644449462;174919125;689645059;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449464;174919125;689645059;0;6;86233000000;2025-09-29;2025-09-29;2079-06-06
1644449466;174919125;689645059;0;8;10:05:0061201:185;2025-09-29;2025-09-29;2079-06-06
1644449468;174919125;689645059;0;13;865330000000068000020003000000000;2025-09-29;2025-09-29;2079-06-06
1644449692;174919152;689645097;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449694;174919152;689645097;0;6;86233000000;2025-09-29;2025-09-29;2079-06-06
1644449696;174919152;689645097;0;8;10:05:0061201:188;2025-09-29;2025-09-29;2079-06-06
1644449698;174919152;689645097;0;13;865330000000068000020005000000000;2025-09-29;2025-09-29;2079-06-06
1644450102;174919199;689645162;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644450104;174919199;689645162;0;6;86250000013;2025-09-29;2025-09-29;2079-06-06
1644450106;174919199;689645162;0;8;10:16:0000000:1567;2025-09-29;2025-09-29;2079-06-06
1644450108;174919199;689645162;0;13;866504351010000001820026000000000;2025-09-29;2025-09-29;2079-06-06
1644452311;174919531;689645507;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644452313;174919531;689645507;0;3;1001;2025-09-29;2025-09-29;2079-06-06
1644452315;174919531;689645507;0;6;86401000000;2025-09-29;2025-09-29;2079-06-06
1644452317;174919531;689645507;0;8;10:01:0000000:3664;2025-09-29;2025-09-29;2079-06-06
1644452319;174919531;689645507;0;13;867010000010572094120041000000000;2025-09-29;2025-09-29;2079-06-06
1644455789;174919966;689646066;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644455791;174919966;689646066;0;3;1013;2025-09-29;2025-09-29;2079-06-06
