ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27410382;О присвоении наименования элементу улично- дорожной сети в деревне Филимоновская Пудожского городского поселения  Пудожского муниципального района;2025-09-26;601-П;21;2;2025-09-29;АДМИНИСТРАЦИЯ ПУДОЖСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;2025-09-29
27410428;О присвоении адреса объектам недвижимости;2025-09-25;1733;15;2;2025-09-29;АДМИНИСТРАЦИЯ СОРТАВАЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27410520;О присвоении адреса жилому дому и земельному участку;2025-09-24;605;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЛАХДЕНПОХСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;2025-09-29
27410792;О присвоении адреса индивидуальному жилому дому с кадастровым номером 10:07:0020301:447;2025-09-25;1741;15;2;2025-09-29;АДМИНИСТРАЦИЯ СОРТАВАЛЬСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27410991;Об упорядочении адресного хозяйства;2025-09-24;36;21;2;2025-09-29;АДМИНИСТРАЦИЯ ТОЛВУЙСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27411710;О присвоении адреса;2025-09-29;593;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27412378;О присвоении адреса жилому дому и земельному участку;2025-09-24;605;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЛАХДЕНПОХСКОГО МУНИЦИПАЛЬНОГО РАЙОНА;2025-09-29
27413302;О присвоении адреса;2025-09-29;397;21;2;2025-09-29;Администрация Шуйского сельского поселения;2025-09-29
27413545;О присвоении адреса;2025-09-29;594;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27413943;Об упорядочении адресного хозяйства;2025-09-29;595;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27414503;О присвоении адреса;2025-09-29;597;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27414498;О присвоении адреса;2025-09-29;596;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27414858;О присвоении адреса;2025-09-29;600;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27415553;О присвоении адреса;2025-09-29;602;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27415842;О присвоении адреса;2025-09-29;603;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27416273;О присвоении адреса объекту адресации;2025-09-29;46;21;2;2025-09-29;АДМИНИСТРАЦИЯ МЕГРЕГСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27416438;О присвоении адреса;2025-09-29;399;21;2;2025-09-29;Администрация Шуйского сельского поселения;2025-09-29
27416747;Об упорядочении адресного хозяйства;2025-09-29;169;21;2;2025-09-29;АДМИНИСТРАЦИЯ ШУНЬГСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27419785;О присвоении адреса объекту адресации;2025-09-29;49;21;2;2025-09-29;АДМИНИСТРАЦИЯ ДЕРЕВЯНКСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27419864;Об упорядочении адресного хозяйства;2025-09-25;789;21;2;2025-09-29;АДМИНИСТРАЦИЯ СУОЯРВСКОГО МУНИЦИПАЛЬНОГО ОКРУГА;2025-09-29
27421041;О присвоении адреса;2025-09-29;606;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27421736;Об уточнении сведений, содержащихся в государственном адресном реестре;2025-09-19;382/1;23;1;2025-09-29;АДМИНИСТРАЦИЯ ПЕТРОЗАВОДСКОГО ГОРОДСКОГО ОКРУГА КГиЭР;2025-09-29
27422240;О присвоении адресов на территории Чёбинского сельского поселения;2025-09-29;37;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧЕБИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27422244;О присвоении адресов на территории Чёбинского сельского поселения;2025-09-29;38;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧЕБИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27422241;О присвоении адресов на территории Чёбинского поселения;2025-09-29;37;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧЕБИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27422245;О присвоении адресов на территории Чёбинского сельского поселения;2025-09-29;35;21;2;2025-09-29;АДМИНИСТРАЦИЯ ЧЕБИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-29
27423883;О присвоении адреса;2025-09-30;607;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27425553;О присвоении адреса объекту адресации;2025-09-30;50-п;21;2;2025-09-30;АДМИНИСТРАЦИЯ КУЗЕМСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27425556;Об упорядочении адресного хозяйства;2025-09-30;610;21;1;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27425551;О присвоении адреса;2025-09-30;608;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27425577;О присвоении адреса;2025-09-30;400;21;2;2025-09-30;Администрация Шуйского сельского поселения;2025-09-30
27426183;О присвоении адреса;2025-09-30;613;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27426190;О присвоении адреса;2025-09-30;43;21;2;2025-09-30;АДМИНИСТРАЦИЯ МЕЛИОРАТИВНОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27426192;Об упорядочении адресного хозяйство;2025-09-30;31;21;1;2025-09-30;АДМИНИСТРАЦИЯ НОВИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27426480;О присвоении адреса;2025-09-30;618;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27426505;О присвоении адреса;2025-09-30;619;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27426600;О присвоении адреса;2025-09-30;621;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27426653;О присвоении адреса;2025-09-30;623;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27426697;О принятии введении в действие Общероссийского классификатора территорий муниципальных образований ОК 033-2013;2013-06-14;159-СТ;24;1;2025-09-30;Росстандарт;2025-09-30
27426855;О присвоении адреса;2025-09-30;625;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27427072;О присвоении адреса;2025-09-30;627;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
27427504;О присвоении адреса;2025-09-30;629;21;2;2025-09-30;АДМИНИСТРАЦИЯ ЧАЛНИНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ;2025-09-30
