ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
74168526;174919084;8b735b1f-4742-4adb-94a9-b93121a7c606;689644839;31;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168525;174919083;ec7e1412-d674-4dc9-ad24-c6a62bdbc212;689644838;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168556;174919137;cf19bb70-0315-4cf1-95fb-f3847f8b840b;689645076;71;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168558;174919139;2e239c42-df45-44b0-9b66-675535c9e374;689645078;39;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168730;174919533;1754166e-9f2d-42e6-b497-322a3d908844;689645509;3;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169140;174920138;1ab92326-a67c-43e9-8950-671f9a01a1c1;689646357;5а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169225;174920301;e57345f9-923e-4f01-9e4a-f9e9e8e5af2b;689646625;64;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171567;174926223;9a7de2be-320f-44a9-a3ea-9fadce61aeba;689655970;9А;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74174047;174931774;b76bf090-bd23-420a-914c-8543837aebec;689672012;21б;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74175505;174935059;92f37624-1b69-4f7c-9232-320c4cd38ef3;689678904;25б;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177604;174940028;7252a2ef-317a-4346-9c17-cdbc776bd30d;689690309;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74177951;174940507;b2826532-c722-4ba5-89d7-52c6cf01a265;689691044;18а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74182897;174949582;6801f25d-d1b9-4965-9972-17d6475fcecd;689709349;28;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74186588;174954818;4d2bfc5a-e031-4f17-b0f8-17379492542d;689722621;26;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74191868;174963218;a91fecdc-2624-41c3-90e4-b14aac703841;689742172;16В;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74191881;174963271;a7d41894-86ed-4890-bc1b-2b735f5724af;689742231;11;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74191867;174963215;075fca35-a0f3-4100-b77b-9808934842f1;689742168;24А/1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74191874;174963256;6c5d7c32-4420-473e-816c-bbc703a0c21c;689742215;21;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
