ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644448864;174919073;689644828;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644448866;174919073;689644828;0;3;1013;2025-09-29;2025-09-29;2079-06-06
1644448868;174919073;689644828;0;6;86224501000;2025-09-29;2025-09-29;2079-06-06
1644448870;174919073;689644828;0;8;10:13:0010902:148;2025-09-29;2025-09-29;2079-06-06
1644448872;174919073;689644828;0;13;866241010010000006310008000000000;2025-09-29;2025-09-29;2079-06-06
1644448951;174919083;689644838;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644448953;174919083;689644838;0;6;86236000045;2025-09-29;2025-09-29;2079-06-06
1644448955;174919083;689644838;0;8;10:20:0015511:717;2025-09-29;2025-09-29;2079-06-06
1644448957;174919083;689644838;0;13;866364701310028000010012000000000;2025-09-29;2025-09-29;2079-06-06
1644448959;174919084;689644839;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644448961;174919084;689644839;0;3;1001;2025-09-29;2025-09-29;2079-06-06
1644448963;174919084;689644839;0;6;86401000000;2025-09-29;2025-09-29;2079-06-06
1644448965;174919084;689644839;0;8;10:01:0120101:8978;2025-09-29;2025-09-29;2079-06-06
1644448967;174919084;689644839;0;13;867010000010584122510021000000000;2025-09-29;2025-09-29;2079-06-06
1644449506;174919130;689645067;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449508;174919130;689645067;0;6;86233000000;2025-09-29;2025-09-29;2079-06-06
1644449510;174919130;689645067;0;8;10:05:0061201:39;2025-09-29;2025-09-29;2079-06-06
1644449512;174919130;689645067;0;13;865330000000068000010001000000000;2025-09-29;2025-09-29;2079-06-06
1644449564;174919137;689645076;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449566;174919137;689645076;0;6;86233000000;2025-09-29;2025-09-29;2079-06-06
1644449568;174919137;689645076;0;8;10:05:0061201:31;2025-09-29;2025-09-29;2079-06-06
1644449570;174919137;689645076;0;13;865330000000068000010002000000000;2025-09-29;2025-09-29;2079-06-06
1644449572;174919138;689645077;0;6;86233000000;2025-09-29;2025-09-29;2079-06-06
1644449574;174919138;689645077;0;8;10:05:0061201:47;2025-09-29;2025-09-29;2079-06-06
1644449576;174919138;689645077;0;2;1000;2025-09-29;2025-09-29;2079-06-06
1644449578;174919138;689645077;0;13;865330000000068000010003000000000;2025-09-29;2025-09-29;2079-06-06
1644449580;174919139;689645078;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449582;174919139;689645078;0;6;86233000000;2025-09-29;2025-09-29;2079-06-06
1644449584;174919139;689645078;0;8;10:05:0061201:26;2025-09-29;2025-09-29;2079-06-06
1644449586;174919139;689645078;0;13;865330000000068000010004000000000;2025-09-29;2025-09-29;2079-06-06
1644449588;174919140;689645079;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644449590;174919140;689645079;0;6;86233000000;2025-09-29;2025-09-29;2079-06-06
1644449592;174919140;689645079;0;8;10:05:0061201:44;2025-09-29;2025-09-29;2079-06-06
1644449594;174919140;689645079;0;13;865330000000068000010005000000000;2025-09-29;2025-09-29;2079-06-06
1644452329;174919533;689645509;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644452331;174919533;689645509;0;3;1001;2025-09-29;2025-09-29;2079-06-06
1644452333;174919533;689645509;0;6;86401000000;2025-09-29;2025-09-29;2079-06-06
1644452335;174919533;689645509;0;8;10:01:0170129:32;2025-09-29;2025-09-29;2079-06-06
1644452337;174919533;689645509;0;13;867010000010572094110039000000000;2025-09-29;2025-09-29;2079-06-06
1644456678;174920067;689646226;0;1;1000;2025-09-29;2025-09-29;2079-06-06
1644456680;174920067;689646226;0;3;1007;2025-09-29;2025-09-29;2079-06-06
1644456682;174920067;689646226;0;6;86410000017;2025-09-29;2025-09-29;2079-06-06
1644456684;174920067;689646226;0;8;10:07:0042811:990;2025-09-29;2025-09-29;2079-06-06
1644456686;174920067;689646226;0;13;866101011210000000910026000000000;2025-09-29;2025-09-29;2079-06-06
