ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
6052472;70390021;138537;104886774;12;0;0;2025-09-29;2015-07-09;2079-06-06;0;135479.141356.136988.138537.70390021
6492087;4162520;143723;7973208;12;0;0;2025-09-29;1900-01-01;2079-06-06;0;135479.142022.139676.143723.4162520
6400032;61427440;137915;91724271;12;0;0;2025-09-29;2015-07-09;2079-06-06;0;135479.141356.142240.137915.61427440
3633589;4654678;137882;8673947;12;0;0;2025-09-29;1900-01-01;2079-06-06;0;135479.137996.135965.137882.4654678
3727932;17739868;137591;27991741;12;0;0;2025-09-29;1900-01-01;2079-06-06;0;135479.137996.136973.137591.17739868
3824248;81926665;140447;121737016;12;0;0;2025-09-29;2011-11-01;2079-06-06;0;135479.137996.138930.140447.81926665
3866468;80359157;139266;119425369;12;0;0;2025-09-29;2011-11-01;2079-06-06;0;135479.137996.139811.139266.80359157
247052165;174938708;135583;689687143;12;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.136001.138619.135583.174938708
247052395;174938936;135540;689687687;12;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.136001.138619.135540.174938936
7938553;63802422;148257;95199700;12;0;0;2025-09-29;1900-01-01;2079-06-06;0;135479.148656.146569.148257.63802422
247054041;174940573;1920530;689691227;12;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.135499.136498.1920530.174940573
247054043;174940575;1920530;689691229;12;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.135499.136498.1920530.174940575
247055014;174941402;141261;689692926;12;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.137405.138278.141261.174941402
247064387;174950607;142312;689711173;12;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.141371.142378.142312.174950607
247065238;174951456;66989748;689712463;12;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.135499.135053.66986208.66989748.174951456
247065419;174951635;146915;689712820;12;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.141166.144168.146915.174951635
247073421;174958799;139815;689732745;12;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.137996.136973.139815.174958799
7545606;47310330;141806;71166573;12;0;0;2025-09-30;1900-01-01;2079-06-06;0;135479.146183.146571.141806.47310330
247076997;174962183;140439;689740251;12;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.140033.138243.140439.174962183
247082076;174967182;15202301;689751162;12;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.141371.138948.143756.15202301.174967182
247082599;174967698;138225;689752579;12;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.141371.138225.174967698
247084266;174969349;136410;689756310;12;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.136001.139414.136410.174969349
247085508;100128644;144347;689759062;12;117344560;0;2025-09-30;2025-09-30;2079-06-06;1;135479.148656.145690.144347.100128644
247090482;174975153;173571715;689787252;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.141371.143239.173571715.174975153
6579067;56506484;56505361;84506129;12;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.142022.141995.142439.56505361.56506484
6579072;56506538;56505361;84506218;12;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.142022.141995.142439.56505361.56506538
6579066;56505361;142439;84504357;12;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.142022.141995.142439.56505361
247097877;174982435;141240;689801344;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.142022.141995.141240.174982435
247097878;174982436;141240;689801346;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.142022.141995.141240.174982436
6566999;22303530;22302840;34776885;12;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.142022.141995.140910.22302840.22303530
6567016;22303762;22302840;34777229;12;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.142022.141995.140910.22302840.22303762
6566993;22302840;140910;34775693;12;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.142022.141995.140910.22302840
247097996;174982542;140910;689801559;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.142022.141995.140910.174982542
247097997;174982543;140910;689801561;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.142022.141995.140910.174982543
6056890;85865577;143032;127453708;12;0;0;2025-10-01;2019-03-26;2079-06-06;0;135479.141356.136988.143032.85865577
247099178;174983702;145905;689803865;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.142022.141995.145905.174983702
247099179;174983703;145905;689803867;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.142022.141995.145905.174983703
6583540;73465839;73464799;109373228;12;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.142022.141995.145905.73464799.73465839
6583555;73466769;73464799;109374730;12;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.142022.141995.145905.73464799.73466769
6583530;73464799;145905;109371625;12;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.142022.141995.145905.73464799
247099278;174983800;143007;689804615;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.142022.141995.143007.174983800
247099279;174983801;143007;689804617;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.142022.141995.143007.174983801
247100174;174984677;137767;689806528;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.140033.141979.137767.174984677
247104003;174988461;61628660;689813241;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.141371.138983.140269.61628083.61628660.174988461
247103999;174988457;12695125;689813231;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.141371.138948.140654.12693855.12695125.174988457
247104306;174988752;137954;689813650;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.136001.138999.137954.174988752
247104717;174989155;144213;689814323;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.142022.142991.144213.174989155
247104754;174989190;136857;689814442;12;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.141356.136988.136857.174989190
