ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
249590449;174917336;142512;689640692;88612101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.95233205.95233206.141403.142512.174917336
249608135;174928588;143538;689665766;88632151051;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.95233194.95233197.142991.143538.174928588
63730176;78845170;147553;117194946;88652430136;0;0;2025-09-29;1900-01-01;2079-06-06;0;135479.95233216.95233220.145831.147553.78845170
63262902;4654678;137882;8673947;88608465126;0;0;2025-09-29;1900-01-01;2079-06-06;0;135479.95233242.95233251.135965.137882.4654678
63319999;17739868;137591;27991741;88608465101;0;0;2025-09-29;1900-01-01;2079-06-06;0;135479.95233242.95233251.136973.137591.17739868
63449018;81926665;140447;121737016;88608465146;0;0;2025-09-29;2011-11-01;2079-06-06;0;135479.95233242.95233251.138930.140447.81926665
63749526;80359157;139266;119425369;88608435101;0;0;2025-09-29;2011-11-01;2079-06-06;0;135479.95233242.95233246.139811.139266.80359157
249619658;174938708;135583;689687143;88604442101;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.95233253.95233258.138619.135583.174938708
249619888;174938936;135540;689687687;88604442101;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.95233253.95233258.138619.135540.174938936
63886658;63802422;148257;95199700;88652430141;0;0;2025-09-29;1900-01-01;2079-06-06;0;135479.95233216.95233220.146569.148257.63802422
249622352;174940573;1920530;689691227;88701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.95233312.135499.136498.1920530.174940573
249622354;174940575;1920530;689691229;88701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.95233312.135499.136498.1920530.174940575
249623562;174941402;141261;689692926;88620490121;0;0;2025-09-29;2025-09-29;2079-06-06;1;135479.95233262.95233271.138278.141261.174941402
249635037;174950607;142312;689711173;88628440101;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.95233175.95233189.142378.142312.174950607
249635888;174951456;66989748;689712463;88701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.95233312.135499.135053.66986208.66989748.174951456
249636069;174951635;146915;689712820;88640420147;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.95233298.95233301.144168.146915.174951635
249643295;174958799;139815;689732745;88608465101;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.95233242.95233251.136973.139815.174958799
63838802;47310330;141806;71166573;88648435101;0;0;2025-09-30;1900-01-01;2079-06-06;0;135479.95233272.95233277.146571.141806.47310330
249647184;174962183;140439;689740251;88624151051;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.95233235.95233236.138243.140439.174962183
249652625;174967182;15202301;689751162;88628425101;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.95233175.95233187.138948.143756.15202301.174967182
249653148;174967698;138225;689752579;88628430101;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.95233175.95233188.138225.174967698
249654881;174969349;136410;689756310;88604469106;0;0;2025-09-30;2025-09-30;2079-06-06;1;135479.95233253.95233260.139414.136410.174969349
249656691;100128644;144347;689759062;88652430186;110641475;0;2025-09-30;2025-09-30;2079-06-06;1;135479.95233216.95233220.145690.144347.100128644
249679205;174975153;173571715;689787252;88628442111;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.95233175.95233190.143239.173571715.174975153
63854626;56506484;56505361;84506129;88632415;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.95233194.95233195.141995.142439.56505361.56506484
63857382;56506538;56505361;84506218;88632415;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.95233194.95233195.141995.142439.56505361.56506538
63854620;56505361;142439;84504357;88632415101;0;0;2025-10-01;1900-01-01;2079-06-06;0;135479.95233194.95233195.141995.142439.56505361
249686599;174982435;141240;689801344;88632415101;0;0;2025-10-01;2025-10-01;2079-06-06;1;135479.95233194.95233195.141995.141240.174982435
