OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
38455506;07313ea8-3e90-4d7a-a242-5ed6e08ddee9;689649109;1;10;2019-10-17;2025-09-29
100128644;7f8f954c-bdd4-4722-a1c2-e85bd33499ce;689759062;1;10;2021-01-29;2025-09-30
45613855;d2a35b9c-1767-4bc7-a320-37cfd8acb24f;689688296;1;10;2019-09-19;2025-09-29
38522377;cd714c05-f407-410c-8592-7e3c4bca501c;689649357;1;10;2019-07-14;2025-09-29
53996708;02da0d58-5621-4ca0-ade7-9b0056593cc3;689806531;1;10;2019-07-14;2025-10-01
32381525;e965f989-d41b-4a5e-875f-3353329c6282;689824970;1;10;2019-09-19;2025-10-01
61427440;c2864b1c-2ad7-411f-8568-34898c29bab5;689669302;0;10;2019-09-25;2025-09-29
64573598;b2be3143-4412-47a8-a13e-c944eb249121;689735132;1;10;2019-11-25;2025-09-30
66993683;cc11681a-3910-4e2b-bd71-14d3feedc182;689693890;0;11;2019-07-19;2025-09-29
3734713;af6ababe-e8d0-408b-8bda-70b15cd1240e;689736980;1;10;2019-09-27;2025-09-30
61628660;57d8b249-aca1-4b0c-b2f2-8feef6d707e1;689752294;1;11;2019-02-06;2025-09-30
38534250;df89fe9c-164f-411b-8e7d-8e9836ca3ed6;689649235;1;10;2019-07-14;2025-09-29
53716091;1826c2ad-47aa-491e-84ea-331a45f0e49b;689798713;1;10;2019-07-14;2025-10-01
80359157;a5e2fe76-c593-47f7-b24b-a3d139e2dd70;689679258;0;10;2019-07-14;2025-09-29
83232296;b86e5228-b7ef-4898-8518-4e3f9f510aa4;689672478;0;10;2019-09-25;2025-09-29
84213863;a4ad41d9-fcc8-4efa-93c9-4e55bb1c784d;689648988;1;11;2017-05-18;2025-09-29
38608815;f94e0093-5603-463f-9bba-f8dc2a1f6140;689738237;1;10;2019-07-14;2025-09-30
93069533;de56f7a5-6fa2-4aa1-bb9a-a4c3a5c6735a;689813698;1;9;2017-08-04;2025-10-01
53799477;3edde2c8-9ef2-4fd7-8173-6245a7eb29a7;689820062;1;10;2019-09-27;2025-10-01
6696935;c1b99d88-a32b-4c65-8359-0b67ea72ac36;689806549;0;12;2017-01-29;2025-10-01
70390021;942ff8bf-1654-4cfd-80af-5a55d172e071;689671586;0;10;2019-09-25;2025-09-29
4654678;627aa7e7-9a7a-446a-b74b-40eab3bea1ed;689671621;0;10;2019-09-20;2025-09-29
174940573;dbbabe00-c1eb-40f3-8d75-4de472e7a45e;689691227;1;11;2025-09-29;2025-09-29
174940575;d6f3b4c6-9303-4b4a-adcc-ce9039874015;689691229;1;11;2025-09-29;2025-09-29
174941402;9d202d0a-b0ea-4751-bd23-5b427053f80f;689692926;1;10;2025-09-29;2025-09-29
174938708;ebdd5170-c9be-48f4-bc06-ccec1147677b;689687143;1;9;2025-09-29;2025-09-29
174938936;f8baf958-3fe2-4b7d-b26e-344046a25940;689687687;1;9;2025-09-29;2025-09-29
174950607;7cd02ad8-3bfc-4192-9b65-ca3c8e0ca714;689711173;1;10;2025-09-30;2025-09-30
174951456;0c22918b-1f86-47ec-b366-6da3f97fb435;689712463;1;12;2025-09-30;2025-09-30
174951635;ee218b2a-d75f-4022-bfd9-887243e590cc;689712820;1;9;2025-09-30;2025-09-30
174958799;28ee4367-97ac-4c87-9a58-20f795ba9e35;689732745;1;10;2025-09-30;2025-09-30
174961388;be41fc60-cc10-4e43-96cc-616dd008ff1d;689738171;1;9;2025-09-30;2025-09-30
174962183;9d2ffc7f-fe8b-4fa4-a671-3f1dbd5dd21d;689740251;1;9;2025-09-30;2025-09-30
7268601;cf5b319f-8881-4cbc-bc61-17b9bde465e6;689690727;1;10;2017-12-17;2025-09-29
174967612;cdc729f6-4f22-47a0-9ee7-a48915c3c22e;689752407;1;9;2025-09-30;2025-09-30
174969324;94ae19db-5d84-47f5-8267-7d0e856fa25c;689756271;1;9;2025-09-30;2025-09-30
174975146;7b142f35-a9c8-4d30-b3e4-ecd6ba3ce68d;689787225;1;9;2025-10-01;2025-10-01
56506484;5bbf43fb-e567-43fd-91e8-44264449ddbb;689799505;0;11;2020-01-06;2025-10-01
56506538;7a59995a-0297-4cae-ad8e-8501cf91c0c1;689799507;0;11;2020-01-06;2025-10-01
8350893;45d1bb83-f193-421b-9758-eeb6dcb4efb4;689801343;0;11;2020-01-06;2025-10-01
8351057;91aaee29-8411-42b2-8f81-cfb25f8a37d2;689801345;0;11;2020-01-06;2025-10-01
22303530;96320a5a-d57d-490c-b768-77c1f957f072;689801491;0;11;2020-01-06;2025-10-01
22303762;f12b10bf-f122-42e3-865f-f62967574463;689801493;0;11;2020-01-06;2025-10-01
22357244;1affa730-96d8-4a23-a816-70b118c43574;689801558;0;11;2020-01-06;2025-10-01
22357385;5a0a3c9d-e2bf-4b67-92c0-e9c429f74a33;689801560;0;11;2020-01-06;2025-10-01
73458666;03215b9e-4ac5-4e76-81de-73614a668edd;689803864;0;11;2020-01-06;2025-10-01
73458837;5ef0b3f9-b05d-4fdf-8878-aed55bbbfc4c;689803866;0;11;2020-01-06;2025-10-01
73465839;955ae616-3951-45c5-a688-a619b4328904;689804163;0;11;2020-01-06;2025-10-01
73466769;e81b730d-42ed-4809-874a-4c671a10095d;689804165;0;11;2020-01-06;2025-10-01
73464799;a1a21952-2d11-471d-b295-77fafbccd852;689804167;0;10;2012-02-01;2025-10-01
174983800;4480ba8b-7826-4c0e-ac80-8d9ecbf59cf0;689804615;1;10;2025-10-01;2025-10-01
174983801;fddafc6b-79dd-4382-80f8-962592365b7d;689804617;1;10;2025-10-01;2025-10-01
54127631;4f6e682a-d678-4ffd-840b-2b200ae93a47;689806532;1;10;2015-10-27;2025-10-01
174988457;a14b7b44-f61a-4014-9efb-ff5f9785d334;689813231;1;12;2025-10-01;2025-10-01
174988461;90b0d68c-70df-487a-ba00-8906fffc221d;689813241;1;12;2025-10-01;2025-10-01
174988752;f14214d0-4c33-4b4f-a8be-c438b3c19c9c;689813650;1;10;2025-10-01;2025-10-01
85870677;ea455a61-029a-47cd-846b-24e201196828;689813903;1;9;2017-08-04;2025-10-01
174989155;b80567a1-f51e-4ef9-910b-fb0ee0712008;689814323;1;9;2025-10-01;2025-10-01
174989190;15a5384e-30b0-4c37-a82e-b73be527fff9;689814442;1;9;2025-10-01;2025-10-01
174989533;fd961938-508d-4f2d-916b-530c56c75be5;689814986;1;9;2025-10-01;2025-10-01
174990899;f899bca7-a63d-4c13-9b80-fd66f8f82bc1;689817953;1;10;2025-10-01;2025-10-01
174991899;68df9c66-3824-4baa-9c69-da2a817ff2bb;689819858;1;9;2025-10-01;2025-10-01
174992665;c42dc0eb-a04e-4322-bb98-2e048feffdd3;689824852;1;9;2025-10-01;2025-10-01
69682785;e0eab879-5b0f-4272-a135-1a074e649b4a;689817185;0;10;2018-10-01;2025-10-01
80992868;c12f7cc8-754c-4212-a2c3-8c016f5b3f66;689813704;1;10;2019-05-21;2025-10-01
12695125;2761a3d9-9fc2-4ad3-aa55-722cb8e730a2;689751322;1;11;2019-02-06;2025-09-30
15292465;9d8febb8-dc77-4543-84fc-e8be7ee06dc3;689752464;1;10;2019-07-14;2025-09-30
85870222;085a8df9-f2c9-4d10-8992-7ad98fe01e08;689813889;1;9;2017-08-04;2025-10-01
85891947;0ab35a56-fb51-4c52-8d4c-b0c8f1ce936e;689813859;1;9;2017-08-04;2025-10-01
23754517;1e6da399-a160-4471-b61d-75d8a8830b04;689667599;1;11;2017-06-05;2025-09-29
24355265;29f6f071-bbd5-49ab-ad02-11ce701359f2;689649783;1;10;2014-11-01;2025-09-29
25590613;6b65df45-52e4-42df-8036-be60b0416c3c;689816807;1;10;2017-12-18;2025-10-01
93050624;0d76cd66-2ea8-43ed-93b6-9afc1a51e322;689806547;1;9;2017-08-04;2025-10-01
17739868;5189ec46-90a3-4700-95c5-4e99bd901fa6;689672452;0;10;2017-12-18;2025-09-29
33974293;95acb621-dfbc-4e33-b7e5-24f648a95417;689693793;1;10;2017-12-17;2025-09-29
36116741;cbcd9d96-6cf2-474f-8def-71eb425bdb03;689646446;1;10;2019-07-14;2025-09-29
69226557;65a320b6-58dd-4904-a87f-4006d23bf87c;689734172;1;10;2019-11-25;2025-09-30
81926665;439af7f7-cf77-415a-b5b5-bfa63f2242dc;689672987;0;10;2019-07-14;2025-09-29
15284542;73368eec-8890-4831-aee7-9c7f3cfe6c6b;689752463;1;10;2019-07-14;2025-09-30
66345873;a3f76434-598e-4d80-bc45-018b1fe129bb;689733018;1;10;2019-11-25;2025-09-30
17431062;57dcc53c-0d8b-4815-9115-9afca3e7518f;689711300;1;10;2017-12-18;2025-09-30
53713278;48a6f4cb-6d6f-4c7d-9089-216525ac12de;689798712;1;10;2014-11-01;2025-10-01
45425548;ca0c996f-89fd-47f1-be78-85d105abf436;689734408;1;10;2019-07-14;2025-09-30
64561117;ccb6a42a-cc95-4bd9-9ad0-012eda8f3966;689735126;1;10;2019-11-25;2025-09-30
64563349;11fb95e7-9dd5-43b4-ab4b-16cae25a8f26;689735128;1;10;2019-11-25;2025-09-30
64569547;a10d5de0-0831-44f3-b55c-12681b4d94dd;689735130;1;10;2019-11-25;2025-09-30
73458119;1947f2b1-0700-465e-aad3-10ec433935a2;689803868;0;10;2012-02-01;2025-10-01
45122934;7017073a-84b1-4c95-a464-423f019001ea;689734507;1;10;2019-07-14;2025-09-30
53332204;14e53b98-be42-4841-970f-b7cfe52027ff;689798969;1;10;2019-07-14;2025-10-01
62215385;976ab098-624f-471a-ac3e-d58025ca401e;689649551;1;10;2019-07-14;2025-09-29
7852123;3c99496d-284c-44f6-8cac-4ace7d7071a9;689817649;0;10;2019-07-14;2025-10-01
64473517;8e936e32-54ca-495d-a8c1-93ffc49542ee;689799475;1;10;2019-07-14;2025-10-01
2884471;814bd7c6-41c2-4b4f-9a4d-7712cd18dd89;689740728;1;10;2019-07-14;2025-09-30
55413277;50365922-2127-4eea-863c-31885cd35f8f;689815895;0;10;2019-07-14;2025-10-01
76237082;ae0d4cbe-da81-4739-b3e8-31b852fafef6;689813598;1;10;2019-07-14;2025-10-01
8350192;c2587bca-1ab3-44d8-bc99-a348cdd99f72;689801347;0;10;2012-02-24;2025-10-01
22356737;f29a6a4f-7676-4228-82e1-8fdd6e3be7b7;689801562;0;10;2012-02-01;2025-10-01
168249126;4540b9d0-c740-4466-a2ec-60c40281b4d8;689687578;1;9;2024-12-03;2025-09-29
85851535;ea11f1a0-47fe-44d5-b31a-eadfa14911ab;689694449;1;9;2016-07-25;2025-09-29
85869441;d4df21ae-2507-4ee4-a0d6-82c8b7ab83de;689694451;1;9;2016-04-19;2025-09-29
87638402;124da51e-045c-426d-8c43-b6809cd7620d;689813849;1;9;2017-08-04;2025-10-01
3733306;621c611d-a3d5-44dc-aabf-3b43644f1ae5;689820027;1;10;2019-09-27;2025-10-01
93053685;176215fd-5cfa-402c-8b96-d82fbba7fc0b;689806530;1;9;2017-08-04;2025-10-01
85865577;292d10dc-06ce-4fa0-9cb3-847895db282d;689801789;0;9;2019-09-25;2025-10-01
93063006;4bfc1013-dccd-4442-9d16-bfc29966a300;689806567;1;9;2017-08-04;2025-10-01
85871334;5e986fd2-8dc6-40e3-8a70-93f59d129295;689813929;1;9;2017-08-04;2025-10-01
87628747;53e48d19-4dac-4a76-b062-8a6ace7160cb;689813837;1;9;2017-08-04;2025-10-01
87212326;66f1c243-fb9f-437e-85a1-6c74911e6cbd;689813765;1;9;2017-08-04;2025-10-01
85871035;6c7192c1-9f0f-4ae5-9526-6226f54d12f7;689813916;1;9;2017-08-04;2025-10-01
93057050;95506003-bded-4a52-ae8e-b4d84df7eaaf;689806552;1;9;2017-08-04;2025-10-01
