ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644435448;174917336;689640692;0;1;1200;2025-09-29;2025-09-29;2079-06-06
1644435450;174917336;689640692;0;6;88212501000;2025-09-29;2025-09-29;2079-06-06
1644435452;174917336;689640692;0;8;12:14:2501002:937;2025-09-29;2025-09-29;2079-06-06
1644435454;174917336;689640692;0;13;886121010000048000010065000000000;2025-09-29;2025-09-29;2079-06-06
1644513873;174928588;689665766;0;1;1200;2025-09-29;2025-09-29;2079-06-06
1644513875;174928588;689665766;0;6;88232551000;2025-09-29;2025-09-29;2079-06-06
1644513877;174928588;689665766;0;8;12:13:0990107:301;2025-09-29;2025-09-29;2079-06-06
1644513879;174928588;689665766;0;13;886321510510000001410084000000000;2025-09-29;2025-09-29;2079-06-06
1644583026;174938708;689687143;0;6;88204842001;2025-09-29;2025-09-29;2079-06-06
1644583028;174938708;689687143;0;8;12:15:6701005:136;2025-09-29;2025-09-29;2079-06-06
1644583030;174938708;689687143;0;2;1200;2025-09-29;2025-09-29;2079-06-06
1644583032;174938708;689687143;0;13;886044421010000003110021000000000;2025-09-29;2025-09-29;2079-06-06
1549924046;168249126;608579219;689687578;8;12:15:6701005:158;2025-09-29;2024-12-03;2025-09-29
1644584373;168249126;689687578;0;13;886044421010000003110018000000010;2025-09-29;2025-09-29;2079-06-06
1644584522;161723599;689687611;0;8;12:15:6701005:986;2025-09-29;2025-09-29;2079-06-06
1644584894;174938936;689687687;0;1;1200;2025-09-29;2025-09-29;2079-06-06
1644584896;174938936;689687687;0;6;88204842001;2025-09-29;2025-09-29;2079-06-06
1644584898;174938936;689687687;0;8;12:15:6701005:781;2025-09-29;2025-09-29;2079-06-06
1644584900;174938936;689687687;0;13;886044421010000003010055000000000;2025-09-29;2025-09-29;2079-06-06
1644585183;174938969;689687767;0;1;1200;2025-09-29;2025-09-29;2079-06-06
1644585185;174938969;689687767;0;6;88204842001;2025-09-29;2025-09-29;2079-06-06
1644585187;174938969;689687767;0;8;12:15:6701005:963;2025-09-29;2025-09-29;2079-06-06
1644585189;174938969;689687767;0;13;886044421010000003010056000000000;2025-09-29;2025-09-29;2079-06-06
1459263639;89715857;563239607;689687955;8;12:15:6701001:175;2025-09-29;2023-10-04;2025-09-29
1644586206;89715857;689687955;0;13;886044421010000002310031000000010;2025-09-29;2025-09-29;2079-06-06
1644590827;174939628;689688861;0;2;1200;2025-09-29;2025-09-29;2079-06-06
1644590829;174939628;689688861;0;7;88628412101;2025-09-29;2025-09-29;2079-06-06
1644590831;174939628;689688861;0;15;14;2025-09-29;2025-09-29;2079-06-06
1644590833;174939628;689688861;0;21;88628412;2025-09-29;2025-09-29;2079-06-06
1644606403;174941343;689692773;0;2;1200;2025-09-29;2025-09-29;2079-06-06
1644606405;174941343;689692773;0;7;88516000051;2025-09-29;2025-09-29;2079-06-06
1644606407;174941343;689692773;0;15;9;2025-09-29;2025-09-29;2079-06-06
1644606409;174941343;689692773;0;21;88516000;2025-09-29;2025-09-29;2079-06-06
1644612686;85851535;689694449;0;13;886164881060000000110001000000010;2025-09-29;2025-09-29;2079-06-06
1644612688;85868937;689694450;0;13;886164881060000000110008000000010;2025-09-29;2025-09-29;2079-06-06
1644612690;85869441;689694451;0;13;886164881060000000110009000000010;2025-09-29;2025-09-29;2079-06-06
1644689092;174951617;689712782;0;2;1200;2025-09-30;2025-09-30;2079-06-06
1644689094;174951617;689712782;0;7;88640420147;2025-09-30;2025-09-30;2079-06-06
1644689096;174951617;689712782;0;15;107;2025-09-30;2025-09-30;2079-06-06
1644689098;174951617;689712782;0;21;88640420;2025-09-30;2025-09-30;2079-06-06
1644689256;174951635;689712820;0;7;88640420147;2025-09-30;2025-09-30;2079-06-06
1644689258;174951635;689712820;0;1;1200;2025-09-30;2025-09-30;2079-06-06
1644689260;174951635;689712820;0;15;108;2025-09-30;2025-09-30;2079-06-06
1644689262;174951635;689712820;0;21;88640420;2025-09-30;2025-09-30;2079-06-06
1644702503;174952818;689718210;0;2;1200;2025-09-30;2025-09-30;2079-06-06
1644702505;174952818;689718210;0;7;88640420147;2025-09-30;2025-09-30;2079-06-06
1644702507;174952818;689718210;0;15;109;2025-09-30;2025-09-30;2079-06-06
1644702509;174952818;689718210;0;21;88640420;2025-09-30;2025-09-30;2079-06-06
1644703474;93765317;689718458;0;15;112;2025-09-30;2025-09-30;2079-06-06
1644703475;93765317;689718458;0;8;12:02:2400101:5;2025-09-30;2025-09-30;2079-06-06
1644770990;174961388;689738171;0;1;1200;2025-09-30;2025-09-30;2079-06-06
1644770992;174961388;689738171;0;6;88224551000;2025-09-30;2025-09-30;2079-06-06
1644770994;174961388;689738171;0;8;12:11:0840110:139;2025-09-30;2025-09-30;2079-06-06
1644770996;174961388;689738171;0;13;886241510510000001710032000000000;2025-09-30;2025-09-30;2079-06-06
1644778054;174962150;689740173;0;1;1200;2025-09-30;2025-09-30;2079-06-06
1644778056;174962150;689740173;0;6;88224551000;2025-09-30;2025-09-30;2079-06-06
1644778058;174962150;689740173;0;8;12:11:0840110:806;2025-09-30;2025-09-30;2079-06-06
1644778060;174962150;689740173;0;13;886241510510000001010112000000000;2025-09-30;2025-09-30;2079-06-06
1644778322;174962183;689740251;0;1;1200;2025-09-30;2025-09-30;2079-06-06
1644778324;174962183;689740251;0;6;88224551000;2025-09-30;2025-09-30;2079-06-06
1644778326;174962183;689740251;0;8;12:11:0840110:37;2025-09-30;2025-09-30;2079-06-06
1644778328;174962183;689740251;0;13;886241510510000001010113000000000;2025-09-30;2025-09-30;2079-06-06
1644778647;174962218;689740322;0;1;1200;2025-09-30;2025-09-30;2079-06-06
1644778649;174962218;689740322;0;6;88224551000;2025-09-30;2025-09-30;2079-06-06
1644778651;174962218;689740322;0;8;12:11:0840110:807;2025-09-30;2025-09-30;2079-06-06
1644778653;174962218;689740322;0;13;886241510510000001010114000000000;2025-09-30;2025-09-30;2079-06-06
1459261776;91728872;563237742;689746508;8;12:15:7802001:15;2025-09-30;2023-10-04;2025-09-30
1644804278;91728872;689746508;0;13;886044421260000001010063000000010;2025-09-30;2025-09-30;2079-06-06
1644823528;174967612;689752407;0;2;1200;2025-09-30;2025-09-30;2079-06-06
1644823530;174967612;689752407;0;7;88628430101;2025-09-30;2025-09-30;2079-06-06
1644823532;174967612;689752407;0;15;21;2025-09-30;2025-09-30;2079-06-06
1644823534;174967612;689752407;0;21;88628430;2025-09-30;2025-09-30;2079-06-06
1644839860;174969324;689756271;0;2;1200;2025-09-30;2025-09-30;2079-06-06
1644839862;174969324;689756271;0;7;88604469106;2025-09-30;2025-09-30;2079-06-06
1644839864;174969324;689756271;0;15;7;2025-09-30;2025-09-30;2079-06-06
1644839866;174969324;689756271;0;21;88604469;2025-09-30;2025-09-30;2079-06-06
1644896763;174975146;689787225;0;7;88628442111;2025-10-01;2025-10-01;2079-06-06
1644896765;174975146;689787225;0;1;1200;2025-10-01;2025-10-01;2079-06-06
1644896767;174975146;689787225;0;15;2;2025-10-01;2025-10-01;2079-06-06
1644896769;174975146;689787225;0;21;88628442;2025-10-01;2025-10-01;2079-06-06
1644948837;87822499;689801568;0;8;12:14:0502002:401;2025-10-01;2025-10-01;2079-06-06
1644965311;93053685;689806530;0;8;12:13:0990129:246;2025-10-01;2025-10-01;2079-06-06
1644965390;93050624;689806547;0;8;12:13:0990129:259;2025-10-01;2025-10-01;2079-06-06
1644965392;93057050;689806552;0;8;12:13:0990129:247;2025-10-01;2025-10-01;2079-06-06
1644965394;93059362;689806557;0;8;12:13:0990129:260;2025-10-01;2025-10-01;2079-06-06
1644965445;93063006;689806567;0;8;12:13:0990129:248;2025-10-01;2025-10-01;2079-06-06
1644995505;89898929;689813623;0;8;12:15:2701001:88;2025-10-01;2025-10-01;2079-06-06
1644995830;93069533;689813698;0;8;12:13:0990129:261;2025-10-01;2025-10-01;2079-06-06
1644995858;93071322;689813707;0;8;12:13:0990129:249;2025-10-01;2025-10-01;2079-06-06
1644995996;87212326;689813765;0;8;12:13:0990129:251;2025-10-01;2025-10-01;2079-06-06
1644995949;86314970;689813756;0;8;12:13:0990129:250;2025-10-01;2025-10-01;2079-06-06
1644995968;87210376;689813760;0;8;12:13:0990129:263;2025-10-01;2025-10-01;2079-06-06
1644996187;88453225;689813793;0;8;12:13:0990129:264;2025-10-01;2025-10-01;2079-06-06
1644996240;88456400;689813803;0;8;12:13:0990129:252;2025-10-01;2025-10-01;2079-06-06
1644996317;88459256;689813827;0;8;12:13:0990129:265;2025-10-01;2025-10-01;2079-06-06
1644996418;174988847;689813850;0;2;1200;2025-10-01;2025-10-01;2079-06-06
1644996420;174988847;689813850;0;7;88612450111;2025-10-01;2025-10-01;2079-06-06
1644996422;174988847;689813850;0;15;82;2025-10-01;2025-10-01;2079-06-06
1644996424;174988847;689813850;0;21;88612450;2025-10-01;2025-10-01;2079-06-06
1644996376;87628747;689813837;0;8;12:13:0990129:253;2025-10-01;2025-10-01;2079-06-06
1644996415;87638402;689813849;0;8;12:13:0990129:266;2025-10-01;2025-10-01;2079-06-06
1644996443;85891242;689813853;0;8;12:13:0990129:254;2025-10-01;2025-10-01;2079-06-06
1644996463;85891947;689813859;0;8;12:13:0990129:267;2025-10-01;2025-10-01;2079-06-06
1644996552;85870222;689813889;0;8;12:13:0990129:268;2025-10-01;2025-10-01;2079-06-06
1644996629;85870677;689813903;0;8;12:13:0990129:256;2025-10-01;2025-10-01;2079-06-06
1644996700;85871035;689813916;0;8;12:13:0990129:269;2025-10-01;2025-10-01;2079-06-06
1644996779;85871334;689813929;0;8;12:13:0990129:257;2025-10-01;2025-10-01;2079-06-06
554009785;93061547;135919900;689813937;8;12:14:6801001:58;2025-10-01;2017-11-13;2025-10-01
1644996818;93061547;689813937;0;13;886124501110000000410093000000010;2025-10-01;2025-10-01;2079-06-06
1644996879;85871977;689813948;0;13;886321510510000011310049000000010;2025-10-01;2025-10-01;2079-06-06
1644997101;85872381;689814022;0;13;886321510510000011310050000000010;2025-10-01;2025-10-01;2079-06-06
1644997800;174989155;689814323;0;2;1200;2025-10-01;2025-10-01;2079-06-06
1644997802;174989155;689814323;0;7;88632151051;2025-10-01;2025-10-01;2079-06-06
1644997804;174989155;689814323;0;15;1;2025-10-01;2025-10-01;2079-06-06
1644997806;174989155;689814323;0;21;88632151;2025-10-01;2025-10-01;2079-06-06
1644998211;174989189;689814441;0;2;1200;2025-10-01;2025-10-01;2079-06-06
1644998213;174989189;689814441;0;7;88632151051;2025-10-01;2025-10-01;2079-06-06
1644998215;174989189;689814441;0;15;2;2025-10-01;2025-10-01;2079-06-06
1644998217;174989189;689814441;0;21;88632151;2025-10-01;2025-10-01;2079-06-06
1644998219;174989190;689814442;0;2;1200;2025-10-01;2025-10-01;2079-06-06
1644998221;174989190;689814442;0;7;88612450111;2025-10-01;2025-10-01;2079-06-06
1644998223;174989190;689814442;0;15;226;2025-10-01;2025-10-01;2079-06-06
1644998225;174989190;689814442;0;21;88612450;2025-10-01;2025-10-01;2079-06-06
1644999329;174989485;689814866;0;2;1200;2025-10-01;2025-10-01;2079-06-06
1644999331;174989485;689814866;0;7;88632151051;2025-10-01;2025-10-01;2079-06-06
1644999333;174989485;689814866;0;15;3;2025-10-01;2025-10-01;2079-06-06
1644999335;174989485;689814866;0;21;88632151;2025-10-01;2025-10-01;2079-06-06
1644999782;174989533;689814986;0;2;1200;2025-10-01;2025-10-01;2079-06-06
1644999784;174989533;689814986;0;7;88632151051;2025-10-01;2025-10-01;2079-06-06
1644999786;174989533;689814986;0;15;4;2025-10-01;2025-10-01;2079-06-06
1644999788;174989533;689814986;0;21;88632151;2025-10-01;2025-10-01;2079-06-06
1645011389;87095682;689818183;0;13;886321510510000010410005000000010;2025-10-01;2025-10-01;2079-06-06
1645018028;174991899;689819858;0;2;1200;2025-10-01;2025-10-01;2079-06-06
1645018030;174991899;689819858;0;7;88636440216;2025-10-01;2025-10-01;2079-06-06
1645018032;174991899;689819858;0;15;33;2025-10-01;2025-10-01;2079-06-06
1645018034;174991899;689819858;0;21;88636440;2025-10-01;2025-10-01;2079-06-06
1645023652;174992665;689824852;0;2;1200;2025-10-01;2025-10-01;2079-06-06
1645023654;174992665;689824852;0;7;88612450111;2025-10-01;2025-10-01;2079-06-06
1645023656;174992665;689824852;0;15;227;2025-10-01;2025-10-01;2079-06-06
1645023658;174992665;689824852;0;21;88612450;2025-10-01;2025-10-01;2079-06-06
