ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
443043873;79458056;118094355;689675625;8;13:03:0210005:212;2025-09-29;2016-08-08;2025-09-29
833893154;39965471;281469386;689742399;8;13:07:0415001:287;2025-09-30;2022-04-22;2025-09-30
855249300;7230016;293990274;689809745;8;13:12:0323001:255;2025-10-01;2022-09-21;2025-10-01
1642536971;18302206;689086148;689790690;8;13:03:0220006:761;2025-10-01;2025-09-16;2025-10-01
1644423188;174915357;689637336;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644423190;174915357;689637336;0;3;1310;2025-09-29;2025-09-29;2079-06-06
1644423192;174915357;689637336;0;6;89226880003;2025-09-29;2025-09-29;2079-06-06
1644423194;174915357;689637336;0;8;13:10:0118003:657;2025-09-29;2025-09-29;2079-06-06
1644423196;174915357;689637336;0;13;896264801110000000520037000000000;2025-09-29;2025-09-29;2079-06-06
1644423271;174915369;689637352;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644423273;174915369;689637352;0;3;1310;2025-09-29;2025-09-29;2079-06-06
1644423275;174915369;689637352;0;6;89226880003;2025-09-29;2025-09-29;2079-06-06
1644423277;174915369;689637352;0;8;13:10:0118003:754;2025-09-29;2025-09-29;2079-06-06
1644423279;174915369;689637352;0;13;896264801110000000520038000000000;2025-09-29;2025-09-29;2079-06-06
1644423332;174915380;689637366;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644423334;174915380;689637366;0;3;1310;2025-09-29;2025-09-29;2079-06-06
1644423336;174915380;689637366;0;6;89226880003;2025-09-29;2025-09-29;2079-06-06
1644423338;174915380;689637366;0;8;13:10:0118003:692;2025-09-29;2025-09-29;2079-06-06
1644423340;174915380;689637366;0;13;896264801110000000520039000000000;2025-09-29;2025-09-29;2079-06-06
1644423545;174915452;689637441;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644423547;174915452;689637441;0;3;1310;2025-09-29;2025-09-29;2079-06-06
1644423549;174915452;689637441;0;6;89226880003;2025-09-29;2025-09-29;2079-06-06
1644423551;174915452;689637441;0;8;13:10:0118003:867;2025-09-29;2025-09-29;2079-06-06
1644423553;174915452;689637441;0;13;896264801110000000520040000000000;2025-09-29;2025-09-29;2079-06-06
1644423625;174915465;689637456;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644423627;174915465;689637456;0;3;1310;2025-09-29;2025-09-29;2079-06-06
1644423629;174915465;689637456;0;6;89226880003;2025-09-29;2025-09-29;2079-06-06
1644423631;174915465;689637456;0;8;13:10:0118003:693;2025-09-29;2025-09-29;2079-06-06
1644423633;174915465;689637456;0;13;896264801110000000520041000000000;2025-09-29;2025-09-29;2079-06-06
1644423683;174915473;689637470;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644423685;174915473;689637470;0;3;1310;2025-09-29;2025-09-29;2079-06-06
1644423687;174915473;689637470;0;6;89226880003;2025-09-29;2025-09-29;2079-06-06
1644423689;174915473;689637470;0;8;13:10:0118003:868;2025-09-29;2025-09-29;2079-06-06
1644423691;174915473;689637470;0;13;896264801110000000520042000000000;2025-09-29;2025-09-29;2079-06-06
1644423803;174915488;689637488;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644423805;174915488;689637488;0;3;1310;2025-09-29;2025-09-29;2079-06-06
1644423807;174915488;689637488;0;6;89226880003;2025-09-29;2025-09-29;2079-06-06
1644423809;174915488;689637488;0;8;13:10:0118003:716;2025-09-29;2025-09-29;2079-06-06
1644423811;174915488;689637488;0;13;896264801110000000520043000000000;2025-09-29;2025-09-29;2079-06-06
1644433956;174917133;689640286;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644433958;174917133;689640286;0;3;1314;2025-09-29;2025-09-29;2079-06-06
1644433960;174917133;689640286;0;6;89218805004;2025-09-29;2025-09-29;2079-06-06
1644433962;174917133;689640286;0;8;13:07:0201005:115;2025-09-29;2025-09-29;2079-06-06
1644433964;174917133;689640286;0;13;896184051160000000220040000000000;2025-09-29;2025-09-29;2079-06-06
1644434917;174917279;689640610;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644434919;174917279;689640610;0;3;1310;2025-09-29;2025-09-29;2079-06-06
1644434921;174917279;689640610;0;6;89226880001;2025-09-29;2025-09-29;2079-06-06
1644434923;174917279;689640610;0;8;13:10:0118001:2412;2025-09-29;2025-09-29;2079-06-06
1644434925;174917279;689640610;0;13;896264801010000000920044000000000;2025-09-29;2025-09-29;2079-06-06
1644436081;174906134;689640828;0;15;200;2025-09-29;2025-09-29;2079-06-06
97479444;15246487;24303354;689644396;8;13:13:0210005:69;2025-09-29;2016-03-18;2025-09-29
855204306;29433008;293945576;689646355;8;13:01:0202025:286;2025-09-29;2022-09-21;2025-09-29
855261708;31619358;294002606;689646516;8;13:01:0202005:98;2025-09-29;2022-09-21;2025-09-29
1364115195;31544329;488559445;689646557;8;13:01:0202004:140;2025-09-29;2022-12-02;2025-09-29
1644471289;2040304;689649563;0;8;13:01:0209002:404;2025-09-29;2025-09-29;2079-06-06
1463875484;75022905;567256143;689649820;8;13:07:0201007:38;2025-09-29;2023-10-18;2025-09-29
1459464604;81280204;563405809;689652959;8;13:07:0104006:1298;2025-09-29;2023-10-04;2025-09-29
1644498095;48294675;689655959;0;8;13:14:0101069:76;2025-09-29;2025-09-29;2079-06-06
1459474916;13658061;563416176;689666095;8;13:04:0203001:364;2025-09-29;2023-10-04;2025-09-29
1644529651;9274069;689669800;0;20;29.09.2025;2025-09-29;2025-09-29;2079-06-06
1644531730;174930760;689670175;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644531732;174930760;689670175;0;3;1314;2025-09-29;2025-09-29;2079-06-06
1644531734;174930760;689670175;0;6;89251865005;2025-09-29;2025-09-29;2079-06-06
1644531736;174930760;689670175;0;15;81;2025-09-29;2025-09-29;2079-06-06
1644531738;174930760;689670175;0;21;89651465;2025-09-29;2025-09-29;2079-06-06
1644532548;174930848;689670333;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644532550;174930848;689670333;0;3;1314;2025-09-29;2025-09-29;2079-06-06
1644532552;174930848;689670333;0;6;89251865005;2025-09-29;2025-09-29;2079-06-06
1644532554;174930848;689670333;0;8;13:20:0112002:134;2025-09-29;2025-09-29;2079-06-06
1644532556;174930848;689670333;0;13;896514651210000000120082000000000;2025-09-29;2025-09-29;2079-06-06
1644535896;43586242;689671547;0;20;11.10.2024;2025-09-29;2025-09-29;2079-06-06
1644537454;43531219;689672141;0;20;11.10.2021;2025-09-29;2025-09-29;2079-06-06
1644537805;9257813;689672353;0;20;23.08.2024;2025-09-29;2025-09-29;2079-06-06
1644539021;64570045;689672697;0;20;18.11.2024;2025-09-29;2025-09-29;2079-06-06
1644539523;2972615;689672795;0;20;19.05.2025;2025-09-29;2025-09-29;2079-06-06
1644547102;73431543;689674633;0;8;13:22:0308001:1382;2025-09-29;2025-09-29;2079-06-06
1459469082;17950509;563410342;689675036;8;13:07:0309001:510;2025-09-29;2023-10-04;2025-09-29
1644549688;63913337;689675127;0;20;31.05.2024;2025-09-29;2025-09-29;2079-06-06
1644551755;15247993;689675476;0;8;13:03:0210005:497;2025-09-29;2025-09-29;2079-06-06
231924893;40113869;60735737;689678970;8;13:03:0210005:449;2025-09-29;2017-09-25;2025-09-29
855214154;74083462;293955320;689678973;8;13:21:0206001:426;2025-09-29;2022-09-21;2025-09-29
1644560077;50416383;689678977;0;8;13:14:0309002:74;2025-09-29;2025-09-29;2079-06-06
1644561907;59653132;689679297;0;8;13:22:0207001:1529;2025-09-29;2025-09-29;2079-06-06
855208571;11034391;293949827;689686260;8;13:08:0208001:489;2025-09-29;2022-09-21;2025-09-29
1644579181;11034391;689686260;0;13;896214081010000000620042000000010;2025-09-29;2025-09-29;2079-06-06
1644606069;174941309;689692709;0;1;1300;2025-09-29;2025-09-29;2079-06-06
1644606071;174941309;689692709;0;3;1327;2025-09-29;2025-09-29;2079-06-06
1644606073;174941309;689692709;0;6;89246854001;2025-09-29;2025-09-29;2079-06-06
