ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
110692985;6950392;149123;173956216;89613452103;59608882;0;2025-09-29;2021-02-01;2079-06-06;0;144932.95233603.95233613.149476.149123.6950392
62680207;31984017;151994;48862280;89657410116;0;0;2025-09-30;1900-01-01;2079-06-06;0;144932.95233515.95233519.154539.151994.31984017
63929413;35034193;149305;53279337;89607416111;0;0;2025-09-30;2007-06-17;2079-06-06;0;144932.95233313.95233319.148328.149305.35034193
249280650;174617040;151009;688982836;89649468101;0;0;2025-09-29;2025-09-12;2079-06-06;0;144932.95233448.95233460.152356.151009.174617040
249579199;174906121;144958;689618655;89701000001;0;249591990;2025-09-29;2025-09-26;2025-09-29;0;144932.95233654.144958.174906121
249588097;174914991;155442;689636626;89646481101;0;0;2025-09-29;2025-09-29;2079-06-06;1;144932.95233381.95233391.154871.155442.174914991
249588475;174915369;150891;689637352;89626480111;0;0;2025-09-29;2025-09-29;2079-06-06;1;144932.95233543.95233553.150424.150891.174915369
249588558;174915452;150891;689637441;89626480111;0;0;2025-09-29;2025-09-29;2079-06-06;1;144932.95233543.95233553.150424.150891.174915452
249588579;174915473;150891;689637470;89626480111;0;0;2025-09-29;2025-09-29;2079-06-06;1;144932.95233543.95233553.150424.150891.174915473
249590244;174917133;148050;689640286;89618405116;0;0;2025-09-29;2025-09-29;2079-06-06;1;144932.95233555.95233556.147118.148050.174917133
249590247;174917136;150891;689640289;89626480111;0;0;2025-09-29;2025-09-29;2079-06-06;1;144932.95233543.95233553.150424.150891.174917136
249590392;174917279;150973;689640610;89626480101;0;0;2025-09-29;2025-09-29;2079-06-06;1;144932.95233543.95233553.150194.150973.174917279
249591990;174906121;147379;689644358;89701000001;249579199;0;2025-09-29;2025-09-29;2079-06-06;1;144932.95233654.144958.147379.174906121
249609120;174929047;146957;689666852;89603420101;0;0;2025-09-29;2025-09-29;2079-06-06;1;144932.95233426.95233438.144669.146957.174929047
