ID;NAME;DATE;NUMBER;TYPE;KIND;UPDATEDATE;ORGNAME;ACCDATE
27408832;Об упорядочении адресных хозяйств на территории Рождественно-Баевского сельского поселения Ичалковского муниципального района Республики Мордовия;2025-09-24;215;21;2;2025-09-29;АДМИНИСТРАЦИЯ РОЖДЕСТВЕННО-БАЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ИЧАЛКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27408824;Об упорядочении адресных хозяйств на территории Рождественно-Баевского сельского поселения Ичалковского муниципального района Республики Мордовия;2025-09-24;213;21;2;2025-09-29;АДМИНИСТРАЦИЯ РОЖДЕСТВЕННО-БАЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ИЧАЛКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27408838;Об упорядочении адресных хозяйств на территории Рождественно-Баевского сельского поселения Ичалковского муниципального района Республики Мордовия;2025-09-24;216;21;2;2025-09-29;АДМИНИСТРАЦИЯ РОЖДЕСТВЕННО-БАЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ИЧАЛКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27408852;Об упорядочении адресных хозяйств на территории Рождественно-Баевского сельского поселения Ичалковского муниципального района Республики Мордовия;2025-09-24;218;21;2;2025-09-29;АДМИНИСТРАЦИЯ РОЖДЕСТВЕННО-БАЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ИЧАЛКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27409413;О присвоении адреса объектам адресации;2025-09-24;560;21;2;2025-09-29;Администрация Старошайговского муниципального района Республики Мордовия;2025-09-29
27409410;О присвоении адреса объектам адресации;2025-09-24;560;21;2;2025-09-29;Администрация Старошайговского муниципального района Республики Мордовия;2025-09-29
27409423;Об упорядочении адресных хозяйств на территории Рождественно-Баевского сельского поселения Ичалковского муниципального района Республики Мордовия;2025-09-24;220;21;2;2025-09-29;АДМИНИСТРАЦИЯ РОЖДЕСТВЕННО-БАЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ИЧАЛКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27409431;Об упорядочении адресных хозяйств на территории Рождественно-Баевского сельского поселения Ичалковского муниципального района Республики Мордовия;2025-09-24;221;21;2;2025-09-29;АДМИНИСТРАЦИЯ РОЖДЕСТВЕННО-БАЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ИЧАЛКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27409472;О присвоении адреса объекту недвижимости – земельному участку с кадастровым номером 13:03:031101:115;2025-09-15;214;21;2;2025-09-29;АДМИНИСТРАЦИЯ КИРЖЕМАНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ АТЯШЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27410055;Об аннулировании и присвоении адреса объекту недвижимого имущества;2025-09-15;218;21;1;2025-09-29;АДМИНИСТРАЦИЯ АТЯШЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ АТЯШЕВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27410474;Об изменении кадастрового номера;2025-09-26;151;21;1;2025-09-29;АДМИНИСТРАЦИЯ ТУРГЕНЕВСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ АРДАТОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27410576;Постановление о присвоении адреса земельному участку;2025-09-18;83;21;2;2025-09-29;АДМИНИСТРАЦИЯ МАМОЛАЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ КОВЫЛКИНСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27410895;О присвоении адреса;2025-09-18;66;21;1;2025-09-29;АДМИНИСТРАЦИЯ КЕЧУШЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ АРДАТОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27410947;О присвоении адреса;2025-09-18;66;21;2;2025-09-29;АДМИНИСТРАЦИЯ КЕЧУШЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ АРДАТОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27410992;о присвоении адреса объекта адресации;2025-09-29;48;15;1;2025-09-29;АДМИНИСТРАЦИЯ АКЧЕЕВСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ ЕЛЬНИКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27411303;О присвоении адреса объектам адресации;2025-09-25;169-р;15;2;2025-09-29;АДМИНИСТРАЦИЯ ЕЛЬНИКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27411700;О присвоении адресных данных нежилому зданию;2025-09-26;311;21;1;2025-09-29;АДМИНИСТРАЦИЯ КРАСНОСЛОБОДСКОГО ГОРОДСКОГО ПОСЕЛЕНИЯ КРАСНОСЛОБОДСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
27412159;О присвоении адреса жилому дому;2025-09-16;18;21;1;2025-09-29;АДМИНИСТРАЦИЯ ГУЗЫНСКОГО СЕЛЬСКОГО ПОСЕЛЕНИЯ БОЛЬШЕБЕРЕЗНИКОВСКОГО МУНИЦИПАЛЬНОГО РАЙОНА РЕСПУБЛИКИ МОРДОВИЯ;2025-09-29
