ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1464897269;160793154;568257856;689710771;21;98660000;2025-09-30;2023-10-23;2025-09-30
1464897261;160793154;568257856;689710771;6;98260000000;2025-09-30;2023-10-23;2025-09-30
1644677636;174950323;689710773;0;1;1400;2025-09-30;2025-09-30;2079-06-06
1644677628;160793154;689710771;0;7;98660158051;2025-09-30;2025-09-30;2079-06-06
1644677629;160793154;689710771;0;10;14001000003003900;2025-09-30;2025-09-30;2079-06-06
1644677632;160793154;689710771;0;15;184;2025-09-30;2025-09-30;2079-06-06
1644677635;160793154;689710771;0;21;98660158;2025-09-30;2025-09-30;2079-06-06
1644677639;174950323;689710773;0;7;98635445101;2025-09-30;2025-09-30;2079-06-06
1644677641;174950323;689710773;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644677643;174950323;689710773;0;21;98635445;2025-09-30;2025-09-30;2079-06-06
1644683078;174950948;689711692;0;2;1400;2025-09-30;2025-09-30;2079-06-06
1644683080;174950948;689711692;0;4;1421;2025-09-30;2025-09-30;2079-06-06
1644683082;174950948;689711692;0;7;98641101001;2025-09-30;2025-09-30;2079-06-06
1644683084;174950948;689711692;0;15;132;2025-09-30;2025-09-30;2079-06-06
1644683086;174950948;689711692;0;21;98641101;2025-09-30;2025-09-30;2079-06-06
1644914002;174977948;689792385;0;2;1400;2025-10-01;2025-10-01;2079-06-06
1644914004;174977948;689792385;0;4;1434;2025-10-01;2025-10-01;2079-06-06
1644914006;174977948;689792385;0;7;98660101001;2025-10-01;2025-10-01;2079-06-06
1644914008;174977948;689792385;0;15;172;2025-10-01;2025-10-01;2079-06-06
1644914010;174977948;689792385;0;21;98660101;2025-10-01;2025-10-01;2079-06-06
1644914012;174977949;689792386;0;2;1400;2025-10-01;2025-10-01;2079-06-06
1644914014;174977949;689792386;0;4;1434;2025-10-01;2025-10-01;2079-06-06
1644914016;174977949;689792386;0;7;98660101001;2025-10-01;2025-10-01;2079-06-06
1644914018;174977949;689792386;0;15;173;2025-10-01;2025-10-01;2079-06-06
1644914020;174977949;689792386;0;21;98660101;2025-10-01;2025-10-01;2079-06-06
