OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
75398908;1ea5e83c-58c3-4dcc-805f-1b3f99b18770;689667311;1;10;2017-12-17;2025-09-29
95789149;0d2a6595-f14a-4af6-9f59-695d2c162a27;689668976;0;10;2020-02-28;2025-09-29
174923654;2eaaea7c-db37-4afe-b379-dd5da5e08023;689651887;1;8;2025-09-29;2025-09-29
174944878;682de52a-838d-415a-9f36-0c99c4293321;689699927;1;9;2025-09-29;2025-09-29
174955971;092987ff-77bc-4b9f-ac9f-7abd143ffdf3;689724387;1;10;2025-09-30;2025-09-30
174967933;a59c769d-df48-4b93-a9c4-c18796146949;689753022;1;9;2025-09-30;2025-09-30
75403560;2a03b58b-2d42-4d90-8c83-3614886b7692;689756039;1;10;2017-12-18;2025-09-30
174981137;0a63b748-5689-4b2d-8c60-037d72a45bde;689798869;1;10;2025-10-01;2025-10-01
174988837;e4cee4b2-c382-4180-bf6f-eecada689eab;689813833;1;10;2025-10-01;2025-10-01
174992941;3edbd705-443a-45fe-ae6a-6953fa56aae9;689825463;1;9;2025-10-01;2025-10-01
54985171;cf1adb59-4636-4f2b-8e2e-c9b57abb5124;689759050;0;10;2017-12-18;2025-09-30
75431294;5405fcfb-4546-48a8-b2e9-8cc7afa3f202;689759095;0;10;2017-12-18;2025-09-30
28343387;370ee753-a038-4515-b45f-7289360d3d1f;689756204;1;10;2017-12-18;2025-09-30
36088208;26b85122-5a9f-4a06-95f2-9218f8683852;689756578;1;10;2017-12-18;2025-09-30
76291235;ffe2c7c9-fd64-4e9d-a341-36fff3c5e416;689798855;0;10;2017-12-18;2025-10-01
