ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644678255;174950396;689710853;0;1;1686;2025-09-30;2025-09-30;2079-06-06
1644678257;174950396;689710853;0;6;92401363000;2025-09-30;2025-09-30;2079-06-06
1644678259;174950396;689710853;0;10;16000001000129100;2025-09-30;2025-09-30;2079-06-06
1644678261;174950396;689710853;0;13;927010000006104534501;2025-09-30;2025-09-30;2079-06-06
1644768464;174961087;689737543;0;1;1684;2025-09-30;2025-09-30;2079-06-06
1644768466;174961087;689737543;0;6;92234000032;2025-09-30;2025-09-30;2079-06-06
1644768468;174961087;689737543;0;10;16025000008002400;2025-09-30;2025-09-30;2079-06-06
1644768470;174961087;689737543;0;13;926344420000216000001;2025-09-30;2025-09-30;2079-06-06
1644991653;174988254;689812825;0;1;1674;2025-10-01;2025-10-01;2079-06-06
1644991655;174988254;689812825;0;6;92239501000;2025-10-01;2025-10-01;2079-06-06
1644991684;174988254;689812825;0;10;16028001000010600;2025-10-01;2025-10-01;2079-06-06
1644991688;174988254;689812825;0;13;926391010000000010501;2025-10-01;2025-10-01;2079-06-06
1645026511;174992979;689825517;0;6;92204000000;2025-10-01;2025-10-01;2079-06-06
1645026513;174992979;689825517;0;1;1677;2025-10-01;2025-10-01;2079-06-06
1645026520;174992979;689825517;0;10;16004000000003600;2025-10-01;2025-10-01;2079-06-06
1645026522;174992979;689825517;0;13;926044300000002000001;2025-10-01;2025-10-01;2079-06-06
1645026539;174992981;689825527;0;6;92204000000;2025-10-01;2025-10-01;2079-06-06
1645026541;174992981;689825527;0;1;1677;2025-10-01;2025-10-01;2079-06-06
1645026548;174992981;689825527;0;10;16004000000003800;2025-10-01;2025-10-01;2079-06-06
1645026550;174992981;689825527;0;13;926044300000004000001;2025-10-01;2025-10-01;2079-06-06
1645026526;174992980;689825522;0;6;92204000000;2025-10-01;2025-10-01;2079-06-06
1645026528;174992980;689825522;0;1;1677;2025-10-01;2025-10-01;2079-06-06
1645026533;174992980;689825522;0;10;16004000000003700;2025-10-01;2025-10-01;2079-06-06
1645026537;174992980;689825522;0;13;926044300000003000001;2025-10-01;2025-10-01;2079-06-06
