ID;OBJECTID;PARENTOBJID;CHANGEID;REGIONCODE;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
26919210;36087190;174755;54793899;16;0;0;2025-09-30;1900-01-01;2079-06-06;0;169363.175968.178170.174755.36087190
40957634;35606586;35599900;54095912;16;0;0;2025-09-30;2018-08-15;2079-06-06;0;169363.174887.177155.175702.35599900.35606586
41223385;47164102;47163015;70957545;16;0;0;2025-10-01;2019-02-26;2079-06-06;0;169363.174887.178497.177812.47163015.47164102
41223377;47163015;177812;70955881;16;0;0;2025-10-01;1900-01-01;2079-06-06;0;169363.174887.178497.177812.47163015
244670358;172697809;65286816;647276783;16;0;0;2025-09-30;2025-06-05;2079-06-06;0;169363.204601.202055.203219.65286816.172697809
227327277;93759519;176621;495837127;16;42524888;247076269;2025-09-30;2023-03-01;2025-09-30;0;169363.174887.174927.176621.93759519
239614904;169066325;198924;610212643;16;0;0;2025-09-30;2024-12-23;2079-06-06;0;169363.199429.200178.198924.169066325
247033445;174920592;11664145;689647293;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.170110.11664145.174920592
247028288;174915594;184311;689637686;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.183244.187288.184311.174915594
247028316;174915622;175831;689637759;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.177093.177601.175831.174915622
247028319;174915625;199123;689637772;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.195831.195876.199123.174915625
247028327;174915632;101444595;689637800;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.191018.193178.101444595.174915632
247028399;174915704;195324;689637883;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.192918.192938.195324.174915704
247028398;174915703;195324;689637882;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.192918.192938.195324.174915703
247028402;174915706;99833660;689637886;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.191018.192482.99833660.174915706
247028405;174915709;99833648;689637890;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.191018.192482.99833648.174915709
26979466;37370018;177647;56701446;16;0;0;2025-09-29;1900-01-01;2079-06-06;0;169363.176862.175260.177647.37370018
247028580;174915882;157493032;689638228;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.202039.201469.201652.157493032.174915882
247028579;174915881;103905081;689638227;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.191018.191541.103905081.174915881
247028584;174915886;157493031;689638241;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.202039.201469.201652.157493031.174915886
247029984;174917283;167934580;689640618;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.192918.192938.167934580.174917283
247030284;174917577;176455;689642249;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.177093.174824.176455.174917577
247030286;174917579;177978;689642252;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.177093.174824.177978.174917579
247030555;174917848;199056;689642612;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.199429.199656.199056.174917848
247031698;174918977;174785830;689644603;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.174796.174785830.174918977
247031767;174919046;205072;689644793;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.204601.203372.205072.174919046
247031814;174919093;172262;689644887;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.172262.174919093
247033570;174920717;170927;689647424;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.170927.174920717
247033663;174920810;204383;689647575;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.204601.203372.204383.174920810
247033665;174920812;204383;689647577;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.204601.203372.204383.174920812
247035597;174922723;201698;689650512;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.204601.206470.201698.174922723
247035593;37445499;166504353;689650507;16;23133690;0;2025-09-29;2025-09-29;2079-06-06;1;169363.204601.165674951.166504353.37445499
247035906;174923032;184192;689650972;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923032
247035911;174923037;184192;689650990;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923037
247035907;174923033;184192;689650974;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923033
247035910;174923036;184192;689650988;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923036
247035915;174923041;184192;689651002;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923041
247035917;174923043;184192;689651011;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923043
247035914;174923040;184192;689651000;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923040
247035928;174923054;184192;689651036;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923054
247035967;174923093;184192;689651170;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923093
247035971;174923097;184192;689651183;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923097
247035968;174923094;184192;689651173;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923094
247035972;174923098;184192;689651185;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923098
247035977;174923103;184192;689651201;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923103
247035980;174923106;184192;689651210;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923106
247035975;174923101;184192;689651195;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923101
247035979;174923105;184192;689651208;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923105
247035997;174923123;184192;689651287;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923123
247035995;174923121;184192;689651284;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923121
247035998;174923124;184192;689651288;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923124
247036000;174923126;184192;689651293;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923126
247036007;174923133;184192;689651311;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923133
247036020;174923146;184192;689651328;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923146
247036008;174923134;184192;689651312;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923134
247036019;174923145;184192;689651327;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923145
247036029;174923155;184192;689651340;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923155
247036040;174923166;184192;689651351;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.169398.184192.174923166
247036349;174923475;209086;689651697;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209086.174923475
247036335;174923461;209086;689651683;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209086.174923461
247036337;174923463;209086;689651685;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209086.174923463
247036339;174923465;209086;689651687;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209086.174923465
247036341;174923467;209086;689651689;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209086.174923467
247036343;174923469;209086;689651691;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209086.174923469
247036345;174923471;209086;689651693;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209086.174923471
247036347;174923473;209086;689651695;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209086.174923473
247036350;174923476;209086;689651698;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209086.174923476
247036352;174923478;209086;689651700;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209086.174923478
247036355;174923481;208665;689651703;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208665.174923481
247036357;174923483;208665;689651705;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208665.174923483
247036363;174923489;208095;689651711;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208095.174923489
247036365;174923491;208095;689651713;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208095.174923491
247036367;174923493;208095;689651715;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208095.174923493
247036359;174923485;208665;689651707;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208665.174923485
247036361;174923487;208665;689651709;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208665.174923487
247036370;174923496;209000;689651718;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.209000.174923496
247036368;174923494;208095;689651716;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208095.174923494
247036376;174923502;208474;689651724;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208474.174923502
247036378;174923504;208474;689651726;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208474.174923504
247036380;174923506;208474;689651728;16;0;0;2025-09-29;2025-09-29;2079-06-06;1;169363.206972.208213.208474.174923506
