ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
54567991;39064995;2cfee2ca-2a5a-4fd0-8205-41e0faf52fd3;59206576;21/1;3;20;23357434;129187356;2025-10-01;2012-12-10;2025-10-01;0;0
57290807;81409111;536fc543-7e57-4a1b-a5a6-e8e97c904b38;120971152;7;2;20;49260986;129182848;2025-09-30;2012-11-12;2025-09-30;0;0
57714326;36087190;5969cfbb-47a3-470d-ab0e-71fb27d8219e;54793922;8;2;20;21453046;129178916;2025-09-30;2012-12-10;2025-09-30;0;0
58495186;60474054;646c8bdd-5eb2-4157-a9f4-939d1420e64b;90281024;10;3;20;36213687;129187353;2025-10-01;2012-12-10;2025-10-01;0;0
59810156;23629691;76fb660c-308d-4a63-a8ec-e36292a9379a;36710781;6;2;20;13950337;129189521;2025-10-01;2019-01-28;2025-10-01;0;0
60535859;81407097;813ccabb-e4f2-4f91-a5fb-9bfc11591a87;120966100;1;3;20;49258849;129182850;2025-09-30;2012-11-12;2025-09-30;0;0
72448456;104782186;43e7567e-0a31-42ec-996c-38a9e72594cd;285317702;10;2;10;0;129167552;2025-09-29;2022-06-21;2025-09-29;0;0
63060581;44013856;a4d92cbe-68f4-4295-8738-d30a51b3c2d6;66388956;12;2;20;26295737;129178461;2025-09-30;2018-03-28;2025-09-30;0;0
64253799;14987849;b5b1f0be-3ed3-4357-be5e-3cea2cad93a3;23915947;2;2;20;8417921;129178921;2025-09-30;2012-12-10;2025-09-30;0;0
65000283;4919679;c03a35d8-f488-4e8f-aba1-6d7b4b36bdae;9063529;7;3;20;2067626;129189123;2025-10-01;2012-11-12;2025-10-01;0;0
65524317;27602584;c79f1b1c-1f97-4b87-ae0d-2989b1f0ac5d;42534860;56;3;20;16399167;129178993;2025-09-30;2012-12-10;2025-09-30;0;0
66268261;61930654;d228c14c-9ef4-4a23-8f80-7d92897ce3d8;92477469;2В;2;20;37207184;129188122;2025-10-01;2018-03-28;2025-10-01;0;0
67586198;27645465;e4c6cafb-3053-4cd1-a905-ce025d0de4f0;42596897;77а;3;20;16423264;129178923;2025-09-30;2012-12-10;2025-09-30;0;0
67907577;68621453;e95020aa-33f5-4179-a5ab-8660f0a6423a;102294494;28;3;20;41375841;129182844;2025-09-30;2012-11-12;2025-09-30;0;0
68647607;72634058;f3c3b389-a3d0-4568-8283-6759d1fe6eef;108162417;14;3;20;43841418;129189543;2025-10-01;2012-11-12;2025-10-01;0;0
68698497;3396879;f47a4103-5d49-475b-beaa-8287f0a7f402;6881162;171;3;20;1173270;129180064;2025-09-30;2014-05-14;2025-09-30;0;0
63271374;72642553;a7d43f99-add0-4976-89b8-dcceaf851d14;108175034;13;3;20;43846826;129189542;2025-10-01;2012-11-12;2025-10-01;0;0
5291380;10127413;2567b238-759e-4215-ac2b-e9a99e551df3;16691277;67;2;10;0;129179915;2025-09-30;1900-01-01;2025-09-30;0;0
5402284;10324153;1d22a663-521d-48eb-acd9-d8023e5060dd;16970141;88;3;10;0;129189129;2025-10-01;1900-01-01;2025-10-01;0;0
11726626;20129134;aec47a74-e0de-4abf-9c4d-a2865973b021;31534285;6В;2;10;0;129179675;2025-09-30;2019-02-01;2025-09-30;0;0
55610286;14970770;3bb2aec5-5588-4c16-b7d2-039f48a1dbc5;23888335;6;3;20;8404897;129178990;2025-09-30;2012-12-10;2025-09-30;0;0
63713686;15001655;ae197d8a-5496-489d-8f2d-66b60987d244;23935801;10;3;20;8426813;129178914;2025-09-30;2012-12-10;2025-09-30;0;0
21122502;35547152;6f6f3de7-dcc4-46a5-9c5c-c77e1b28c28c;54011683;42;3;10;0;129178918;2025-09-30;1900-01-01;2025-09-30;0;0
21157556;35606816;e492ffc4-a4a0-486c-baca-c41a71f584ad;54096711;5;2;20;21157359;129181130;2025-09-30;2018-07-23;2025-09-30;0;0
22628326;37926515;52364327-90fb-4c65-9a78-0f3d8e63b598;57510756;107;3;20;22628319;129182548;2025-09-30;2016-07-14;2025-09-30;0;0
22631954;37932718;f2334939-0198-4a97-bca5-aec5a356fd50;57519751;115;3;20;22631942;129182553;2025-09-30;2016-07-14;2025-09-30;0;0
26834951;44919321;278437ae-4f18-45f0-bb36-62a7d662d6fa;67697793;26;3;10;0;129166608;2025-09-29;1900-01-01;2025-09-29;0;0
29561087;49418489;73c22a99-638b-4982-9c86-89ead65f4718;74230571;19а;2;10;0;129178261;2025-09-30;1900-01-01;2025-09-30;0;0
64081575;55040597;b3463178-1c01-46dd-90c7-5295ac37aa2a;82326145;29;3;20;32872555;129185803;2025-10-01;2014-05-14;2025-10-01;0;0
51261074;95538399;1d051ae9-92d9-4208-aae8-c569b0712e6a;138846148;58;5;10;0;129190315;2025-10-01;2020-02-08;2025-10-01;0;0
51736833;59336384;0504b9f1-8b8f-4408-a20e-72aa7bbba014;88637594;187;3;20;35532974;129187362;2025-10-01;2012-12-10;2025-10-01;0;0
52400637;33435547;0e63424a-9d42-4e5e-b4bc-b2852e2f56c9;50961765;16;3;20;19874569;129186847;2025-10-01;2012-11-12;2025-10-01;0;0
52927161;3394151;15d3be5f-2985-4fd5-98b0-73e1bff61744;6877177;168;3;20;1171525;129180063;2025-09-30;2014-05-14;2025-09-30;0;0
53345817;68450852;1bbedf15-7833-4a55-ab06-6e35d5232d5f;102034106;9/1;3;20;41256874;129187361;2025-10-01;2012-12-10;2025-10-01;0;0
127128291;167136913;0818aed7-e3c7-47c8-98f6-9e82e1988765;606284892;10б;2;10;0;129171758;2025-09-29;2024-11-06;2025-09-29;0;0
128501179;65286816;674ce2f6-d618-4867-9931-d820f22bad7a;647257053;20А;2;20;58699227;129178130;2025-09-30;2025-06-04;2025-09-30;0;0
129165800;174914533;2758a469-16c3-4b2e-a3e3-a4dc1fb61597;689635595;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166058;3104582;852132ee-dffe-45e2-b0ad-30b9b9d9e2aa;689637749;17;2;20;988725;;2025-09-29;2025-09-29;2079-06-06;1;1
129166063;14125996;08b33e7a-0054-4bb3-b7ee-99cc9753db9e;689637757;2;2;20;7834725;;2025-09-29;2025-09-29;2079-06-06;1;1
129166084;174915632;9f5477d3-c312-40d9-aaa4-c5d32e24c373;689637800;2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
6180400;11550269;65541c39-b435-430e-a216-24fd551579fc;18772268;21;3;10;0;129166059;2025-09-29;1900-01-01;2025-09-29;0;0
129166067;174915625;8a7a5879-5edd-4fe5-aa80-8057d8153801;689637772;31;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166090;174915702;dd29d885-cf18-4ea0-8e23-9cf3aa7a6f7d;689637880;1/9;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166093;174915705;582285e0-96ff-4620-b186-1489bc29c257;689637884;17;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166096;174915708;76db872c-2439-4d5e-ae66-6bfedcb548e0;689637888;14/2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166128;174915850;9ba7a0a3-22ba-4fee-a321-7e6a24ff502e;689638176;43/25;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166129;37370018;68ceb34f-935d-4b29-b5ca-33c098495416;689638177;34;2;30;22293173;0;2025-09-29;2025-09-29;2079-06-06;1;0
129166136;174915878;71888532-547c-4481-9b1d-c126f7150a39;689638217;4Б;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166139;174915883;6e3282b2-767c-4fc2-a1f3-761c9d8e9920;689638233;48;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166141;174915887;d89c3788-5dc5-4a9a-85ca-1a5c57aa1d1c;689638245;29;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
48391624;80026554;58d8bba1-6c56-45d6-84aa-bdb4a47cda00;118935864;30а;3;10;0;129166607;2025-09-29;2012-08-17;2025-09-29;0;0
129166608;44919321;278437ae-4f18-45f0-bb36-62a7d662d6fa;689642251;26;2;20;26834951;;2025-09-29;2025-09-29;2079-06-06;1;1
129166957;174918978;90d448ec-8f9c-4b56-be26-b3e629052041;689644604;1;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167018;174919127;9ffdada9-895f-4a20-b635-fa2550f3684b;689645063;207А;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167587;174920783;60140f2d-f8e3-426f-b0ab-57574f749ed2;689647494;11;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167764;174921277;e6720c20-0d4d-4ca3-8131-828adf4c0760;689648360;1;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168416;174923032;c0bfec6a-3b22-471f-9162-be655d224887;689650972;1/13;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168423;174923037;8f8ac90a-ca15-4263-bb57-13318de8647b;689650990;2/12;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168427;174923040;be50b4b6-9a73-4680-a9e1-97f3fc5f003a;689651000;2/19;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168314;174922723;d5087ce5-b870-4cc8-8943-5f0827a44837;689650512;9;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168417;174923033;0297127d-df85-4bc9-9554-173108c0e087;689650974;1/18;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168421;174923036;84bcca56-205f-44ea-aac0-1cd215cd7980;689650988;2/9;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168429;174923041;8ec60bdd-a6ed-4b7d-8b9f-99b064da086a;689651002;2/20;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168434;174923043;ada5716b-cad4-4a58-8e44-c4e7008d36da;689651011;2/25;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168443;174923055;da5a4cdc-b21d-44df-8415-19b7bfe0a38b;689651044;2/31;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168491;174923096;e22c7760-5e61-443a-9518-7e15aeef75ab;689651179;3/6;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168498;174923100;fece7e3a-20f1-4f4b-80d4-a0e97b293ffe;689651191;3/16;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168503;174923102;b6fc6d92-c469-41b0-bcc7-4c4055bfa6a3;689651199;3/19;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168510;174923107;528d2e01-d4af-4c71-9080-2066836dfa99;689651212;3/34;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168540;174923127;0185cd3c-d528-4ee0-b845-a7ed2eacc28a;689651294;4/18;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168549;174923135;8330c18c-f4f9-4cce-9970-783a9068343c;689651313;4/29;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168578;174923460;b371d7dc-031d-47b6-803e-0776af95afb0;689651682;51/44;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168580;174923462;bff1b94d-063d-4e2c-8710-d807a118062f;689651684;51/39;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168582;174923464;22a118a1-dcbf-4027-8965-2fd19cb237fa;689651686;51/35;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168584;174923466;99d5847c-97f4-45ef-ad0e-b3edf7ffbbd8;689651688;51/28;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168586;174923468;1597f7ee-76a8-4d05-b882-bd5aa9da58e0;689651690;51/15;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168588;174923470;0e30ae93-f628-4531-ad03-7f8ca17aa47b;689651692;46/1;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168590;174923472;51b2cda3-8e4f-4047-a27e-43a7fd2a7408;689651694;51/45;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168592;174923474;df155563-0857-4c10-96ee-1f0511eba3c2;689651696;51/58;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168606;174923489;5291145a-8d60-4362-8279-f18b167bc310;689651711;148;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168608;174923491;7386c477-324c-4af7-88c7-5ce07c3dc510;689651713;90;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168487;174923094;af2f8941-cea1-41b7-8975-8954aee7d205;689651173;2/34;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168495;174923098;37de6c44-55ae-4c42-9f22-4f9edf5b71e1;689651185;3/10;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168504;174923103;0e6bacad-29b2-4084-b2dd-54d6169360e9;689651201;3/20;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168509;174923106;0c1698b5-810b-42a6-9807-8d2e2422e0aa;689651210;3/31;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168533;174923120;3b721055-60c2-48d4-b8e0-9138d274de62;689651281;3/37;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168535;174923122;60a8e844-a210-4264-a80a-5c3095d3d773;689651286;4/8;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168538;174923125;54919445-4428-4b7a-bfb9-229e050d6091;689651291;4/13;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168546;174923132;71d6612e-6eb5-4e7e-a446-04622b1547c9;689651310;4/21;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168550;174923136;fbf6617a-a3d2-45dc-956f-f0bfb33bb309;689651314;4/34;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
