ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
803412;85354735;1a1d6949-e1d1-4046-bc64-1cc658a8203c;126743227;6;10;74186459;2025-09-30;2019-03-16;2025-09-30;0;0
4164694;88702875;8471c0f9-d2c7-4701-8418-b195658b0f19;131058689;7/114;10;74192608;2025-09-30;2019-03-13;2025-09-30;0;0
5439556;89975365;570052ad-8855-4ba4-adc0-ff6244e7cddf;132514097;1;10;74206784;2025-10-01;2019-03-15;2025-10-01;0;0
7079237;91613569;dc61f4d1-9cef-42ea-afb5-df845b646fc9;134358134;83д;10;74198546;2025-10-01;2019-07-09;2025-10-01;0;0
7356676;91890791;a20bbb86-c58b-48e8-a30c-6e2f5ffd0ce0;134664224;28;10;74187748;2025-09-30;2019-04-22;2025-09-30;0;0
7525622;92059632;648f71b3-10a9-403b-ba35-c3448e86f559;134847105;6В;10;74188608;2025-09-30;2019-04-26;2025-09-30;0;0
8444618;92978174;70e699de-e3e1-46ba-8ec9-3ce76ec7882c;135831228;21;10;74189113;2025-09-30;2019-04-15;2025-09-30;0;0
10388185;94921305;ed11710d-7625-4b63-a574-860c5007f2ea;137875263;16;10;74175803;2025-09-29;2019-07-30;2025-09-29;0;0
68482862;164786903;2fce0622-1490-4d6b-b732-963af589de81;599824149;1/55;10;74186511;2025-09-30;2024-08-20;2025-09-30;0;0
68482869;164786911;e1352fca-95b3-4162-b009-3227cd36f31d;599824185;1/59;10;74187138;2025-09-30;2024-08-20;2025-09-30;0;0
68482859;164786900;678ba23f-b459-410c-aa1d-1d96896628f3;599824136;1/53;10;74186509;2025-09-30;2024-08-20;2025-09-30;0;0
68482863;164786904;3bd0f00c-7542-4b9a-afa6-aa1c3dba8c8b;599824158;1/56;10;74186512;2025-09-30;2024-08-20;2025-09-30;0;0
71655270;170316143;c2ee7204-40c3-4543-9e27-e6c46f3319f4;640669357;11а;10;74201644;2025-10-01;2025-02-17;2025-10-01;0;0
74166710;174915594;8dd3878c-620a-4d62-bb99-3b6208a660db;689637686;1;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74166713;174915621;9d90ce2c-0a6e-49e5-862c-9e5df11e871e;689637758;20;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167419;174917283;3e301497-e46f-4967-bb68-26d1973c0a73;689640618;5;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167577;174917579;59560a4c-9f5b-4ca3-a84d-a981ec661bc9;689642252;1А;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74167575;174917577;3c41958f-52bd-445f-bc5a-0da4707e9e6c;689642249;29;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168492;174919044;be00d10d-b13c-4848-a45a-34be1699bf3d;689644790;43;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74168494;174919046;2917214a-a3e7-4624-8729-91e6e469d52a;689644793;1В;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74169439;174920810;7eb84406-6d12-4add-ad40-86142b8caba0;689647575;1В;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171217;174925072;46a572d5-1a51-486a-8977-110440e0bf6a;689654240;4;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171223;174925082;51784dae-a6b3-429c-872c-391fa417c7e9;689654250;11;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171226;174925087;b748e166-8b43-476d-a0dc-2e78569e61eb;689654256;15;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171231;174925092;f5950245-330f-492e-a0d3-deb80e6ff272;689654262;19;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171236;174925098;5f4a807b-ac8e-4ae1-83e3-3f5eb8d190dc;689654270;29;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171239;174925101;7b828ee6-89e7-404b-9a67-97a6fc6739c5;689654274;35;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171242;174925104;a3d26e2a-3496-4b94-88e2-9053ced844f3;689654278;41;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
74171247;174925139;e4280e66-f0db-4e37-8140-5712c6067285;689654316;54;10;0;2025-09-29;2025-09-29;2079-06-06;1;1
