ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644404346;174912926;689631796;0;8;17:02:0700037:360;2025-09-29;2025-09-29;2079-06-06
1644404348;174912926;689631796;0;13;936104301010000001440007000100000;2025-09-29;2025-09-29;2079-06-06
1644404429;174912937;689631809;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644700848;174952625;689717826;0;8;17:03:1602003:72;2025-09-30;2025-09-30;2079-06-06
1644700850;174952625;689717826;0;13;936151010010000006540069000100000;2025-09-30;2025-09-30;2079-06-06
1644700852;174952626;689717827;0;15;2;2025-09-30;2025-09-30;2079-06-06
1644881132;3163916;689781684;0;8;17:08:0203079:284;2025-10-01;2025-10-01;2079-06-06
1644881265;3165800;689781707;0;8;17:08:0000000:81;2025-10-01;2025-10-01;2079-06-06
1644881503;6740766;689781751;0;8;17:08:0203075:225;2025-10-01;2025-10-01;2079-06-06
1644881455;3818803;689781736;0;8;17:08:0203091:206;2025-10-01;2025-10-01;2079-06-06
1644881516;6743082;689781756;0;8;17:08:0203075:217;2025-10-01;2025-10-01;2079-06-06
1644883744;11995018;689782645;0;8;17:08:0203107:131;2025-10-01;2025-10-01;2079-06-06
1644884254;12938631;689782754;0;8;17:08:0203108:144;2025-10-01;2025-10-01;2079-06-06
1644888086;21215744;689783816;0;8;17:08:0203097:143;2025-10-01;2025-10-01;2079-06-06
1644888130;23671837;689783831;0;8;17:08:0203093:149;2025-10-01;2025-10-01;2079-06-06
1644888268;23674214;689783963;0;8;17:08:0203078:167;2025-10-01;2025-10-01;2079-06-06
1644891907;23683002;689785612;0;8;17:08:0203079:421;2025-10-01;2025-10-01;2079-06-06
1644892022;23746964;689785631;0;8;17:08:0203079:226;2025-10-01;2025-10-01;2079-06-06
1644892164;23767722;689785660;0;8;17:08:0203086:154;2025-10-01;2025-10-01;2079-06-06
1644892338;23788086;689785708;0;8;17:08:0203094:147;2025-10-01;2025-10-01;2079-06-06
1644933331;174980582;689796941;0;8;17:08:0203080:382;2025-10-01;2025-10-01;2079-06-06
1644933333;174980582;689796941;0;13;936351010010000009640067000100000;2025-10-01;2025-10-01;2079-06-06
1644939187;174981220;689799042;0;15;1;2025-10-01;2025-10-01;2079-06-06
