ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
70210;1559674;9cb8865e-f4a7-4d09-b96b-838cc8d4e4d3;4212641;18;3;10;0;129185268;2025-10-01;1900-01-01;2025-10-01;0;0
34387330;57462950;8182bb98-c0ab-49eb-8128-987700334e66;85909047;1;3;10;0;129185536;2025-10-01;2017-05-31;2025-10-01;0;0
129164849;174911980;0b35f4bc-27cc-417f-baa9-cb003c5caeed;689629546;10Б;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170714;174930423;fb1859ee-67a7-481f-9e39-07b8da7b2ba9;689669499;17;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129179739;174958427;a9c0db67-cc22-4ae6-8dc9-a953bac2bbe4;689731448;29;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129181023;174962636;b6498d9d-752c-46db-ad97-3efc00195fdd;689741212;47;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129181009;174962481;3fb80e2c-8ac8-4374-9e1b-42d37862bc01;689740962;2;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129181037;174962703;f31f7d6a-eb92-41f6-9fe4-a1527a016ba5;689741341;73;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
129181253;174963319;ad37627e-b7cf-475d-92d2-8e1c8931bda3;689742308;58;2;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
3213774;6737751;5f754eb9-45a1-4c0d-99ce-812e89b21ead;11742890;26;3;10;0;129185140;2025-10-01;1900-01-01;2025-10-01;0;0
5866226;11053128;de75111b-4782-4c3e-9c64-06a97edba55b;18045301;32;3;10;0;129185141;2025-10-01;1900-01-01;2025-10-01;0;0
5867127;11054835;8bacbdd3-4996-4985-805f-099af50a6396;18047695;160;3;10;0;129185143;2025-10-01;1900-01-01;2025-10-01;0;0
5867432;11055265;7e6dcd70-8e08-4b2e-8d5b-aabba90e5761;18048318;58;3;10;0;129185144;2025-10-01;1900-01-01;2025-10-01;0;0
129185136;1560251;c04f508f-62e7-43dc-a1b0-f9c70d5e7af1;689783762;16;2;20;70633;;2025-10-01;2025-10-01;2079-06-06;1;1
129185138;6739893;2e14e927-970b-4c2b-b363-a0e121a64419;689783804;6;2;20;3215112;;2025-10-01;2025-10-01;2079-06-06;1;1
129185139;6741117;b4dd225c-5076-4da3-80a0-bbc4982a4885;689783821;17;2;20;3215906;;2025-10-01;2025-10-01;2079-06-06;1;1
129185221;11069902;332f6df5-cae0-4948-9ed7-30b348cbdfc1;689785624;124;2;20;5878219;;2025-10-01;2025-10-01;2079-06-06;1;1
129185226;11060385;0246aeef-1902-4093-a804-17ea6e50b302;689785634;161;2;20;5871016;;2025-10-01;2025-10-01;2079-06-06;1;1
129185236;11063230;047091bb-34a8-41a5-b723-b71117cfc04c;689785665;2д;2;20;5873329;;2025-10-01;2025-10-01;2079-06-06;1;1
129185239;11064664;86c939dd-fd14-4ffb-a191-24911b5acfc6;689785705;120;2;20;5874569;;2025-10-01;2025-10-01;2079-06-06;1;1
129185218;11056134;691cda5f-b9f2-4e88-b195-0c3478957782;689785610;136;2;20;5867777;;2025-10-01;2025-10-01;2079-06-06;1;1
129185229;11061083;83d777ec-12be-481e-870a-1a01bcb4c468;689785649;184;2;20;5871650;;2025-10-01;2025-10-01;2079-06-06;1;1
129185245;11067200;14c603ea-12a8-4f00-acbe-29def7003da6;689785728;178;2;20;5876342;;2025-10-01;2025-10-01;2079-06-06;1;1
129185262;3817248;8e493cc9-736f-4b8a-b22a-6192f8dcd7ef;689785775;14;2;20;1420907;;2025-10-01;2025-10-01;2079-06-06;1;1
129185536;57462950;8182bb98-c0ab-49eb-8128-987700334e66;689787234;1;2;20;34387330;;2025-10-01;2025-10-01;2079-06-06;1;1
129185558;47016722;5f11c23a-ed72-4c89-aea3-092c26f245ba;689787318;6;2;20;28113044;;2025-10-01;2025-10-01;2079-06-06;1;1
