ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
249582258;174909173;171288404;689623301;93622151051;0;0;2025-09-29;2025-09-29;2079-06-06;1;206101.95235224.95235233.210893.171288404.174909173
249583244;174910157;209786;689624696;93622445101;0;0;2025-09-29;2025-09-29;2079-06-06;1;206101.95235224.95235225.211080.209786.174910157
249583291;174910204;208696;689624755;93622445101;0;0;2025-09-29;2025-09-29;2079-06-06;1;206101.95235224.95235225.211080.208696.174910204
249583881;174910794;174098196;689625904;93635425101;0;0;2025-09-29;2025-09-29;2079-06-06;1;206101.95235302.95235305.213260.174098196.174910794
249584027;174910938;174181489;689626552;93622445101;0;0;2025-09-29;2025-09-29;2079-06-06;1;206101.95235224.95235225.211080.174181489.174910938
249584026;174910937;174181489;689626551;93622445101;0;0;2025-09-29;2025-09-29;2079-06-06;1;206101.95235224.95235225.211080.174181489.174910937
249586006;174912915;208238;689631783;93615101001;0;0;2025-09-29;2025-09-29;2079-06-06;1;206101.95235235.95235237.210787.208238.174912915
249586028;174912937;22883203;689631809;93610430101;0;0;2025-09-29;2025-09-29;2079-06-06;1;206101.95235267.95235268.208003.210261.22883203.174912937
249610668;174930423;206748;689669499;93701000001;0;0;2025-09-29;2025-09-29;2079-06-06;1;206101.95235277.206135.208663.206748.174930423
249630126;174945768;208991;689702362;93635425101;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235302.95235305.213260.208991.174945768
249631246;174946883;212287;689704455;93645433101;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235248.95235249.212381.212287.174946883
249637052;174952616;210209;689717706;93615101001;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235235.95235237.210787.210209.174952616
249637061;174952625;35735643;689717826;93615101001;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235235.95235237.210787.210209.35735643.174952625
249638509;174954065;212954;689720762;93656440101;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235187.95235191.212954.174954065
249642914;174958427;209481;689731448;93701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235277.206135.207802.209481.174958427
249647539;174962438;209075;689740861;93701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235277.206135.209075.174962438
249647775;174962582;206607;689741144;93701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235277.206135.208602.206607.174962582
249647808;174962614;208179;689741182;93701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235277.206135.208179.174962614
249647830;174962636;208854;689741212;93701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235277.206135.207802.208854.174962636
249647970;174962736;209953;689741383;93701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235277.206135.207874.209953.174962736
249648540;174963282;209692;689742246;93701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235277.206135.207832.209692.174963282
249648577;174963319;158034971;689742308;93701000001;0;0;2025-09-30;2025-09-30;2079-06-06;1;206101.95235277.206135.208901.158034971.174963319
67728684;11067325;11067102;18067269;93635101;0;0;2025-10-01;2017-05-25;2079-06-06;0;206101.95235302.95235307.211322.212461.11067102.11067325
249684722;174980582;47016722;689796941;93635101001;0;0;2025-10-01;2025-10-01;2079-06-06;1;206101.95235302.95235307.211322.210305.47016722.174980582
