OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
11060385;0246aeef-1902-4093-a804-17ea6e50b302;689785634;1;10;2012-08-30;2025-10-01
11660165;fec3dd96-f860-452e-b06e-3df9d7f2254f;689782636;1;11;2017-05-30;2025-10-01
12938631;9b41a6f8-ec6b-45b3-90b9-236c5493a085;689782754;1;11;2017-05-24;2025-10-01
3162267;daaf6ebc-235d-402a-90d8-6c6a9331ee1e;689781692;1;11;2017-05-30;2025-10-01
47016722;5f11c23a-ed72-4c89-aea3-092c26f245ba;689787318;1;10;2012-08-30;2025-10-01
5381500;0660f764-e023-4cb8-afb6-b0c7bae19b7c;689781745;1;11;2017-05-24;2025-10-01
174910159;3f1080ac-61da-4c47-bcfb-7d97e9c6de6b;689624698;1;9;2025-09-29;2025-09-29
174910204;39b03665-a1c0-4e4d-a691-31a0f137f720;689624755;1;10;2025-09-29;2025-09-29
174910794;b5e80990-d17e-4e35-b5e5-4151599b8ccf;689625904;1;9;2025-09-29;2025-09-29
174910936;6f9ddf06-1b46-47a5-b8fc-ed394d990d7c;689626550;1;9;2025-09-29;2025-09-29
174910937;3033539d-c836-4aab-93d8-25bcb0752b16;689626551;1;9;2025-09-29;2025-09-29
174912915;9c5e6a73-1a6f-4895-8f95-5f6d0740c762;689631783;1;9;2025-09-29;2025-09-29
174912927;5e76f40a-1973-4bcb-8043-0a8e195bd6c4;689631797;1;10;2025-09-29;2025-09-29
6740766;0d8794fe-eb1a-47a4-89ec-60a9d5d4feb2;689781751;1;11;2017-05-24;2025-10-01
6743082;d149f9cc-a613-468a-98b3-f9bd24304805;689781756;1;11;2017-05-24;2025-10-01
174930535;bcb794af-bfc6-41ae-9011-acd4322c4c85;689669827;1;9;2025-09-29;2025-09-29
174946174;708acc90-ef55-4f8c-b307-c739620e47ad;689703449;1;9;2025-09-30;2025-09-30
174947245;0e28befd-9fe7-4cf6-9961-33a1f855b746;689705049;1;9;2025-09-30;2025-09-30
174954115;44ec5885-b986-49be-a0d9-3dbed7c540e5;689720823;1;8;2025-09-30;2025-09-30
174952617;448b33dd-8529-45ec-a7fb-62deb9d9aa3a;689717707;1;9;2025-09-30;2025-09-30
174952626;be305502-cddb-4651-ad88-ff7c722414a6;689717827;1;11;2025-09-30;2025-09-30
174962084;1d844a26-c683-4c99-8ecd-2774fd4de538;689739946;1;9;2025-09-30;2025-09-30
174962481;3fb80e2c-8ac8-4374-9e1b-42d37862bc01;689740962;1;10;2025-09-30;2025-09-30
174962607;3afd86db-501e-4779-b36b-290a514f1395;689741175;1;9;2025-09-30;2025-09-30
174962636;b6498d9d-752c-46db-ad97-3efc00195fdd;689741212;1;10;2025-09-30;2025-09-30
174962703;f31f7d6a-eb92-41f6-9fe4-a1527a016ba5;689741341;1;10;2025-09-30;2025-09-30
174962805;ef0f1f78-6c2a-4376-a965-26ac10579dce;689741495;1;9;2025-09-30;2025-09-30
174963305;d4c2c996-1d38-4115-94fd-c93472bfa610;689742274;1;9;2025-09-30;2025-09-30
174972096;6af696e5-90f4-451a-97fc-35781e13686a;689780590;1;10;2025-10-01;2025-10-01
3817667;8a775b36-952c-4b46-a782-777ac3e42739;689781727;1;11;2017-05-26;2025-10-01
11067325;3037e945-f6ea-48a9-9d7b-1c8059c7e693;689782529;0;11;2017-05-25;2025-10-01
174976245;7662b97a-999b-4b87-a9ca-da570eb9d7af;689789577;1;8;2025-10-01;2025-10-01
174981220;aeef1ce9-0d4d-4826-99a6-0c63fce54ca9;689799042;1;11;2025-10-01;2025-10-01
11069902;332f6df5-cae0-4948-9ed7-30b348cbdfc1;689785624;1;10;2012-08-30;2025-10-01
11067200;14c603ea-12a8-4f00-acbe-29def7003da6;689785728;1;10;2012-08-30;2025-10-01
6741117;b4dd225c-5076-4da3-80a0-bbc4982a4885;689783821;1;10;2012-08-30;2025-10-01
11995018;f2fcf680-fbae-4197-99e6-9052257a55f9;689782645;1;11;2017-05-30;2025-10-01
23671954;bcfcbaa1-d390-4b4a-a578-183f087ffb01;689783828;1;11;2017-05-25;2025-10-01
23673975;2a5d2046-bc86-4883-baab-b60f7301e28d;689783959;1;11;2017-05-25;2025-10-01
23681236;d96273b0-30f1-4187-8b14-06d459db23d4;689783969;1;11;2017-05-26;2025-10-01
23746964;89b91b1d-dd5b-4e8b-abd4-7676fcfe1ced;689785631;1;11;2017-05-25;2025-10-01
23752939;f925e390-2574-440c-9b72-81568de8fd0c;689785637;1;11;2017-05-25;2025-10-01
23769645;4ca6947d-c4f7-40d0-9d65-f1b99bfe8a86;689785706;1;11;2017-05-25;2025-10-01
23795417;3ff5ca5f-d4db-4dcb-9177-06f7a96f7838;689785722;1;11;2017-05-30;2025-10-01
86696080;f1930e11-baf6-485c-a680-4735b09a75ee;689741040;1;9;2018-12-18;2025-09-30
6737751;5f754eb9-45a1-4c0d-99ce-812e89b21ead;689783824;1;10;2012-08-30;2025-10-01
1559674;9cb8865e-f4a7-4d09-b96b-838cc8d4e4d3;689785789;1;10;2012-08-30;2025-10-01
11055265;7e6dcd70-8e08-4b2e-8d5b-aabba90e5761;689783962;1;10;2012-08-30;2025-10-01
11064664;86c939dd-fd14-4ffb-a191-24911b5acfc6;689785705;1;10;2012-08-30;2025-10-01
168260291;d1f592c5-cffd-4fc8-9fa6-d79a3193e1c9;689740788;1;10;2024-12-04;2025-09-30
