ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
74162512;174909173;4dbd5c87-e114-44ab-871c-722f4715dd6b;689623301;48а;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163392;174910158;006b2c6f-96d8-47de-8b54-a428acecd2c0;689624697;2в;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163629;174910793;9f88a562-ea26-4c59-a213-24bac2132b9c;689625903;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163694;174910935;df6d1972-851c-481a-846e-19a1b87e7440;689626549;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74163696;174910937;3033539d-c836-4aab-93d8-25bcb0752b16;689626551;16;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74165217;174912915;9c5e6a73-1a6f-4895-8f95-5f6d0740c762;689631783;8;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
74180866;174946174;708acc90-ef55-4f8c-b307-c739620e47ad;689703449;41а;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74181445;174947245;0e28befd-9fe7-4cf6-9961-33a1f855b746;689705049;28;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74185186;174952617;448b33dd-8529-45ec-a7fb-62deb9d9aa3a;689717707;16/1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74190984;105100632;8467923e-853b-42b0-9355-6c2f89c71102;689739065;29;20;15687406;;2025-09-30;2025-09-30;2079-06-06;1;1
74191559;174962607;3afd86db-501e-4779-b36b-290a514f1395;689741175;47;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74191588;174962647;cf337204-60e0-4d18-a4e8-087e7bd59f0f;689741228;47/1;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
74191911;174963305;d4c2c996-1d38-4115-94fd-c93472bfa610;689742274;58;10;0;0;2025-09-30;2025-09-30;2079-06-06;1;1
