ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
12495974;22252727;0f5eb49e-f8aa-4c5f-8678-277f12ce1045;34697842;1;2;10;0;111814610;2025-10-01;2017-04-13;2025-10-01;0;0
15687900;27471797;055cc229-fb28-4faf-9443-56e19ab6d7d2;42344142;16;1;10;0;111804704;2025-09-29;2018-10-24;2025-09-29;0;0
18306714;31679634;0a1106e6-da2c-4bc9-8a40-77becde6276d;48435446;28;1;10;0;111804784;2025-09-29;2019-12-11;2025-09-29;0;0
18307009;31680254;1e03e92f-f9e8-4fcb-8ecf-4115b10f49ca;48436404;31;1;10;0;111804787;2025-09-29;2019-12-11;2025-09-29;0;0
18308298;31682338;3418207c-edb0-4e87-a9f5-02d25b9bdd14;48439374;32;1;10;0;111804791;2025-09-29;2019-12-11;2025-09-29;0;0
18310083;31685506;70a063bf-31eb-4167-bb57-55bc6733b081;48444151;104;2;10;0;111804793;2025-09-29;2017-06-06;2025-09-29;0;0
30634496;51660571;683266bc-2666-4433-a056-0074250830b3;77436293;2;2;10;0;111810963;2025-09-30;2018-05-10;2025-09-30;0;0
32331636;54405367;e8816248-d6db-4af1-b7f6-7e16f3f07b18;81417912;1;2;10;0;111810765;2025-09-30;2017-04-25;2025-09-30;0;0
42816006;71722215;52d9f32e-6fa9-432d-8656-a398fffff164;106821186;2;2;10;0;111806675;2025-09-30;2017-03-29;2025-09-30;0;0
42920251;71894912;7b10f5f9-7fff-42dd-a46d-32849fb332fd;107072955;6;2;10;0;111814613;2025-10-01;2018-05-10;2025-10-01;0;0
46588365;77907200;bb97f0da-764b-4b73-a3b4-2fbc981fc395;115826205;1;2;10;0;111813070;2025-10-01;2017-05-02;2025-10-01;0;0
111793963;65827677;189e3ac9-c75d-4c43-8e0a-025b757f3145;689632983;2;2;55;39227215;129165234;2025-09-29;2025-09-29;2079-06-06;1;0
39227396;65827928;2aaf39e3-fc30-4d20-b552-e248a21a7e43;98177102;1;2;10;0;111793964;2025-09-29;2017-05-18;2025-09-29;0;0
19224696;33190641;bf355cbf-6b5d-46f1-8006-f7d15235ee52;50616166;1;2;10;0;111793991;2025-09-29;2017-03-30;2025-09-29;0;0
48345945;80845061;a63eb491-53d3-4e69-af75-4e860aab7333;120151672;1;2;10;0;111796340;2025-09-29;2017-03-23;2025-09-29;0;0
111797802;174924334;8f78f8fc-a3de-47c2-83ce-07483a9fb712;689652841;5/8;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
17296560;29998713;8885c193-0be2-4dac-bfa9-046779c80a2c;45968917;1;2;10;0;111800310;2025-09-29;2017-04-25;2025-09-29;0;0
17296566;29998727;c1ba55c0-d83e-45f7-beb5-abbdd85a45fb;45968943;2;2;10;0;111800311;2025-09-29;2017-04-25;2025-09-29;0;0
45998350;76963645;367492fb-0de9-4fbf-8a1d-449c6ce26633;114479609;2;2;10;0;111800324;2025-09-29;2017-04-25;2025-09-29;0;0
45998435;76963828;42b72007-a0d2-4806-a875-3bccb0643d65;114479830;1;2;10;0;111800325;2025-09-29;2017-04-25;2025-09-29;0;0
34844550;58521328;4ad891ea-9e00-45cf-84ea-0f8693d9df6a;87455065;2;2;10;0;111802156;2025-09-29;2018-10-15;2025-09-29;0;0
34844643;58521486;5e753660-e70f-4f2d-8855-abf834477052;87455271;1;2;10;0;111802157;2025-09-29;2018-10-15;2025-09-29;0;0
21484408;36879346;252fcf1c-d56e-4d68-b838-69e9319b6e7e;55975218;2;2;10;0;111802182;2025-09-29;2017-04-26;2025-09-29;0;0
21484482;36879463;69012daa-1088-4354-b358-96278e1eda15;55975358;1;2;10;0;111802183;2025-09-29;2017-04-26;2025-09-29;0;0
111803307;174938092;e7ff81cc-bc4b-40b5-a638-cc53b7a962ea;689686188;90;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803309;174938094;b9099bd4-104b-4a5b-a59a-d76f34cb9308;689686190;88;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803311;174938096;4da3e02e-85fb-449f-bff6-721a06fba42f;689686192;85;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803313;174938098;d743bb0d-3771-4974-920e-3a3b00f9afd6;689686194;83;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803315;174938100;65205553-858e-4895-a989-95c81e22b34f;689686196;81;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803317;174938102;c51eacb8-f2e3-443c-a737-5802cb9db5b6;689686198;79;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803319;174938104;6769d81b-6852-4a43-930d-ef0a7d3944bc;689686200;77;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803321;174938106;aa64a77f-f9cd-49dd-9fcc-dc1e0acc7fab;689686202;75;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803323;174938108;94bfdc68-e07c-4f01-b56d-547057ebee00;689686204;73;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803325;174938110;5a671253-cdfb-48e2-ba41-cee3790be4a4;689686206;71;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803327;174938112;7cd23606-c7c2-40af-8aa6-c1bb2252f558;689686208;69;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803329;174938114;40b31c7e-87fa-4652-915a-be633dc04113;689686210;67;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803331;174938116;340121cd-86f1-450e-b2ee-03b058285770;689686212;65;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803333;174938118;39d31c74-7816-45f0-98b6-0c3083c2a327;689686214;63;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803335;174938120;4d7a4c71-939f-449d-a554-19f3afcf1318;689686216;61;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803337;174938122;02938745-3136-4ea1-87de-31eb748be264;689686218;59;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803339;174938124;1316877d-c04c-428b-b3f0-5e75f927cc71;689686220;57;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803341;174938126;ed0b5b28-3469-49a5-83cf-1a1a2e1af743;689686222;55;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803343;174938128;889b54a7-a55e-40f7-be2e-10ce4fae46f1;689686224;53;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803345;174938130;e1a48295-a3ab-47d8-9fb4-2c4a3f8783af;689686226;50;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803347;174938132;33d71966-37d6-4e4b-ad80-3674400af1d2;689686228;48;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803349;174938134;a6097106-1724-4056-b505-a07803f5296c;689686230;46;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803351;174938136;5747b53a-f358-47e9-a62d-1ffd42b501b7;689686232;44;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
21481237;36873660;1dedf084-22e2-4b91-9eca-7d060eaf1150;55966710;2;2;10;0;111803411;2025-09-29;2017-04-26;2025-09-29;0;0
21481411;36873955;8c192d9c-0c1c-4944-b937-38f180ae4910;55967165;1;2;10;0;111803412;2025-09-29;2017-04-26;2025-09-29;0;0
111803498;174938585;b8db26ef-113a-4ade-b112-5be0c36aca54;689686998;145;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803500;174938587;2a61fe20-3ea2-49b1-96d1-faf076d9dbf1;689687000;168;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803502;174938589;5e534a57-877c-4526-9d87-5e6240a6fa25;689687002;166;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803504;174938591;2e1bb1de-cc9d-4c28-ad12-4fa4491685f8;689687004;164;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803506;174938593;b660a556-8d70-45d7-8e66-7e82355f2dbb;689687006;162;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803508;174938595;b8ff128f-a7fc-4e26-8f79-0ef596e576c8;689687008;160;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803510;174938597;abda51ba-964e-473e-82a5-037281403152;689687010;158;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803512;174938599;9daba2ee-f4eb-4717-bf8e-805852a2d524;689687012;156;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803514;174938601;2e7357b7-3ca6-4fd3-8d8a-45fd81810fc4;689687014;154;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803516;174938603;9089a2ee-0abe-47f5-b711-06a344948544;689687016;152;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803518;174938605;7cda834f-a175-4d6b-8c81-97b549d35f07;689687018;150;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803520;174938607;9f28125c-380c-4649-b767-119948255e99;689687020;148;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803522;174938609;167eff8f-df49-4743-ae87-d6ddd8719e02;689687022;146;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803524;174938611;93269e41-1497-4bd2-81ee-4bc67c057281;689687024;143;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803526;174938613;c751db93-f7cc-47b8-9efb-da6bacb673b8;689687026;141;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803528;174938615;6e0996ce-e26e-4201-88b4-a5383237ad1e;689687028;139;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803530;174938617;eff8e165-e098-4f19-8152-f330c5619d68;689687030;137;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803532;174938619;59a2f706-16c9-4f8b-b302-79ea0f0da1be;689687032;135;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803534;174938621;67289358-bec6-4fef-adfb-a70fe58a7e59;689687034;133;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803536;174938623;0328e6bf-ad2f-4721-9bdc-816bede079ff;689687036;131;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803538;174938625;1e461ada-73cf-4315-9ca1-75caeb9b5bad;689687038;129;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803540;174938627;48f6da1a-ef0d-4404-b1e1-1a7540670cb7;689687040;127;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803542;174938629;848717b7-7a0b-4c65-bc95-9b58cbb2b895;689687042;125;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803544;174938631;b45f7a9c-0eb4-4ca5-9a23-88fa479ab436;689687044;123;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803546;174938633;44634532-f164-4e8b-bc96-66cf5bb4e0ae;689687046;121;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803548;174938635;f85688aa-4a26-43d1-844d-5a53d826100f;689687048;119;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803550;174938637;932cdb96-31e2-45b9-b0d8-89db3ba69df2;689687050;117;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803552;174938639;c8b821ee-ff98-4df6-b846-925ee31a2112;689687052;115;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803554;174938641;9a1e1600-c464-44ee-84c5-fb6b085437c1;689687054;113;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803659;66213886;ea57ca64-bc3d-4c12-8968-ea69c2411916;689687592;186;2;30;39466904;0;2025-09-29;2025-09-29;2079-06-06;1;0
111803557;174938644;456a132c-5a5f-4ea4-a0c9-07d4100d3d4d;689687057;110;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803559;174938646;ff67a475-0d42-4a3f-9fd8-49cd803a158e;689687059;108;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803561;174938648;8af16736-7bbd-46b6-85bc-48aad06fed8f;689687061;106;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803563;174938650;a81b4878-18b5-430f-9c82-0db0f900e74b;689687063;103;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803565;174938652;38ba680f-4019-4d7e-b3dd-5c83255e128d;689687065;100;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803567;174938654;03c6b586-60f9-4b2f-8b68-ccc88a287c24;689687067;98;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803569;174938656;97bc202b-1b7a-4fa4-beae-da2a5309116d;689687069;96;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803571;174938658;a1031ab1-40bc-4f0d-a4a2-02b250c31bd3;689687071;94;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803654;174938876;162fa04b-ce4a-4661-87ad-5811c86d68a3;689687580;83/84;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111803656;174938878;91bcde51-951c-4c1d-a825-b53828d38c4f;689687582;3/8;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
39466904;66213886;ea57ca64-bc3d-4c12-8968-ea69c2411916;98753310;186;2;10;0;111803659;2025-09-29;2019-08-20;2025-09-29;0;0
438344;2195556;5da07df8-e468-4105-82b7-94d0a5ca99a4;5137563;1;2;10;0;111804028;2025-09-29;2018-05-10;2025-09-29;0;0
438361;2195589;5e804938-2480-4a4e-8f31-cb5e316b105e;5137624;2;2;10;0;111804029;2025-09-29;2018-05-10;2025-09-29;0;0
47861809;80025849;3bb34752-3e9a-449e-bbb7-fdb84e10ff07;118934731;2;2;10;0;111804035;2025-09-29;2018-05-10;2025-09-29;0;0
47862063;80026280;ef7283e4-e06f-4a23-a022-138ef27629ff;118935430;1;2;10;0;111804036;2025-09-29;2018-05-10;2025-09-29;0;0
34673108;58247342;8a8e0191-882c-4ebf-bc1a-a4f8a41d2b07;87062569;1;2;10;0;111804255;2025-09-29;2018-06-22;2025-09-29;0;0
34673144;58247405;d80b4fb5-6b08-4248-9395-eb5d5e1fd06f;87062775;2;2;10;0;111804256;2025-09-29;2018-06-22;2025-09-29;0;0
30579628;51573160;11fa84e9-9f98-4629-85ed-367f32865ae6;77308268;2;2;10;0;111804309;2025-09-29;2018-05-10;2025-09-29;0;0
30580048;51573769;7dd1bda5-967b-46d0-a450-d39d0c1db012;77309079;4;2;10;0;111804310;2025-09-29;2018-05-10;2025-09-29;0;0
30580154;51573912;a4bca58f-a920-4812-b215-a31348899afc;77309283;1;2;10;0;111804311;2025-09-29;2018-05-10;2025-09-29;0;0
30580172;51573944;c57915b4-25a3-487c-a69a-c558e98d2204;77309331;3;2;10;0;111804312;2025-09-29;2018-05-10;2025-09-29;0;0
34946327;58693124;3a68204a-7ad6-4fd5-8a5c-4c3d7b2a79ad;87707237;2;2;10;0;111804374;2025-09-29;2018-05-10;2025-09-29;0;0
34946345;58693182;e8a3d727-09c2-4dbc-b352-f765a13d7b5b;87707320;1;2;10;0;111804375;2025-09-29;2018-05-10;2025-09-29;0;0
111804693;27472439;61e72ef3-7691-4b34-a1ef-b7c0018b247c;689696974;5;1;30;15688278;0;2025-09-29;2025-09-29;2079-06-06;1;0
111804694;27472447;634c5ef1-df9f-4b3c-abda-99cb1376a01d;689696975;10;1;30;15688285;0;2025-09-29;2025-09-29;2079-06-06;1;0
111804695;27472576;69ed593c-5c20-4e8e-9b8a-f98eec3b0fcf;689696976;17;1;30;15688370;0;2025-09-29;2025-09-29;2079-06-06;1;0
111804696;27473130;6e146e61-3be4-4e8f-8e0d-009e1dc931ac;689696977;14;1;30;15688637;0;2025-09-29;2025-09-29;2079-06-06;1;0
