CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689632937;25924284;40b51835-d04c-4a61-900c-042fd5b45f6b;20;27407838;2025-09-29
689632983;65827677;33549e70-b9e4-4ce0-a4e9-0910fefde3cd;55;27407849;2025-09-29
689632985;65827928;e507e9da-40b4-4aa9-9904-d696f20122f4;55;27407849;2025-09-29
689632987;65825364;2e61fd76-f926-4d0b-8eef-c4fb598cdbc0;55;27407849;2025-09-29
689635043;174914197;3b6e799d-8a1a-48e0-ae98-965419c47f9a;10;27408328;2025-09-29
689635054;174914203;7a2f8a2b-bd97-4cdf-b289-ae2f062eb019;10;27408334;2025-09-29
689637255;22222407;5a3c4919-ef53-402e-824c-d5dc6d91f0dd;20;27408774;2025-09-29
689637286;22251493;965a0af2-4dfe-4191-94f5-e15d39a5e49c;20;27408793;2025-09-29
689637351;44138434;c99f17e1-ef08-4c92-9ce7-e3ebc46c6e6f;30;27408823;2025-09-29
689637494;22271325;6a65f19c-2d11-4d69-b5a3-4b0d22a8b7da;20;27408856;2025-09-29
689637550;22220760;ff62991b-ff00-4652-b486-b01ecc73909f;20;27408881;2025-09-29
689640321;174917157;cb9ab3cc-3bf5-4476-ae59-0a98577a0cef;10;27409445;2025-09-29
689640734;174917362;1d97da7f-e8ea-4824-95f0-a9a19e3fe52c;10;27409503;2025-09-29
689646251;86587935;9d8dd053-1fea-450a-9818-02261a1158d0;30;27410393;2025-09-29
689646354;174920136;78e1806d-3a07-4354-9703-0e5bcff6febe;54;27410426;2025-09-29
689646686;19361926;3ec01b7f-eb50-4bdd-889d-6890415cc82f;30;27410541;2025-09-29
689646718;174920371;b38b7e31-0f7b-47fe-bd2f-cfb9363539be;10;27410553;2025-09-29
689649431;174922023;50e593d4-8f8d-4c5c-b840-521118f770c5;10;27410870;2025-09-29
689649679;65718051;9a9b3cb3-6cd6-4e70-81d0-85d981e875aa;30;27410958;2025-09-29
689649885;12494214;874feaca-f551-4843-89b8-f8043b06c854;20;27411023;2025-09-29
689652841;174924334;8f78f8fc-a3de-47c2-83ce-07483a9fb712;10;27411262;2025-09-29
689652962;174924413;fa78db45-2856-40c6-b80c-f724a463ea55;10;27411305;2025-09-29
