ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1598982929;88726654;642087678;689635052;8;18:08:019003:3903;2025-09-29;2025-03-05;2025-09-29
1644415403;88726654;689635052;0;13;945160000001206000010770000000020;2025-09-29;2025-09-29;2079-06-06
1644433341;174917059;689640078;0;2;1800;2025-09-29;2025-09-29;2079-06-06
1644433343;174917059;689640078;0;4;1838;2025-09-29;2025-09-29;2079-06-06
1644433345;174917059;689640078;0;7;94740000001;2025-09-29;2025-09-29;2079-06-06
1644433347;174917059;689640078;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644433349;174917059;689640078;0;21;94740000;2025-09-29;2025-09-29;2079-06-06
1644433397;174917065;689640101;0;2;1800;2025-09-29;2025-09-29;2079-06-06
1644433399;174917065;689640101;0;4;1838;2025-09-29;2025-09-29;2079-06-06
1644433401;174917065;689640101;0;7;94740000001;2025-09-29;2025-09-29;2079-06-06
1644433403;174917065;689640101;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644433405;174917065;689640101;0;21;94740000;2025-09-29;2025-09-29;2079-06-06
1644433710;174917105;689640245;0;2;1800;2025-09-29;2025-09-29;2079-06-06
1644433712;174917105;689640245;0;4;1838;2025-09-29;2025-09-29;2079-06-06
1644433714;174917105;689640245;0;7;94740000001;2025-09-29;2025-09-29;2079-06-06
1644433716;174917105;689640245;0;15;88;2025-09-29;2025-09-29;2079-06-06
1644433718;174917105;689640245;0;21;94740000;2025-09-29;2025-09-29;2079-06-06
1644434149;174917157;689640321;0;2;1800;2025-09-29;2025-09-29;2079-06-06
1644434151;174917157;689640321;0;4;1838;2025-09-29;2025-09-29;2079-06-06
1644434153;174917157;689640321;0;7;94740000001;2025-09-29;2025-09-29;2079-06-06
1644434155;174917157;689640321;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644434157;174917157;689640321;0;21;94740000;2025-09-29;2025-09-29;2079-06-06
1644434558;174917214;689640531;0;2;1800;2025-09-29;2025-09-29;2079-06-06
1644434560;174917214;689640531;0;4;1838;2025-09-29;2025-09-29;2079-06-06
1644434562;174917214;689640531;0;7;94740000001;2025-09-29;2025-09-29;2079-06-06
1644434564;174917214;689640531;0;15;11;2025-09-29;2025-09-29;2079-06-06
1644434566;174917214;689640531;0;21;94740000;2025-09-29;2025-09-29;2079-06-06
1644458602;174920317;689646645;0;1;1800;2025-09-29;2025-09-29;2079-06-06
1644458604;174920317;689646645;0;3;1828;2025-09-29;2025-09-29;2079-06-06
1644458606;174920317;689646645;0;6;94208820001;2025-09-29;2025-09-29;2079-06-06
1644458608;174920317;689646645;0;8;18:04:126006:115;2025-09-29;2025-09-29;2079-06-06
1644458610;174920317;689646645;0;13;946084201010000000210050000000000;2025-09-29;2025-09-29;2079-06-06
1644470572;174922023;689649431;0;1;1800;2025-09-29;2025-09-29;2079-06-06
1644470574;174922023;689649431;0;3;1838;2025-09-29;2025-09-29;2079-06-06
1644470576;174922023;689649431;0;6;94440000000;2025-09-29;2025-09-29;2079-06-06
1644470578;174922023;689649431;0;8;18:30:000551:16;2025-09-29;2025-09-29;2079-06-06
1644470580;174922023;689649431;0;13;947400000010000005510098000000000;2025-09-29;2025-09-29;2079-06-06
1644471075;174922080;689649526;0;1;1800;2025-09-29;2025-09-29;2079-06-06
1644471077;174922080;689649526;0;3;1838;2025-09-29;2025-09-29;2079-06-06
1644471079;174922080;689649526;0;6;94440000000;2025-09-29;2025-09-29;2079-06-06
1644471081;174922080;689649526;0;8;18:30:000530:18;2025-09-29;2025-09-29;2079-06-06
1644471083;174922080;689649526;0;13;947400000010000005510099000000000;2025-09-29;2025-09-29;2079-06-06
1644472406;174922252;689649799;0;1;1800;2025-09-29;2025-09-29;2079-06-06
1644472408;174922252;689649799;0;3;1838;2025-09-29;2025-09-29;2079-06-06
1644472410;174922252;689649799;0;6;94440000000;2025-09-29;2025-09-29;2079-06-06
1644472412;174922252;689649799;0;8;18:30:000530:5;2025-09-29;2025-09-29;2079-06-06
1644472414;174922252;689649799;0;13;947400000010000005510100000000000;2025-09-29;2025-09-29;2079-06-06
1644487347;174924503;689653086;0;1;1800;2025-09-29;2025-09-29;2079-06-06
1644487349;174924503;689653086;0;3;1828;2025-09-29;2025-09-29;2079-06-06
1644487351;174924503;689653086;0;6;94208820001;2025-09-29;2025-09-29;2079-06-06
1644487353;174924503;689653086;0;8;18:04:126009:261;2025-09-29;2025-09-29;2079-06-06
1644487355;174924503;689653086;0;13;946084201010000002210015000000000;2025-09-29;2025-09-29;2079-06-06
1644487381;174924507;689653093;0;1;1800;2025-09-29;2025-09-29;2079-06-06
1644487383;174924507;689653093;0;3;1838;2025-09-29;2025-09-29;2079-06-06
1644487385;174924507;689653093;0;6;94440000000;2025-09-29;2025-09-29;2079-06-06
1644487387;174924507;689653093;0;8;18:30:000532:38;2025-09-29;2025-09-29;2079-06-06
1644487389;174924507;689653093;0;13;947400000010000005510101000000000;2025-09-29;2025-09-29;2079-06-06
1644487664;174924537;689653149;0;1;1800;2025-09-29;2025-09-29;2079-06-06
1644487666;174924537;689653149;0;3;1838;2025-09-29;2025-09-29;2079-06-06
1644487668;174924537;689653149;0;6;94440000000;2025-09-29;2025-09-29;2079-06-06
1644487670;174924537;689653149;0;8;18:30:000381:32;2025-09-29;2025-09-29;2079-06-06
1644487672;174924537;689653149;0;13;947400000010000018910001000000000;2025-09-29;2025-09-29;2079-06-06
1644487817;174924555;689653183;0;1;1800;2025-09-29;2025-09-29;2079-06-06
1644487819;174924555;689653183;0;3;1828;2025-09-29;2025-09-29;2079-06-06
1644487821;174924555;689653183;0;6;94208820001;2025-09-29;2025-09-29;2079-06-06
1644487823;174924555;689653183;0;8;18:04:126001:915;2025-09-29;2025-09-29;2079-06-06
1644487825;174924555;689653183;0;13;946084201010000000910078000000000;2025-09-29;2025-09-29;2079-06-06
1644487893;174924563;689653199;0;1;1800;2025-09-29;2025-09-29;2079-06-06
1644487895;174924563;689653199;0;3;1828;2025-09-29;2025-09-29;2079-06-06
1644487897;174924563;689653199;0;6;94208820001;2025-09-29;2025-09-29;2079-06-06
1644487899;174924563;689653199;0;8;18:04:126001:914;2025-09-29;2025-09-29;2079-06-06
1644487901;174924563;689653199;0;13;946084201010000000910079000000000;2025-09-29;2025-09-29;2079-06-06
1644498066;174926216;689655954;0;1;1800;2025-09-29;2025-09-29;2079-06-06
1644498068;174926216;689655954;0;3;1838;2025-09-29;2025-09-29;2079-06-06
