CHANGEID;OBJECTID;ADROBJECTID;OPERTYPEID;NDOCID;CHANGEDATE
689624879;37096947;6fad7765-da1c-43bd-a5fe-0ccd19f1c37e;20;27406792;2025-09-29
689625023;78012841;49b184bd-4bc0-417a-9b21-29f1304e02f8;20;27406795;2025-09-29
689625031;43870878;45af3450-aac7-4b2c-9776-62db6a14cbcd;20;27406797;2025-09-29
689625177;43385741;e4e484e3-424c-4d2f-b783-8699f6d06613;20;27406801;2025-09-29
689625032;43379436;0c3dcd1e-627d-44fc-9c25-1dc3ed21ed2c;20;27406798;2025-09-29
689625317;19951999;f3a77a8f-cbd1-4f46-8c7e-5d9fbfe3d2b9;20;27406813;2025-09-29
689625312;61707812;3b6344f8-e837-4586-ad66-f242c01f96cb;20;27406811;2025-09-29
689625318;29007844;48299571-7756-45b0-8e05-5ac51c3c37ac;20;27406814;2025-09-29
689625325;174910638;38973b20-fd98-4717-bcf4-6d90815e9de9;10;27406815;2025-09-29
689626475;174910924;10b790d1-7818-4df1-94a2-c2bb487c271a;10;27406886;2025-09-29
689626476;84917218;3d6fbeb0-a8e6-4351-8e2b-ec0fea057638;20;27406887;2025-09-29
689626481;174910926;fcf6d757-d5bb-47d6-8d69-b5b247dcec9e;10;27406891;2025-09-29
689626482;174910927;ca684067-4a12-4205-97f3-9ea8f524fa22;10;27406892;2025-09-29
689626599;89533907;5698b875-4614-42cf-b282-191ced85ac64;20;27406904;2025-09-29
689628553;89501691;811e136b-9793-43b1-a09e-ce837af071b1;20;27407060;2025-09-29
689628557;94197732;d8dd2bee-692f-451e-95c4-e07655fecf32;20;27407064;2025-09-29
689628554;86971115;369ec264-d0e1-4441-b486-8e4b8e8c1f85;20;27407061;2025-09-29
689628558;88512587;ea65a8e6-a299-445a-8f82-a4b1d5aeaf7e;20;27407065;2025-09-29
689629075;90985285;7b9fca11-08d0-443e-8093-e9e473be6f1d;20;27407117;2025-09-29
689629523;88733680;a42ad80f-8f5b-4753-87db-7524b592a419;20;27407189;2025-09-29
689631369;174912675;048fa763-cb85-4f48-967f-3661458e75bb;10;27407538;2025-09-29
