ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1459959352;43383879;563820114;689625310;8;19:09:010114:1615;2025-09-29;2023-10-06;2025-09-29
1644383604;37096947;689624879;0;8;19:09:010109:587;2025-09-29;2025-09-29;2079-06-06
1644383792;43379436;689625032;0;8;19:09:010114:850;2025-09-29;2025-09-29;2079-06-06
1644383613;37075199;689624889;0;8;19:09:010110:412;2025-09-29;2025-09-29;2079-06-06
1644383789;78012841;689625023;0;8;19:09:010108:474;2025-09-29;2025-09-29;2079-06-06
1644383790;29574200;689625029;0;8;19:09:010109:562;2025-09-29;2025-09-29;2079-06-06
1644383791;43870878;689625031;0;8;19:09:010114:1054;2025-09-29;2025-09-29;2079-06-06
1644383793;43385235;689625033;0;8;19:09:010114:1687;2025-09-29;2025-09-29;2079-06-06
1644384223;43385741;689625177;0;8;19:09:010114:1082;2025-09-29;2025-09-29;2079-06-06
1644384814;43382917;689625309;0;8;19:09:010114:1050;2025-09-29;2025-09-29;2079-06-06
1644384822;19951999;689625317;0;8;19:09:010114:967;2025-09-29;2025-09-29;2079-06-06
1459954317;61707812;563815079;689625312;8;19:09:010101:211;2025-09-29;2023-10-06;2025-09-29
1459954262;56963782;563815024;689625314;8;19:09:010109:1374;2025-09-29;2023-10-06;2025-09-29
1459960137;29007844;563820899;689625318;8;19:09:010115:1356;2025-09-29;2023-10-06;2025-09-29
1459954283;11075164;563815045;689625326;8;19:09:010101:220;2025-09-29;2023-10-06;2025-09-29
1644386910;174910926;689626481;0;1;1900;2025-09-29;2025-09-29;2079-06-06
1644386912;174910926;689626481;0;6;95225815003;2025-09-29;2025-09-29;2079-06-06
1644386914;174910926;689626481;0;15;45;2025-09-29;2025-09-29;2079-06-06
1644386916;174910926;689626481;0;21;95625415;2025-09-29;2025-09-29;2079-06-06
1644386926;174910928;689626483;0;2;1900;2025-09-29;2025-09-29;2079-06-06
1644386928;174910928;689626483;0;7;95625440101;2025-09-29;2025-09-29;2079-06-06
1644386930;174910928;689626483;0;13;956254401010000003320013000000000;2025-09-29;2025-09-29;2079-06-06
1644401740;174912636;689631033;0;1;1900;2025-09-29;2025-09-29;2079-06-06
1644401742;174912636;689631033;0;6;95235865001;2025-09-29;2025-09-29;2079-06-06
1644401744;174912636;689631033;0;15;1;2025-09-29;2025-09-29;2079-06-06
1644401746;174912636;689631033;0;21;95635404;2025-09-29;2025-09-29;2079-06-06
1644402061;174912675;689631369;0;2;1900;2025-09-29;2025-09-29;2079-06-06
1644402063;174912675;689631369;0;7;95625408116;2025-09-29;2025-09-29;2079-06-06
1644402065;174912675;689631369;0;13;956254081160000000320011000000000;2025-09-29;2025-09-29;2079-06-06
1644526599;6920364;689668944;0;8;19:06:010302:70;2025-09-29;2025-09-29;2079-06-06
1644641984;174945970;689702881;0;1;1900;2025-09-30;2025-09-30;2079-06-06
1644641986;174945970;689702881;0;6;95230845002;2025-09-30;2025-09-30;2079-06-06
1644641988;174945970;689702881;0;15;14;2025-09-30;2025-09-30;2079-06-06
1644641990;174945970;689702881;0;21;95630445;2025-09-30;2025-09-30;2079-06-06
1644648216;37043159;689704485;0;8;19:09:010110:430;2025-09-30;2025-09-30;2079-06-06
1644649834;174947094;689704823;0;1;1900;2025-09-30;2025-09-30;2079-06-06
1644649836;174947094;689704823;0;6;95205805002;2025-09-30;2025-09-30;2079-06-06
1644649838;174947094;689704823;0;8;19:04:070201:101;2025-09-30;2025-09-30;2079-06-06
1644649840;174947094;689704823;0;13;956054051060000000130265000000000;2025-09-30;2025-09-30;2079-06-06
1459959271;37077406;563820033;689704922;8;19:09:010110:1310;2025-09-30;2023-10-06;2025-09-30
1644650245;37077406;689704922;0;13;957020000010000001620001000000010;2025-09-30;2025-09-30;2079-06-06
1644650306;13609793;689704935;0;8;19:09:010103:714;2025-09-30;2025-09-30;2079-06-06
1459954780;11086656;563815542;689704948;8;19:09:010103:3564;2025-09-30;2023-10-06;2025-09-30
1644650391;11086656;689704948;0;13;957020000010000009320019000000010;2025-09-30;2025-09-30;2079-06-06
1644654258;174947634;689705850;0;2;1900;2025-09-30;2025-09-30;2079-06-06
1644654260;174947634;689705850;0;7;95715000001;2025-09-30;2025-09-30;2079-06-06
1644654262;174947634;689705850;0;13;957150000010000018220121000000000;2025-09-30;2025-09-30;2079-06-06
1644654281;174947637;689705854;0;1;1900;2025-09-30;2025-09-30;2079-06-06
1644654283;174947637;689705854;0;6;95415000000;2025-09-30;2025-09-30;2079-06-06
1644654285;174947637;689705854;0;15;305;2025-09-30;2025-09-30;2079-06-06
1644654287;174947637;689705854;0;21;95715000;2025-09-30;2025-09-30;2079-06-06
1644654325;174947648;689705866;0;2;1900;2025-09-30;2025-09-30;2079-06-06
1644654327;174947648;689705866;0;7;95715000001;2025-09-30;2025-09-30;2079-06-06
1644654329;174947648;689705866;0;13;957150000010000088620306000000000;2025-09-30;2025-09-30;2079-06-06
1644654363;174947653;689705872;0;1;1900;2025-09-30;2025-09-30;2079-06-06
1644654365;174947653;689705872;0;6;95235825001;2025-09-30;2025-09-30;2079-06-06
1644654367;174947653;689705872;0;15;5;2025-09-30;2025-09-30;2079-06-06
1644654369;174947653;689705872;0;21;95635425;2025-09-30;2025-09-30;2079-06-06
1644654341;174947650;689705869;0;7;95635425101;2025-09-30;2025-09-30;2079-06-06
1644654343;174947650;689705869;0;2;1900;2025-09-30;2025-09-30;2079-06-06
1644654345;174947650;689705869;0;13;956354251010000001330004000000000;2025-09-30;2025-09-30;2079-06-06
1644654402;174947658;689705879;0;1;1900;2025-09-30;2025-09-30;2079-06-06
1644654404;174947658;689705879;0;6;95235825001;2025-09-30;2025-09-30;2079-06-06
1644654406;174947658;689705879;0;15;6;2025-09-30;2025-09-30;2079-06-06
1644654408;174947658;689705879;0;21;95635425;2025-09-30;2025-09-30;2079-06-06
1644654395;174947657;689705876;0;2;1900;2025-09-30;2025-09-30;2079-06-06
1644654397;174947657;689705876;0;7;95715000001;2025-09-30;2025-09-30;2079-06-06
1644654399;174947657;689705876;0;13;957150000010000009620466000000000;2025-09-30;2025-09-30;2079-06-06
402778894;72024218;107254062;689707632;8;19:05:070401:1;2025-09-30;2017-07-12;2025-09-30
402739660;72015792;107242540;689707616;8;19:05:070401:12;2025-09-30;2017-07-12;2025-09-30
402800377;72027826;107259463;689708426;8;19:05:070401:18;2025-09-30;2017-07-12;2025-09-30
402763461;72021161;107249724;689708430;8;19:05:070401:43;2025-09-30;2017-07-12;2025-09-30
1644674522;174949995;689710106;0;1;1900;2025-09-30;2025-09-30;2079-06-06
1644674524;174949995;689710106;0;6;95408559000;2025-09-30;2025-09-30;2079-06-06
1644674526;174949995;689710106;0;8;19:03:080103:3817;2025-09-30;2025-09-30;2079-06-06
1644674528;174949995;689710106;0;13;957080000610023004620010000000000;2025-09-30;2025-09-30;2079-06-06
1644701020;174952648;689717858;0;1;1900;2025-09-30;2025-09-30;2079-06-06
1644701022;174952648;689717858;0;6;95408559000;2025-09-30;2025-09-30;2079-06-06
