OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
72780875;c5275738-bb2e-43e2-9154-c97ebdba46ef;689725813;0;10;2016-03-03;2025-09-30
72759269;da82f7e4-eafd-416b-9e1c-385f0e79abfa;689725827;0;10;2016-03-03;2025-09-30
6395386;ce4cc304-f4a6-452c-ab45-09a7c62fa663;689636628;0;10;2017-12-17;2025-09-29
29974449;57b3681f-b2dd-4d70-99b8-22d7ed9d1e53;689636401;0;11;2017-02-19;2025-09-29
29971729;d54e79e6-666f-4aae-b911-3f4f769a8356;689636516;0;11;2017-09-13;2025-09-29
29979512;97701751-bb31-48c2-aa42-2b06fb2e3201;689636468;0;10;2019-04-29;2025-09-29
79816178;20d09d1b-ebc5-42e4-b8c2-6ba91d6084db;689806837;1;10;2018-06-25;2025-10-01
32749807;86abd857-28d7-48d8-93c3-41c0396e9073;689665926;0;11;2017-02-19;2025-09-29
89219779;4624de8c-77a9-452c-9e6a-faebb28f274b;689679568;1;9;2017-02-21;2025-09-29
33362213;6dc79bb5-c83d-41b1-abc5-13ac23f1fc7e;689638967;0;11;2019-04-08;2025-09-29
51745003;8634948a-75eb-4d3d-b4d3-f93f6859902e;689664337;0;10;2019-07-14;2025-09-29
36929135;029fde7f-9d55-4299-b6f5-98c90e0e0306;689664653;0;10;2019-10-23;2025-09-29
22401077;6134057c-ea68-4229-b520-289778ff6074;689667459;1;10;2019-07-14;2025-09-29
64759900;812a4c49-643d-495d-b38c-53fa10494d24;689638654;1;10;2019-12-14;2025-09-29
72612856;e53932ef-5643-4553-9726-d9541c2e0f9e;689737677;1;10;2019-12-14;2025-09-30
43564330;d3dbb35e-7bea-4008-b6bc-9863a3e425bf;689638971;0;11;2019-04-08;2025-09-29
88170070;c4da6ccc-c4db-4ff2-a577-cc0eea7a93b0;689643457;1;9;2017-02-14;2025-09-29
44393636;fac31fe5-8209-4ecb-ba04-668d1cc01f1d;689709069;0;10;2018-07-20;2025-09-30
45545006;8b0a5437-66ea-4d2a-8aeb-26d0ad29824a;689757106;0;10;2017-02-21;2025-09-30
45546517;7dafa1c4-6080-40f9-a168-57f699649b61;689757108;0;10;2017-02-21;2025-09-30
45555121;77da1d79-0136-4358-a44c-a167c7affb9c;689757118;0;10;2017-02-21;2025-09-30
45551897;d7b230cb-ef7a-4c46-aa4a-87b2d6784689;689757113;0;10;2017-02-21;2025-09-30
45557124;a53e3e96-4d23-4e10-ab0d-c232f2e4c54c;689757121;0;10;2017-02-21;2025-09-30
55536157;7cf7e0f2-8ff9-4c24-98f8-4233bdcb760b;689730069;0;10;2017-02-21;2025-09-30
45810419;82f771d8-4a69-4739-bae8-574326253578;689751448;1;10;2018-11-26;2025-09-30
84668966;d30f2640-1283-475d-a040-3d01d97e6fff;689754754;1;9;2018-10-20;2025-09-30
47711949;d14c47fd-451b-46f6-a17c-c7efb1503206;689694114;1;10;2019-05-29;2025-09-29
72790708;020f28ed-b9f1-42b7-a95c-df6bf79b17fd;689725817;0;10;2016-03-03;2025-09-30
49578071;35c5221b-2f04-4326-8cd5-efc76b58d4ae;689666944;0;10;2019-07-14;2025-09-29
49720608;9dee8401-e13c-4510-b075-c0bebb66bd89;689636623;0;10;2019-06-24;2025-09-29
49927356;04f2c5c3-4891-4473-85f0-91204b2203dc;689755913;0;11;2020-01-06;2025-09-30
49927744;16be22db-82c1-47d7-8785-af7e49762b6d;689755915;0;11;2020-01-06;2025-09-30
51082032;2f4a09f0-af31-44a3-aaee-6086dd940344;689777194;0;11;2017-02-19;2025-09-30
51733991;614dcb6c-7852-4ff2-ac9f-078f0207d795;689664282;0;11;2017-02-19;2025-09-29
51735572;e3ea1b5c-f4b6-4917-86da-4a07bcf8bade;689664191;0;11;2017-02-19;2025-09-29
51907784;95dc11e9-386c-4d5a-b77f-556a9798aba0;689734970;0;11;2017-02-10;2025-09-30
51913780;c2dd9f3d-973b-4171-b6e7-637b25afbfe7;689735099;0;11;2017-02-10;2025-09-30
53317711;992d9305-9716-471c-b83e-996f21f6acad;689777269;0;10;2019-07-29;2025-09-30
90429488;4ddf9cf3-6633-4a44-8052-59abb618b818;689679571;1;9;2017-02-20;2025-09-29
54714320;536baeae-6ff6-4d5f-8cd8-cddb4503819b;689638676;0;11;2019-04-08;2025-09-29
72778931;dc75f2b9-7c5a-4af5-830c-b44ca3885c45;689725832;0;10;2016-03-04;2025-09-30
55550878;e49228c7-8d16-4a4e-b890-fc1e4214d8b4;689730075;0;10;2017-02-21;2025-09-30
56564609;74c3d936-6648-4feb-90fe-ba2149e0c87e;689709463;0;10;2019-07-14;2025-09-30
56964455;921bf32c-1593-4d78-8594-0c4cfdf0fbb7;689649937;0;10;2017-12-17;2025-09-29
56968060;2325c617-ba8e-4d6d-ab73-bfebf84617ec;689649946;0;10;2017-11-23;2025-09-29
58121485;dc471c44-766d-4f4e-a5fc-17e6bf34f1e2;689743537;0;10;2012-03-16;2025-09-30
59776173;30b304ac-d6bb-4197-aadb-a821162855a8;689669163;0;10;2019-07-14;2025-09-29
97203775;da5154d6-fc22-44e4-b092-043f0ae77fb0;689786731;0;10;2020-06-18;2025-10-01
59867586;2679c196-8ebf-4183-9030-018158a4d50c;689672385;0;11;2019-07-19;2025-09-29
40471398;4f906b7f-ffda-4b34-b538-c07394ff6236;689786737;0;10;2019-07-29;2025-10-01
35604937;929d13e1-9b6c-4648-bfc8-7fbbcbc003c0;689737714;1;10;2019-07-14;2025-09-30
62682678;c9011ea6-823c-464a-912c-9b1ac443ba7f;689636594;0;10;2017-02-15;2025-09-29
63820576;e17923f1-0cce-4042-99e0-59e8a833ed00;689790610;1;11;2017-12-01;2025-10-01
65888362;a8dcc9c2-edc3-43ad-8436-8487836e6fdb;689730214;0;10;2019-06-22;2025-09-30
76319197;db9bfbe3-01ed-465e-8c5f-38ec0bce309f;689756900;0;10;2016-03-05;2025-09-30
72757604;1e601f6b-4dae-43a4-9364-26cda89797cb;689725825;0;10;2016-03-04;2025-09-30
72758411;120d1ec5-69ac-4c30-9dfb-36f4fe2e6896;689725826;0;10;2016-03-03;2025-09-30
54809193;40c228f1-f593-4f65-810a-314b2245f20d;689638670;1;10;2019-05-31;2025-09-29
85727728;fe1b2dfe-a4eb-4758-8209-48c40fe0fa09;689638672;1;9;2017-02-24;2025-09-29
68818876;bbdade47-766b-427f-baed-4766c42530f8;689668784;0;10;2019-07-14;2025-09-29
68830703;4da20cfd-d33e-465d-8066-e757f69153c0;689668791;0;10;2019-07-14;2025-09-29
8757129;d417b358-cc1c-43da-b0d6-d2db63d06da1;689742739;1;10;2019-05-31;2025-09-30
70163801;2be2b206-dfc2-40e2-9b20-7583cb4742dd;689755970;0;11;2020-01-06;2025-09-30
58164238;f1bbeaed-f008-4904-90ad-445dbfac9102;689743539;0;10;2019-04-26;2025-09-30
71800015;331e7016-e8a1-40a8-be8a-68beee4a0c40;689652953;0;10;2019-06-24;2025-09-29
72617439;b298e93c-2b02-4253-829c-0f8b4a60ce7a;689737678;1;10;2017-12-17;2025-09-30
72768306;2f236b94-60e0-4198-9d17-8c7396044d11;689725809;0;10;2016-03-03;2025-09-30
