ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
7815894;14328609;48e79c6e-db13-4b1b-901d-8827708504e5;22911781;1;2;10;0;111807068;2025-09-30;2017-06-08;2025-09-30;0;0
111795928;174917813;e8547dbd-68eb-4d7d-99e7-ba9310909ac5;689642529;19;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795930;174917815;98f0cc13-3024-44e1-bb1a-fda9a2d7c751;689642531;17;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795932;174917817;a0de9b06-c587-41a4-99d6-928da63ab1f7;689642533;15;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795934;174917819;3321e0e3-b27f-4336-a1bf-fe2e880ca59e;689642535;13;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111795936;174917821;eb7008a6-e90a-41be-b6db-82e6cbaa7560;689642537;11;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796483;174920863;1e8e0b57-9d4f-47a6-90e9-ac811bd2323e;689647707;29;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796485;174920865;c76eb613-73ed-46b3-8785-9e495f491bf9;689647710;27;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796487;174920867;ec2fee8a-74a6-4aa8-a906-1c65b46a30de;689647713;25;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796489;174920869;42eff450-8982-45fa-b30b-6c609a62f8a5;689647715;23;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796491;174920871;8c9477de-4fe7-4c28-b80f-01dc60760567;689647718;21;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796503;174920883;dd0655d9-120d-4a36-955a-eea0f81a7dd2;689647739;9;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796505;174920885;66885981-1c97-4001-858a-f29793b19d42;689647742;7;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796507;174920887;8195cfe9-8bfc-423d-b6bd-f9919f227e79;689647744;5;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796509;174920889;eaa1c707-2774-419f-b3b6-56258f48090d;689647747;41;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796511;174920891;b06f9e7f-7e63-48df-9543-fe00098bce7f;689647750;43;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796516;174920896;cf767b15-4430-42ac-af81-41eee2a9bbe4;689647797;25;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796518;174920898;9dfa931e-7aef-4160-9f80-02f0ed5f01f3;689647799;18;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796520;174920900;06c4e6d0-dada-4897-b2ec-8ba040f94d01;689647801;16;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796522;174920902;8a8d269c-5744-4509-9a3d-b0de29ac9f9f;689647803;27;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796524;174920904;01d0affe-c122-4521-b596-9ad3cbb33b23;689647805;12;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796526;174920906;a63db5ac-1c3f-44f8-8a9a-bc6692084077;689647810;102;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796548;174920928;364cf678-0ff7-4c2c-b1e7-8f4026b9312b;689647851;84;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796550;174920930;ba36a92f-17ce-487a-904b-07cbc4e201f8;689647853;88;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796552;174920932;d9144c91-6058-4479-bf6a-f33d1ca5cd0d;689647855;80;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796554;174920934;f92fec36-2d97-45a0-9264-2117d4193763;689647857;78;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796556;174920936;fdb9ff80-ffa1-479c-9e86-d7b320eb64f6;689647859;76;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796493;174920873;de36446b-8269-405f-abb3-25d14f11cb53;689647724;39;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796495;174920875;98544dae-ebef-43b6-977f-f74bab0d3d43;689647727;37;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796497;174920877;91ba4680-974b-4a1d-b5fc-4241939a1aec;689647729;35;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796499;174920879;62f90c9a-9a57-4b03-bd54-bd5bedbbd208;689647732;33;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796501;174920881;30b4fa8e-5420-4969-b585-9a76dfc86ee7;689647734;31;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796512;174920892;f6109efb-1d21-4a06-9132-2b6168eebc70;689647752;3;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796514;174920894;9005922e-18c8-4f63-b641-ff683f554e1c;689647755;1;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
111796529;174920909;4039d0da-1001-4809-a0d6-880aa911884f;689647823;6;1;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
