ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644438756;174917812;689642528;0;8;21:01:030702:1939;2025-09-29;2025-09-29;2079-06-06
1644438758;174917812;689642528;0;13;977010000010000060540007000100000;2025-09-29;2025-09-29;2079-06-06
1644438760;174917813;689642529;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644438762;174917814;689642530;0;8;21:01:030702:1919;2025-09-29;2025-09-29;2079-06-06
1644438764;174917814;689642530;0;13;977010000010000060540007000300000;2025-09-29;2025-09-29;2079-06-06
1644438766;174917815;689642531;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644438768;174917816;689642532;0;8;21:01:030702:1837;2025-09-29;2025-09-29;2079-06-06
1644438770;174917816;689642532;0;13;977010000010000060540007000500000;2025-09-29;2025-09-29;2079-06-06
1644438772;174917817;689642533;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644438774;174917818;689642534;0;8;21:01:030702:2078;2025-09-29;2025-09-29;2079-06-06
1644438776;174917818;689642534;0;13;977010000010000060540007000700000;2025-09-29;2025-09-29;2079-06-06
1644438778;174917819;689642535;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644438780;174917820;689642536;0;8;21:01:030702:2033;2025-09-29;2025-09-29;2079-06-06
1644438782;174917820;689642536;0;13;977010000010000060540007000900000;2025-09-29;2025-09-29;2079-06-06
1644438784;174917821;689642537;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644438804;174917824;689642541;0;8;21:01:030703:2114;2025-09-29;2025-09-29;2079-06-06
1644438806;174917824;689642541;0;13;977010000010000060540011000100000;2025-09-29;2025-09-29;2079-06-06
1644449276;23743500;689644979;0;8;21:01:030702:2544;2025-09-29;2025-09-29;2079-06-06
1644449279;23744007;689644983;0;8;21:01:030702:2547;2025-09-29;2025-09-29;2079-06-06
1644449283;23740413;689644987;0;8;21:01:030702:2551;2025-09-29;2025-09-29;2079-06-06
1644449302;23744325;689645007;0;8;21:01:030702:2609;2025-09-29;2025-09-29;2079-06-06
1644449277;23741999;689644980;0;8;21:01:030702:2545;2025-09-29;2025-09-29;2079-06-06
1644449282;23738971;689644986;0;8;21:01:030702:2550;2025-09-29;2025-09-29;2079-06-06
1644449287;23732074;689644992;0;8;21:01:030702:2553;2025-09-29;2025-09-29;2079-06-06
1644449297;23731326;689645002;0;8;21:01:030702:2557;2025-09-29;2025-09-29;2079-06-06
1644449402;23729477;689645048;0;8;21:01:030702:2615;2025-09-29;2025-09-29;2079-06-06
1644462911;174920873;689647724;0;15;21;2025-09-29;2025-09-29;2079-06-06
1644462913;174920874;689647725;0;8;21:01:030702:2006;2025-09-29;2025-09-29;2079-06-06
1644462916;174920874;689647725;0;13;977010000010000060540007002200000;2025-09-29;2025-09-29;2079-06-06
1644462918;174920875;689647727;0;15;23;2025-09-29;2025-09-29;2079-06-06
1644462920;174920876;689647728;0;8;21:01:030702:1847;2025-09-29;2025-09-29;2079-06-06
1644462922;174920876;689647728;0;13;977010000010000060540007002400000;2025-09-29;2025-09-29;2079-06-06
1644462924;174920877;689647729;0;15;25;2025-09-29;2025-09-29;2079-06-06
