ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
54655763;41615143;2e3946d8-c544-4639-892a-ab338a222497;62923317;14;3;20;24872987;129180446;2025-09-30;2014-01-10;2025-09-30;0;0
54861777;13376350;3122d53a-10c1-4d5d-86d9-09980ec110d1;21473620;39;3;20;7321632;129183436;2025-09-30;2017-04-15;2025-09-30;0;0
55293517;13409189;373a10ec-0c67-443a-9334-fcd046e6bd96;21525443;21;3;20;7345620;129183252;2025-09-30;2017-04-15;2025-09-30;0;0
55359679;32389884;382c0d5b-c9a7-4896-9543-356dc958702d;49439511;98;2;20;19223619;129174267;2025-09-29;2014-01-10;2025-09-29;0;0
56477271;13383430;47f1cbca-bcf6-47f8-be76-37d06a06e57b;21485056;26;3;20;7327123;129183288;2025-09-30;2017-04-15;2025-09-30;0;0
56542778;24318183;48df93c7-72fb-4535-b761-2ab0a6c4efa3;37698463;39;3;20;14354680;129183106;2025-09-30;2014-01-10;2025-09-30;0;0
57012490;65948673;4f835a70-724e-4cbd-b79d-fe1beacbd712;98359516;1;3;20;39706457;129191581;2025-10-01;2013-01-09;2025-10-01;0;0
57043418;13382554;4ff2f40e-9d7c-43e9-806b-34890efdb79e;21483698;30;3;20;7326432;129183323;2025-09-30;2017-04-15;2025-09-30;0;0
57111760;13392111;50e95c39-5d0a-46a2-914d-6f6a33eaaf4a;21499811;14;3;20;7333669;129183183;2025-09-30;2017-04-15;2025-09-30;0;0
57193116;41528287;520bc860-9f51-4280-ba7e-419325fd77af;62792474;12;3;20;24816622;129180442;2025-09-30;2014-01-10;2025-09-30;0;0
57311612;61139156;53ba8607-a649-4fc8-9797-df68aa1c4dfc;91305306;25;3;20;36689546;129178103;2025-09-30;2014-02-13;2025-09-30;0;0
57560983;13397921;5742232a-e6c6-4086-aafc-7b5ef601fa34;21507489;22;3;20;7337500;129183259;2025-09-30;2017-04-15;2025-09-30;0;0
57841271;13407419;5b33144f-e5fb-4235-a260-e103cb575dbb;21523476;49;3;20;7344521;129183516;2025-09-30;2017-04-15;2025-09-30;0;0
58039771;13401770;5e01fbe4-ae7f-4306-bdb0-8df5ccc3fe81;21513590;23;3;20;7340393;129183263;2025-09-30;2017-04-15;2025-09-30;0;0
58066082;13373969;5e5dfda4-ded3-4c16-938f-019a06c4e82c;21469943;27;3;20;7319612;129183296;2025-09-30;2017-04-15;2025-09-30;0;0
58362928;41619899;628f426e-3911-4e0a-b12d-d223b83f8d6a;62929871;9;3;20;24876213;129179756;2025-09-30;2014-01-10;2025-09-30;0;0
58618272;13404507;6625a8ba-fdc4-450d-ba66-adfb82f1ac03;21517882;60;3;20;7342296;129189600;2025-10-01;2017-04-15;2025-10-01;0;0
58753291;13406687;6812ed28-de94-48dc-834a-c836ea9ea40c;21521695;17;3;20;7343850;129183213;2025-09-30;2017-04-15;2025-09-30;0;0
58988461;83393758;6b63fec7-d35f-4b21-a28e-e2bb62b2f135;123877146;2;3;20;50472099;129182550;2025-09-30;2014-01-10;2025-09-30;0;0
59179238;7744628;6e1583da-9812-473b-abba-3341d4f3f2f3;13219613;37;2;20;3843288;129175001;2025-09-29;2014-01-10;2025-09-29;0;0
59509936;41511180;72c07b1c-1a0b-4d4c-bf32-280738265369;62769861;43;3;20;24809452;129180908;2025-09-30;2014-01-10;2025-09-30;0;0
59699741;41611496;756eeddb-8c8b-42e4-837f-99ca3efcc4fe;62917352;41;3;20;24870737;129180893;2025-09-30;2014-01-10;2025-09-30;0;0
60137077;41609968;7b97e4d1-ca0a-45f5-a263-95f9f8b6a553;62914982;32;3;20;24870035;129180851;2025-09-30;2014-01-10;2025-09-30;0;0
60301692;41604914;7def7fec-1aa8-4be0-bc09-870eef467a43;62909843;20;3;20;24867767;129180452;2025-09-30;2014-01-10;2025-09-30;0;0
60972859;18531463;8766f914-5ff8-4dca-b421-d5ca66b04ee5;29152192;20;3;20;10684042;129189295;2025-10-01;2014-01-10;2025-10-01;0;0
61173397;61136607;8a3b3954-7167-45f1-8b71-aa817a9930ce;91301576;15;3;20;36688031;129177910;2025-09-30;2014-02-13;2025-09-30;0;0
61544384;13408829;8f75f2ca-c4ca-4e86-8177-fc5a08e92c62;21524935;46;3;20;7345247;129183496;2025-09-30;2017-04-15;2025-09-30;0;0
61756718;41609596;92790260-5398-462b-9eec-90d2b465f1e6;62914517;21;3;20;24869886;129180453;2025-09-30;2014-01-10;2025-09-30;0;0
62480448;66035963;9ca88848-3464-4012-b930-f04e230f4a84;98491142;22;3;20;39762266;129182912;2025-09-30;2014-01-10;2025-09-30;0;0
62611641;13402349;9e81ca8b-0fda-46af-9485-987c440cf2e7;21514602;48;3;20;7340857;129183512;2025-09-30;2017-04-15;2025-09-30;0;0
62875833;66630670;a23c1b7c-69c6-4561-86c4-17f6aaa06f23;99371089;4;3;20;40128391;129173848;2025-09-29;2014-01-10;2025-09-29;0;0
64261924;61137920;b5d2885a-341b-45b0-87d7-cf20b3954d3c;91304048;9;3;20;36688803;129177859;2025-09-30;2014-02-13;2025-09-30;0;0
64448085;37480792;b87110db-386f-40f2-9fcd-0bfe891736eb;56866792;22;3;20;22363787;129183188;2025-09-30;2014-01-10;2025-09-30;0;0
64556142;41420022;b9f6c148-6ed9-4546-a71a-fae2b8df83ab;62634586;13;3;20;24753534;129180444;2025-09-30;2014-01-10;2025-09-30;0;0
64775055;41604210;bd124093-2e72-45fc-9298-8506939e38b2;62907362;46;3;20;24867342;129182560;2025-09-30;2014-01-10;2025-09-30;0;0
65068252;41510436;c130a76f-d42d-4162-ac3e-0d7ad1d013d2;62767955;39;3;20;24808904;129180858;2025-09-30;2014-01-10;2025-09-30;0;0
65245906;77760791;c3b7cc14-62f4-450c-9809-701c12520f97;115614554;15;3;20;46976652;129171316;2025-09-29;2014-01-10;2025-09-29;0;0
66045894;41620932;cf03af6f-142f-4677-be3a-d52af4b75996;62931013;8;3;20;24876786;129179649;2025-09-30;2014-01-10;2025-09-30;0;0
66281032;41603537;d255f7bd-1234-4c28-82bf-8189d7b19933;62906193;11;3;20;24867009;129180441;2025-09-30;2014-01-10;2025-09-30;0;0
66675790;41512905;d7e96b70-9d15-4550-b374-2aab86786961;62775403;25;3;20;24811430;129180461;2025-09-30;2014-01-10;2025-09-30;0;0
66888078;83228018;dae834b7-7770-4f6a-997a-73a218a0839f;123632442;50;3;20;50370716;129191562;2025-10-01;2014-01-10;2025-10-01;0;0
66941593;66790245;dbab011e-bdbb-4dbe-950d-e8ac2e656c13;99608099;19;3;20;40230773;129183309;2025-09-30;2014-01-10;2025-09-30;0;0
67113163;30620428;de15d8c7-df20-4506-a30f-47357a309c0b;46881882;18;2;20;18166094;129174023;2025-09-29;2014-01-10;2025-09-29;0;0
67194497;41616552;df4063fb-0a4e-46e4-a1de-b9fe88894f8d;62925164;53;3;20;24873894;129182577;2025-09-30;2014-01-10;2025-09-30;0;0
67788917;44496597;e7a77217-74f9-4d49-9d44-cad82ba05610;67081776;28;3;20;26576397;129189292;2025-10-01;2014-01-10;2025-10-01;0;0
68182381;65743723;ed33ba92-8328-49b5-9968-b04369c71e0d;98055262;9;3;20;39578173;129189640;2025-10-01;2017-04-15;2025-10-01;0;0
68444641;13404979;f0e2c5e0-8282-408c-bf95-b57977c34b93;21518558;47;3;20;7342723;129183505;2025-09-30;2017-04-15;2025-09-30;0;0
68594278;41518971;f30576ff-4295-470f-aaf9-3ff7f67b56ab;62781849;4;3;20;24814932;129180433;2025-09-30;2014-01-10;2025-09-30;0;0
68742870;41517934;f51c1062-7c14-4cd1-bb66-3a8ba845bdde;62779832;35;3;20;24814405;129180855;2025-09-30;2014-01-10;2025-09-30;0;0
68921588;13393100;f7a47069-0012-4b4e-8864-78fd3cc0ccab;21500760;65;3;20;7334399;129189639;2025-10-01;2017-04-15;2025-10-01;0;0
69110853;41530911;fa4d7961-735b-436c-8de0-5d190509bd1f;62796385;16;3;20;24819273;129180448;2025-09-30;2014-01-10;2025-09-30;0;0
4153124;8239820;2df4b9c7-6510-44b2-aa64-ef7a75cf1397;13946378;2;2;10;0;129172858;2025-09-29;1972-11-10;2025-09-29;0;0
5466773;10424482;749fca35-05bc-4e7e-bde4-21b835b3d88a;17120125;8;3;10;0;129174048;2025-09-29;2016-11-28;2025-09-29;0;0
55518185;41618584;3a6778f0-808e-42d4-b37f-c358b8e80e30;62928446;23;3;20;24875356;129180456;2025-09-30;2014-01-10;2025-09-30;0;0
11105652;19209800;6c75a15e-1094-446d-9c10-c84090d553ec;30150854;31;2;20;11103870;129189651;2025-10-01;2017-10-20;2025-10-01;0;0
63748092;41509013;ae8fa44c-b8ce-4853-82b2-0bb23817baa4;62767559;37;3;20;24808248;129180644;2025-09-30;2014-01-10;2025-09-30;0;0
32524980;54431577;5badc441-c319-4e37-b1d7-1953a6b08043;81456076;5;3;10;0;129173889;2025-09-29;1900-01-01;2025-09-29;0;0
36696768;61149456;4feead53-0b6e-44e3-9698-5ffcd248dffe;91320765;7;3;10;0;129177837;2025-09-30;2016-11-28;2025-09-30;0;0
45466522;75313687;c175e5da-e676-4f8d-82a2-af4cf308882e;112046884;9;3;10;0;129189650;2025-10-01;2003-11-25;2025-10-01;0;0
51514298;13381938;01e28cce-ec55-4b87-96a2-29c0ee5d595b;21482387;53;3;20;7325870;129183532;2025-09-30;2017-04-15;2025-09-30;0;0
51716079;56335154;04b85b53-bfd9-4c04-b837-5cf9ed72abac;84254137;32;3;20;33705623;129189655;2025-10-01;2014-01-10;2025-10-01;0;0
52342286;41613384;0d8e1992-b58a-43be-8bc2-a3bdbe2a235d;62920724;7;3;20;24871686;129179629;2025-09-30;2014-01-10;2025-09-30;0;0
52429085;41512258;0ec91411-976e-4a7d-a401-2929e3e9caf7;62770855;31;3;20;24810333;129180597;2025-09-30;2014-01-10;2025-09-30;0;0
53161212;61126267;192015fb-4121-4899-8d7b-23c27f11da02;91285402;5;3;20;36680415;129177818;2025-09-30;2014-02-13;2025-09-30;0;0
53261030;41623454;1a8c1cad-febc-4552-9e93-e138a0fb7316;62936056;45;3;20;24878035;129182558;2025-09-30;2014-01-10;2025-09-30;0;0
53879104;41517086;23483413-5b06-4736-afc0-3562eebd76de;62778065;24;3;20;24813901;129180457;2025-09-30;2014-01-10;2025-09-30;0;0
54034242;1505572;25745552-3e97-40ea-bbfb-4c36331cc980;4130976;25;3;20;33967;129189815;2025-10-01;2014-01-10;2025-10-01;0;0
54188566;13401626;27a5b54f-fa60-4180-9ca4-8cfe3bac9eec;21513283;20;3;20;7340280;129183244;2025-09-30;2017-04-15;2025-09-30;0;0
129118780;174763492;54001c0e-cc83-457e-b98d-9d691765bee8;689271259;21;2;10;0;129183428;2025-09-30;2025-09-22;2025-09-30;0;0
129168676;174923604;ec65e652-4497-4e9f-a1c0-a82d80102b48;689651837;7;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168751;174923784;93d0c524-938f-4a3c-90f2-de939355d46a;689652031;9/27;4;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168786;174923845;1eba5e94-0888-41e9-bc7c-15ec34c13433;689652155;21А;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168767;174923803;e7832012-0b4b-45d3-922c-4b80ba7e84e8;689652052;31;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168788;15162903;91ca01be-d7ba-423a-82f4-b94a16b9f962;689652189;50;2;20;61709230;;2025-09-29;2025-09-29;2079-06-06;1;1
129168913;174924716;36a9d941-3e45-4552-84f7-c41c45f6980d;689653363;15;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171307;174932891;0449997b-7d35-4851-a394-02c8aac63010;689673957;10А;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129172071;174934741;91b3bd6d-34d2-49cb-bf80-4983a8e63ab8;689678380;2;5;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
32034215;53647434;6ce9139f-1184-4be8-936d-e9d93e87e3bc;80302036;9;3;20;32034210;129172101;2025-09-29;2016-09-12;2025-09-29;0;0
