OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
13382099;d13baadb-28b8-46c4-b18d-314e37ab2d9e;689813023;1;10;2017-04-17;2025-10-01
170102691;bf95f625-be1f-4691-abf4-edc6dd954a1d;689693212;1;9;2025-02-07;2025-09-29
170116810;dcf418f8-0727-45f4-aef3-6bc7081a4ed7;689652049;1;9;2025-02-07;2025-09-29
61151639;e4aaf638-aeed-44ab-91bb-8e22a271a018;689718404;1;10;2017-04-04;2025-09-30
23596140;10bc76bb-0684-4b03-9915-dddf580a6eff;689642542;1;11;2019-07-19;2025-09-29
41601357;bbe306f2-eb09-4ab2-858e-7e5188771fed;689750371;1;10;2019-07-14;2025-09-30
13406487;0e5716c7-6cf2-4e38-9db7-c80b603c4cf2;689756341;1;10;2017-04-17;2025-09-30
170668436;42f57b2f-209b-4e0f-8178-e180dd18c039;689750389;1;9;2025-02-27;2025-09-30
13375142;41cdc528-b11e-4fe4-a7f5-0821150baa2e;689755241;1;10;2017-04-17;2025-09-30
13382554;4ff2f40e-9d7c-43e9-806b-34890efdb79e;689755299;1;10;2017-04-17;2025-09-30
13377404;9b70e5ff-6029-4bd3-8753-1221790fba28;689813132;1;10;2017-04-17;2025-10-01
13391590;89fe648e-af50-4ccf-96de-6eaedde8017d;689754502;1;10;2017-04-17;2025-09-30
13402177;ede9dee9-9d17-4551-86fe-907bd3795f70;689754800;1;10;2017-04-17;2025-09-30
13397921;5742232a-e6c6-4086-aafc-7b5ef601fa34;689754941;1;10;2017-04-17;2025-09-30
13385782;b411377a-6f02-4955-a5cf-521f018a98d1;689813022;1;10;2017-04-17;2025-10-01
13397685;48f9ad09-710b-43b3-a774-7a9fdb3a3584;689813125;1;10;2017-04-17;2025-10-01
13406687;6812ed28-de94-48dc-834a-c836ea9ea40c;689754763;1;10;2017-04-17;2025-09-30
65743723;ed33ba92-8328-49b5-9968-b04369c71e0d;689813145;1;10;2017-04-17;2025-10-01
10424766;6c8f0e0d-5230-4ae8-93c8-2de42bc588e7;689688752;1;10;2016-11-29;2025-09-29
61126832;47b20fe9-6813-41c2-9100-2f73392f8247;689718588;1;10;2019-07-14;2025-09-30
61137920;b5d2885a-341b-45b0-87d7-cf20b3954d3c;689717481;1;10;2019-07-14;2025-09-30
61149456;4feead53-0b6e-44e3-9698-5ffcd248dffe;689717417;1;10;2017-04-04;2025-09-30
4073247;b2c42a62-b763-49a1-8ad1-38ca10cab922;689753306;1;10;2019-07-14;2025-09-30
41606558;dc2998a5-11fa-4fde-add7-8dadcd14e327;689736571;1;10;2019-07-14;2025-09-30
41609596;92790260-5398-462b-9eec-90d2b465f1e6;689736576;1;10;2019-07-14;2025-09-30
41615143;2e3946d8-c544-4639-892a-ab338a222497;689736529;1;10;2019-07-14;2025-09-30
41624650;9f7a6cb6-f2a4-4707-9742-e600decc07ea;689736541;1;10;2019-07-14;2025-09-30
19002843;8eeed5b1-183f-4392-969a-92c788105900;689810451;0;10;2019-09-23;2025-10-01
22441306;7c12fb36-307c-4fae-b9c1-79137443f6c7;689700419;1;10;2017-04-18;2025-09-29
50113525;29b65c60-4385-41fe-a8bc-3c8033f9f23f;689686714;1;10;2017-12-18;2025-09-29
14442611;c7ebb869-70de-43dd-b13d-32196be05648;689642989;1;10;2019-06-26;2025-09-29
34029210;09e15531-232b-4523-980d-b4349d7ce9a2;689682230;0;10;2019-07-14;2025-09-29
53647434;6ce9139f-1184-4be8-936d-e9d93e87e3bc;689678477;0;10;2017-04-24;2025-09-29
83228018;dae834b7-7770-4f6a-997a-73a218a0839f;689825270;0;10;2019-07-14;2025-10-01
47814038;b9ad4d78-ea2a-4c8b-b4ac-4a5b07ac19ef;689813911;1;10;2019-07-14;2025-10-01
162004022;051c4dcd-954b-405b-b81d-479000d4bac7;689813216;1;10;2024-01-09;2025-10-01
171525365;fefb43c8-2d45-4aa8-99cd-92b0d8bd1d31;689741569;1;9;2025-04-07;2025-09-30
170979057;472416a9-cd81-407c-a706-627023defff6;689825052;0;10;2025-03-14;2025-10-01
13387364;12d7d043-7512-47b9-afa0-6b9b85eda751;689755352;1;10;2017-04-17;2025-09-30
44496597;e7a77217-74f9-4d49-9d44-cad82ba05610;689810520;0;10;2017-12-18;2025-10-01
15162903;91ca01be-d7ba-423a-82f4-b94a16b9f962;689652189;1;10;2017-12-18;2025-09-29
19839824;50ef5fec-0448-433f-88bf-1d494f44a78c;689730375;1;10;2019-10-31;2025-09-30
19853563;c47e3e08-e359-4cd8-89e7-47bce4332296;689748821;1;10;2019-10-31;2025-09-30
13400174;1dae5dab-06f2-46cb-b89a-88a8f8401506;689756318;1;10;2017-04-17;2025-09-30
66790245;dbab011e-bdbb-4dbe-950d-e8ac2e656c13;689755232;1;10;2019-07-14;2025-09-30
66796253;1ce77409-1758-419d-a310-314e54149879;689755681;1;10;2017-09-11;2025-09-30
61144608;3af7a2a8-9ed9-45c3-b305-3093345b579d;689717961;1;10;2017-04-04;2025-09-30
77937371;9b484aa5-ec68-433d-acc3-504c64d94154;689687351;1;10;2017-04-25;2025-09-29
174763492;54001c0e-cc83-457e-b98d-9d691765bee8;689756023;0;10;2025-09-22;2025-09-30
58651965;05c3bfc4-f160-43b3-8e30-9f7f28c2e3e9;689814331;1;10;2019-07-14;2025-10-01
10432611;00847642-440c-47ee-8a95-edce7e33eef4;689691650;1;10;2018-02-14;2025-09-29
166954140;07a3f49d-b3ff-45d2-a0e7-d799c04af58e;689742144;1;9;2024-10-31;2025-09-30
41617404;dd7c1d1b-3b99-454b-a750-c0db2e2ce598;689738944;1;10;2019-07-14;2025-09-30
41612529;db8475ac-fe25-4a19-b49f-9bbad5ec03b0;689750338;1;10;2019-07-14;2025-09-30
41532868;eaf6bb53-82c0-468b-a5e3-61dc42d8c304;689739185;1;10;2019-07-14;2025-09-30
41510436;c130a76f-d42d-4162-ac3e-0d7ad1d013d2;689739023;1;10;2017-12-17;2025-09-30
41418679;a7bc8bab-9d31-459f-86f9-f505fec60328;689739012;1;10;2019-07-14;2025-09-30
13397551;e0a8769f-01ea-486b-b172-79434002a04a;689755063;1;10;2017-04-17;2025-09-30
171370118;8668f709-091d-4754-a21d-8e1dd06d73c1;689817694;1;9;2025-03-31;2025-10-01
165563221;a79dfe73-8db2-4fe7-809e-9a9feeccb17f;689750030;1;9;2024-09-24;2025-09-30
66413049;20a7048d-4bdb-41d5-ad5c-530cc77d76d3;689683283;1;10;2017-12-18;2025-09-29
