ID;OBJECTID;OBJECTGUID;CHANGEID;NUMBER;APARTTYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
104724091;157450289;89a75c7e-ab48-484b-be86-45647addcb6e;489012294;540;2;10;0;111793463;2025-09-29;2022-12-12;2025-09-29;0;0
104724093;157450291;407ce9b6-a353-4972-8a44-da3f2a796b78;489012296;545;2;10;0;111793465;2025-09-29;2022-12-12;2025-09-29;0;0
104724095;157450293;3fcf1366-6e9e-4557-a725-684b32820a02;489012298;547;2;10;0;111793467;2025-09-29;2022-12-12;2025-09-29;0;0
104724097;157450295;ec900ed8-196f-4b82-8083-3e767d818507;489012300;549;2;10;0;111793469;2025-09-29;2022-12-12;2025-09-29;0;0
104724127;157450325;3303eae3-5388-46c8-aa8d-c79714ef319f;489012330;551;2;10;0;111793471;2025-09-29;2022-12-12;2025-09-29;0;0
104724137;157450335;094e93f7-548a-4818-a93f-171f49286064;489012340;553;2;10;0;111793473;2025-09-29;2022-12-12;2025-09-29;0;0
104724154;157450352;ca21386d-62b4-46cc-86ea-fae2d2b033f7;489012357;555;2;10;0;111793475;2025-09-29;2022-12-12;2025-09-29;0;0
104724156;157450354;0fc1b221-4fd2-47af-b38c-6b001bbb37d9;489012359;557;2;10;0;111793477;2025-09-29;2022-12-12;2025-09-29;0;0
104724158;157450356;3dd6fe6f-aeca-4843-8853-555963bd1962;489012361;559;2;10;0;111793479;2025-09-29;2022-12-12;2025-09-29;0;0
104724160;157450358;ce1817be-4789-44f0-b761-ebb3cfb15d10;489012363;561;2;10;0;111793481;2025-09-29;2022-12-12;2025-09-29;0;0
104724131;157450329;9940f4a6-e3bc-4035-a8dc-5f84a4a86690;489012334;582;2;10;0;111793486;2025-09-29;2022-12-12;2025-09-29;0;0
104724149;157450347;58aa2cc4-865e-4648-8c3e-c87d0b71ebfb;489012352;580;2;10;0;111793488;2025-09-29;2022-12-12;2025-09-29;0;0
104724170;157450368;5dfed70d-f078-4d65-b44e-2826062cce81;489012373;571;2;10;0;111793501;2025-09-29;2022-12-12;2025-09-29;0;0
104724172;157450370;54376e86-1120-428f-bafe-5a654253dce6;489012375;573;2;10;0;111793503;2025-09-29;2022-12-12;2025-09-29;0;0
104724174;157450372;43f61054-d67a-40ae-9a2f-4dfb37f18a69;489012377;575;2;10;0;111793505;2025-09-29;2022-12-12;2025-09-29;0;0
104724281;157450479;820aa4c3-b37a-4284-a17f-7eb485304faa;489012484;541;2;10;0;111793482;2025-09-29;2022-12-12;2025-09-29;0;0
104724297;157450495;0f81ae56-d096-4fdb-82f8-07caf45f156c;489012500;542;2;10;0;111793484;2025-09-29;2022-12-12;2025-09-29;0;0
33152261;55752954;507d1706-dcd8-49ea-8fac-4341dd2de4a7;83399112;3;2;10;0;111791019;2025-09-29;2018-12-18;2025-09-29;0;0
33152336;55753039;c9a0cdb8-a630-4402-b53d-b410c3386ae1;83399235;1;2;10;0;111791021;2025-09-29;2018-12-18;2025-09-29;0;0
24569940;41894863;cfec8f0a-bb58-4859-9e4b-3ea2a00add33;63332907;2;2;10;0;111790991;2025-09-29;2018-07-30;2025-09-29;0;0
51308760;97407061;3ec80cc5-d597-48a3-bc68-dbea44e461a3;152866236;1;2;10;0;111790992;2025-09-29;2020-07-07;2025-09-29;0;0
33169299;55780375;8381d918-9e0d-45cc-9592-011e6835e70d;83439334;9;2;10;0;111791016;2025-09-29;2018-12-18;2025-09-29;0;0
33194121;55821037;447f915b-fbf0-45ba-85c4-f711161e2958;83498107;2;2;10;0;111791018;2025-09-29;2018-12-18;2025-09-29;0;0
111791020;55753026;a4c5fd36-7044-4de5-95db-94337f61fb50;689624109;2;2;30;33152326;0;2025-09-29;2025-09-29;2079-06-06;1;0
111791022;55813059;18fafbb8-2451-44ea-a074-fe10b3e01ace;689624122;2;2;30;33188916;0;2025-09-29;2025-09-29;2079-06-06;1;0
111791023;55813223;37fe9dc1-1e4d-44ab-aa21-21a4ce18a235;689624123;1;2;30;33189049;0;2025-09-29;2025-09-29;2079-06-06;1;0
111791024;55749120;154f24aa-d815-4350-bbd7-a7498aae8ff9;689624124;2;2;30;33150014;0;2025-09-29;2025-09-29;2079-06-06;1;0
33150026;55749137;ae7e99a8-4463-4c0e-ba9f-c5b756cd46fe;83393641;1;2;10;0;111791025;2025-09-29;2018-12-18;2025-09-29;0;0
28576429;48353064;32707902-9297-4878-9c43-bac00527edb4;72673087;1;2;10;0;111792289;2025-09-29;2017-09-15;2025-09-29;0;0
28576435;48353077;333efb15-467d-41d2-bcff-f762d96f0e6c;72673104;2;2;10;0;111792290;2025-09-29;2017-09-15;2025-09-29;0;0
111793486;157450329;9940f4a6-e3bc-4035-a8dc-5f84a4a86690;689629337;582;2;30;104724131;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793488;157450347;58aa2cc4-865e-4648-8c3e-c87d0b71ebfb;689629339;580;2;30;104724149;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793490;157450349;e34fbe58-1875-4d4e-9896-c85d34d6e54c;689629341;578;2;30;104724151;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793491;157450350;fc323e24-7d2c-49a4-9cf1-7696153d3664;689629342;577;2;30;104724152;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793492;157450359;eef3883b-cde9-46fa-aac7-4c0da7a88cd7;689629343;562;2;30;104724161;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793493;157450360;81b33216-2305-4d0a-a906-9a7ec54a42ae;689629344;563;2;30;104724162;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793494;157450361;9ef1bd4a-fae0-42e0-be15-bf010ba63a76;689629345;564;2;30;104724163;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793495;157450362;275e8a12-395f-4bdf-bf17-d3dbc1ef09f1;689629346;565;2;30;104724164;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793496;157450363;355583e3-3ac7-46d4-9b8d-0247ec3b5500;689629347;566;2;30;104724165;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793497;157450364;43fec48c-11ac-4d34-9156-8677ce3cecdf;689629348;567;2;30;104724166;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793498;157450365;779be977-fac0-45f5-a628-dbbe0812621a;689629349;568;2;30;104724167;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793499;157450366;65965da0-e529-448c-895b-80ea450b8332;689629350;569;2;30;104724168;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793500;157450367;45264c73-8a84-4e95-bcbb-75de825ec621;689629351;570;2;30;104724169;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793501;157450368;5dfed70d-f078-4d65-b44e-2826062cce81;689629352;571;2;30;104724170;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793503;157450370;54376e86-1120-428f-bafe-5a654253dce6;689629354;573;2;30;104724172;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793505;157450372;43f61054-d67a-40ae-9a2f-4dfb37f18a69;689629356;575;2;30;104724174;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793463;157450289;89a75c7e-ab48-484b-be86-45647addcb6e;689629305;540;2;30;104724091;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793465;157450291;407ce9b6-a353-4972-8a44-da3f2a796b78;689629307;545;2;30;104724093;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793467;157450293;3fcf1366-6e9e-4557-a725-684b32820a02;689629309;547;2;30;104724095;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793469;157450295;ec900ed8-196f-4b82-8083-3e767d818507;689629311;549;2;30;104724097;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793471;157450325;3303eae3-5388-46c8-aa8d-c79714ef319f;689629313;551;2;30;104724127;0;2025-09-29;2025-09-29;2079-06-06;1;0
111793473;157450335;094e93f7-548a-4818-a93f-171f49286064;689629315;553;2;30;104724137;0;2025-09-29;2025-09-29;2079-06-06;1;0
