ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1551589658;17012213;609012923;689705937;8;22:31:030803:2544;2025-09-30;2024-12-10;2025-09-30
1644454155;55818767;689645799;0;8;22:70:011059:548;2025-09-29;2025-09-29;2079-06-06
1644454110;55780575;689645790;0;8;22:70:011059:425;2025-09-29;2025-09-29;2079-06-06
1644639070;174945664;689701912;0;15;1;2025-09-30;2025-09-30;2079-06-06
1644639080;174945666;689701914;0;8;22:58:070401:151;2025-09-30;2025-09-30;2079-06-06
1644639082;174945666;689701914;0;13;016584771010000000340022000200000;2025-09-30;2025-09-30;2079-06-06
1644639582;174945725;689702014;0;13;016504551010000000540002000200000;2025-09-30;2025-09-30;2079-06-06
1644639586;174945727;689702016;0;13;016504551010000000340010000200000;2025-09-30;2025-09-30;2079-06-06
1644639590;174945729;689702018;0;13;016504551010000000540007000100000;2025-09-30;2025-09-30;2079-06-06
1644639594;174945731;689702020;0;13;016504551010000000340033000100000;2025-09-30;2025-09-30;2079-06-06
1644639580;174945724;689702013;0;13;016504551010000000340014000100000;2025-09-30;2025-09-30;2079-06-06
1644639584;174945726;689702015;0;13;016504551010000000540004000100000;2025-09-30;2025-09-30;2079-06-06
1644639588;174945728;689702017;0;13;016504551010000000340022000200000;2025-09-30;2025-09-30;2079-06-06
1644639592;174945730;689702019;0;13;016504551010000000540007000200000;2025-09-30;2025-09-30;2079-06-06
1644639596;174945732;689702021;0;13;016504551010000000540004000200000;2025-09-30;2025-09-30;2079-06-06
1644640595;40149720;689702474;0;8;22:33:011001:184;2025-09-30;2025-09-30;2079-06-06
1644640594;40166771;689702473;0;8;22:33:011001:182;2025-09-30;2025-09-30;2079-06-06
1644640598;39217175;689702477;0;8;22:33:011001:190;2025-09-30;2025-09-30;2079-06-06
1644640602;39220876;689702481;0;8;22:33:011001:123;2025-09-30;2025-09-30;2079-06-06
1398905587;46546520;507930186;689702999;8;22:21:040010:161;2025-09-30;2023-08-11;2025-09-30
1644642654;73562763;689703004;0;8;22:21:040009:92;2025-09-30;2025-09-30;2079-06-06
1644646350;174946570;689703933;0;15;157;2025-09-30;2025-09-30;2079-06-06
1644646352;174946571;689703934;0;8;22:63:010417:4470;2025-09-30;2025-09-30;2079-06-06
