ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1385397446;21767667;501957297;689624680;8;22:25:010401:105;2025-09-29;2023-05-18;2025-09-29
1464180120;65065978;567514721;689779734;8;22:02:030007:396;2025-10-01;2023-10-18;2025-10-01
778613860;103107168;232065509;689626329;8;22:67:040204:81;2025-09-29;2021-12-03;2025-09-29
848955302;83561727;289485732;689779712;8;22:09:020406:197;2025-10-01;2022-08-29;2025-10-01
1644374760;174909271;689623410;0;1;2223;2025-09-29;2025-09-29;2079-06-06
1644374762;174909271;689623410;0;3;2222;2025-09-29;2025-09-29;2079-06-06
1644374764;174909271;689623410;0;6;01401364000;2025-09-29;2025-09-29;2079-06-06
1644374766;174909271;689623410;0;15;163;2025-09-29;2025-09-29;2079-06-06
1644374768;174909271;689623410;0;21;01701000;2025-09-29;2025-09-29;2079-06-06
1644374770;174909272;689623411;0;2;2223;2025-09-29;2025-09-29;2079-06-06
1644374772;174909272;689623411;0;4;2222;2025-09-29;2025-09-29;2079-06-06
1644374774;174909272;689623411;0;7;01701000001;2025-09-29;2025-09-29;2079-06-06
1644374776;174909272;689623411;0;13;017010000000000092130164000000000;2025-09-29;2025-09-29;2079-06-06
1644374788;174909274;689623413;0;1;2223;2025-09-29;2025-09-29;2079-06-06
1644374790;174909274;689623413;0;3;2222;2025-09-29;2025-09-29;2079-06-06
1644374792;174909274;689623413;0;6;01401364000;2025-09-29;2025-09-29;2079-06-06
1644374794;174909274;689623413;0;15;165;2025-09-29;2025-09-29;2079-06-06
1644374796;174909274;689623413;0;21;01701000;2025-09-29;2025-09-29;2079-06-06
1644376607;72222894;689623624;0;8;22:32:030206:646;2025-09-29;2025-09-29;2079-06-06
1644378719;15268618;689623959;0;13;016284550000000000220007000000010;2025-09-29;2025-09-29;2079-06-06
1644378741;174909711;689623962;0;2;2208;2025-09-29;2025-09-29;2079-06-06
1644378743;174909711;689623962;0;4;2263;2025-09-29;2025-09-29;2079-06-06
1644378745;174909711;689623962;0;7;01632416116;2025-09-29;2025-09-29;2079-06-06
1644378747;174909711;689623962;0;13;016324161160000005520008000000000;2025-09-29;2025-09-29;2079-06-06
1644381249;58246580;689624260;0;8;22:32:030204:1067;2025-09-29;2025-09-29;2079-06-06
1644381253;51533656;689624264;0;8;22:32:030205:1062;2025-09-29;2025-09-29;2079-06-06
1644381252;51533576;689624263;0;8;22:32:030205:1063;2025-09-29;2025-09-29;2079-06-06
1644382513;174910145;689624678;0;1;2204;2025-09-29;2025-09-29;2079-06-06
