ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1485702999;161577680;575565121;689628597;8;22:26:040402:376;2025-09-29;2023-12-04;2025-09-29
1644374440;174909239;689623378;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374442;174909239;689623378;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374444;174909239;689623378;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
1644374446;174909239;689623378;0;8;22:13:050001:99;2025-09-29;2025-09-29;2079-06-06
1644374448;174909239;689623378;0;13;016134341010000000610004000000000;2025-09-29;2025-09-29;2079-06-06
1644374450;174909240;689623379;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374452;174909240;689623379;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374454;174909240;689623379;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
1644374456;174909240;689623379;0;8;22:13:050001:98;2025-09-29;2025-09-29;2079-06-06
1644374458;174909240;689623379;0;13;016134341010000000610005000000000;2025-09-29;2025-09-29;2079-06-06
1644374460;174909241;689623380;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374462;174909241;689623380;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374464;174909241;689623380;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
1644374466;174909241;689623380;0;8;22:13:050001:97;2025-09-29;2025-09-29;2079-06-06
1644374468;174909241;689623380;0;13;016134341010000000610006000000000;2025-09-29;2025-09-29;2079-06-06
1644374470;174909242;689623381;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374472;174909242;689623381;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374474;174909242;689623381;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
1644374476;174909242;689623381;0;8;22:13:050001:96;2025-09-29;2025-09-29;2079-06-06
1644374478;174909242;689623381;0;13;016134341010000000610007000000000;2025-09-29;2025-09-29;2079-06-06
1644374480;174909243;689623382;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374482;174909243;689623382;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374484;174909243;689623382;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
1644374486;174909243;689623382;0;8;22:13:050001:95;2025-09-29;2025-09-29;2079-06-06
1644374488;174909243;689623382;0;13;016134341010000000610008000000000;2025-09-29;2025-09-29;2079-06-06
1644374490;174909244;689623383;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374492;174909244;689623383;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374494;174909244;689623383;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
1644374496;174909244;689623383;0;8;22:13:050001:94;2025-09-29;2025-09-29;2079-06-06
1644374498;174909244;689623383;0;13;016134341010000000610009000000000;2025-09-29;2025-09-29;2079-06-06
1644374500;174909245;689623384;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374502;174909245;689623384;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374504;174909245;689623384;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
1644374506;174909245;689623384;0;8;22:13:050001:93;2025-09-29;2025-09-29;2079-06-06
1644374508;174909245;689623384;0;13;016134341010000000610010000000000;2025-09-29;2025-09-29;2079-06-06
1644374510;174909246;689623385;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374512;174909246;689623385;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374514;174909246;689623385;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
1644374516;174909246;689623385;0;8;22:13:050001:92;2025-09-29;2025-09-29;2079-06-06
1644374518;174909246;689623385;0;13;016134341010000000610011000000000;2025-09-29;2025-09-29;2079-06-06
1644374520;174909247;689623386;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374522;174909247;689623386;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374524;174909247;689623386;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
1644374526;174909247;689623386;0;8;22:13:050001:91;2025-09-29;2025-09-29;2079-06-06
1644374528;174909247;689623386;0;13;016134341010000000610012000000000;2025-09-29;2025-09-29;2079-06-06
1644374530;174909248;689623387;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374532;174909248;689623387;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374534;174909248;689623387;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
1644374536;174909248;689623387;0;8;22:13:050001:90;2025-09-29;2025-09-29;2079-06-06
1644374538;174909248;689623387;0;13;016134341010000000610013000000000;2025-09-29;2025-09-29;2079-06-06
1644374540;174909249;689623388;0;1;2208;2025-09-29;2025-09-29;2079-06-06
1644374542;174909249;689623388;0;3;2244;2025-09-29;2025-09-29;2079-06-06
1644374544;174909249;689623388;0;6;01213834001;2025-09-29;2025-09-29;2079-06-06
