ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1644425833;174915831;689638048;0;1;2365;2025-09-29;2025-09-29;2079-06-06
1644425835;174915831;689638048;0;6;03205557002;2025-09-29;2025-09-29;2079-06-06
1644425837;174915831;689638048;0;10;23004000036006600;2025-09-29;2025-09-29;2079-06-06
1644425839;174915831;689638048;0;13;036051571110000006601;2025-09-29;2025-09-29;2079-06-06
1644429607;174916648;689639216;0;1;2365;2025-09-29;2025-09-29;2079-06-06
1644429609;174916648;689639216;0;6;03432000000;2025-09-29;2025-09-29;2079-06-06
1644429611;174916648;689639216;0;10;23036001000039800;2025-09-29;2025-09-29;2079-06-06
1644429613;174916648;689639216;0;13;036551010010380000101;2025-09-29;2025-09-29;2079-06-06
1644838263;174969161;689755920;0;1;2361;2025-09-30;2025-09-30;2079-06-06
1644838265;174969161;689755920;0;3;2331;2025-09-30;2025-09-30;2079-06-06
1644838267;174969161;689755920;0;6;03216822001;2025-09-30;2025-09-30;2079-06-06
1644838269;174969161;689755920;0;10;23011000035005000;2025-09-30;2025-09-30;2079-06-06
1644838271;174969161;689755920;0;13;036164221010002000001;2025-09-30;2025-09-30;2079-06-06
1644933276;174980576;689796923;0;1;2312;2025-10-01;2025-10-01;2079-06-06
1644933278;174980576;689796923;0;6;03401975001;2025-10-01;2025-10-01;2079-06-06
1644933280;174980576;689796923;0;10;23000001041009700;2025-10-01;2025-10-01;2079-06-06
1644933282;174980576;689796923;0;13;037010002410000030101;2025-10-01;2025-10-01;2079-06-06
4799529;313423;807286;689825606;10;23000006004003903;2025-10-01;2016-09-29;2025-10-01
1645026794;313423;689825606;0;13;037200001210039000011;2025-10-01;2025-10-01;2079-06-06
