ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1641826282;174573218;688887702;689695277;15;2;2025-09-29;2025-09-10;2025-09-29
1644429029;174916564;689639119;0;15;2;2025-09-29;2025-09-29;2079-06-06
1644429031;174916565;689639120;0;8;23:33:0109001:1520;2025-09-29;2025-09-29;2079-06-06
1644429033;174916565;689639120;0;13;036554021010000000540016000300000;2025-09-29;2025-09-29;2079-06-06
1644429035;174916566;689639121;0;15;4;2025-09-29;2025-09-29;2079-06-06
1644429037;174916567;689639122;0;8;23:33:0109001:1523;2025-09-29;2025-09-29;2079-06-06
1644429039;174916567;689639122;0;13;036554021010000000540016000500000;2025-09-29;2025-09-29;2079-06-06
1644429041;174916568;689639123;0;15;6;2025-09-29;2025-09-29;2079-06-06
1644429043;174916569;689639124;0;8;23:33:0109001:1518;2025-09-29;2025-09-29;2079-06-06
1644429045;174916569;689639124;0;13;036554021010000000540016000700000;2025-09-29;2025-09-29;2079-06-06
1644429047;174916570;689639125;0;15;8;2025-09-29;2025-09-29;2079-06-06
1644429049;174916571;689639126;0;8;23:33:0109001:1516;2025-09-29;2025-09-29;2079-06-06
1644429051;174916571;689639126;0;13;036554021010000000540016000900000;2025-09-29;2025-09-29;2079-06-06
1644429053;174916572;689639127;0;15;10;2025-09-29;2025-09-29;2079-06-06
1644429055;174916573;689639128;0;8;23:33:0109001:1507;2025-09-29;2025-09-29;2079-06-06
1644429057;174916573;689639128;0;13;036554021010000000540016001100000;2025-09-29;2025-09-29;2079-06-06
1644429059;174916574;689639129;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644429061;174916575;689639130;0;8;23:33:0109001:1509;2025-09-29;2025-09-29;2079-06-06
1644429063;174916575;689639130;0;13;036554021010000000540016001300000;2025-09-29;2025-09-29;2079-06-06
1644429065;174916576;689639131;0;15;14;2025-09-29;2025-09-29;2079-06-06
1644429067;174916577;689639132;0;8;23:33:0109001:1511;2025-09-29;2025-09-29;2079-06-06
1644429069;174916577;689639132;0;13;036554021010000000540016001500000;2025-09-29;2025-09-29;2079-06-06
1644429071;174916578;689639133;0;15;16;2025-09-29;2025-09-29;2079-06-06
1644429073;174916579;689639134;0;8;23:33:0109001:1513;2025-09-29;2025-09-29;2079-06-06
1644429075;174916579;689639134;0;13;036554021010000000540016001700000;2025-09-29;2025-09-29;2079-06-06
1644429077;174916580;689639135;0;15;18;2025-09-29;2025-09-29;2079-06-06
1644429079;174916581;689639136;0;8;23:33:0109001:1535;2025-09-29;2025-09-29;2079-06-06
1644429081;174916581;689639136;0;13;036554021010000000540016001900000;2025-09-29;2025-09-29;2079-06-06
1644429083;174916582;689639137;0;15;20;2025-09-29;2025-09-29;2079-06-06
1644429085;174916583;689639138;0;8;23:33:0109001:1497;2025-09-29;2025-09-29;2079-06-06
1644429087;174916583;689639138;0;13;036554021010000000540016002100000;2025-09-29;2025-09-29;2079-06-06
1644429089;174916584;689639139;0;15;22;2025-09-29;2025-09-29;2079-06-06
1644429091;174916585;689639140;0;8;23:33:0109001:1499;2025-09-29;2025-09-29;2079-06-06
1644429093;174916585;689639140;0;13;036554021010000000540016002300000;2025-09-29;2025-09-29;2079-06-06
1644429095;174916586;689639141;0;15;24;2025-09-29;2025-09-29;2079-06-06
1644429097;174916587;689639142;0;8;23:33:0109001:1502;2025-09-29;2025-09-29;2079-06-06
1644429099;174916587;689639142;0;13;036554021010000000540016002500000;2025-09-29;2025-09-29;2079-06-06
1644429101;174916588;689639143;0;15;26;2025-09-29;2025-09-29;2079-06-06
1644429103;174916589;689639144;0;8;23:33:0109001:1504;2025-09-29;2025-09-29;2079-06-06
1644429105;174916589;689639144;0;13;036554021010000000540016002700000;2025-09-29;2025-09-29;2079-06-06
1644429107;174916590;689639145;0;15;28;2025-09-29;2025-09-29;2079-06-06
1644429109;174916591;689639146;0;8;23:33:0109001:1526;2025-09-29;2025-09-29;2079-06-06
1644429111;174916591;689639146;0;13;036554021010000000540016002900000;2025-09-29;2025-09-29;2079-06-06
1644429113;174916592;689639147;0;15;30;2025-09-29;2025-09-29;2079-06-06
1644429115;174916593;689639148;0;8;23:33:0109001:1528;2025-09-29;2025-09-29;2079-06-06
1644429117;174916593;689639148;0;13;036554021010000000540016003100000;2025-09-29;2025-09-29;2079-06-06
1644429119;174916594;689639149;0;15;32;2025-09-29;2025-09-29;2079-06-06
1644429121;174916595;689639150;0;8;23:33:0109001:1531;2025-09-29;2025-09-29;2079-06-06
1644429123;174916595;689639150;0;13;036554021010000000540016003300000;2025-09-29;2025-09-29;2079-06-06
1644429125;174916596;689639151;0;15;34;2025-09-29;2025-09-29;2079-06-06
1644429127;174916597;689639152;0;8;23:33:0109001:1495;2025-09-29;2025-09-29;2079-06-06
1644429129;174916597;689639152;0;13;036554021010000000540016003500000;2025-09-29;2025-09-29;2079-06-06
1644429131;174916598;689639153;0;15;36;2025-09-29;2025-09-29;2079-06-06
1644464652;174921187;689648219;0;8;23:42:0705022:56;2025-09-29;2025-09-29;2079-06-06
1644464654;174921187;689648219;0;13;036161011210000000640063000100000;2025-09-29;2025-09-29;2079-06-06
1644479351;174923351;689651570;0;15;1;2025-09-29;2025-09-29;2079-06-06
