ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
54856697;70169871;3112e4ad-6f24-44a1-84e0-7c46a2766cd1;104560933;52;2;20;42321831;129191459;2025-10-01;2019-09-04;2025-10-01;0;0
56390294;70162769;46bbb94c-8a73-4db7-9191-fc87ef9c1f4b;104553309;38;2;20;42318860;129191454;2025-10-01;2019-09-04;2025-10-01;0;0
57093519;9338851;50a5c0dd-fed9-4a03-9324-d148f6ccad20;15571143;147;2;20;4846715;129179432;2025-09-30;2019-09-04;2025-09-30;0;0
57533288;9476545;56dcce55-af94-4ba9-a7f1-9d6151d517da;15768204;110/1;2;20;4926784;129179431;2025-09-30;2019-09-04;2025-09-30;0;0
58038253;59262774;5dfdae5f-d62e-4f77-9b1f-1c6c3a04b666;88528301;138;2;20;35485216;129182631;2025-09-30;2017-05-04;2025-09-30;0;0
59197792;9339165;6e58b359-ae04-4baa-b9c3-0b2aa8e503f4;15571384;94;2;20;4846835;129179428;2025-09-30;2019-09-04;2025-09-30;0;0
60142053;9339819;7baad17e-d0b7-4c31-83f6-d32c8cc97198;15574538;40;2;20;4848114;129179420;2025-09-30;2019-09-04;2025-09-30;0;0
60374719;25540180;7ef1097f-da19-4d94-946a-b343309ded04;39507328;89;2;20;15126281;129166829;2025-09-29;2019-02-15;2025-09-29;0;0
62188237;70208586;98892235-dd7d-43a9-8a0a-8ee85860a6a3;104619197;104;2;20;42345535;129191464;2025-10-01;2019-09-04;2025-10-01;0;0
63136104;70069352;a5eac313-cabe-45e7-9e0b-195da659ebc3;104413018;13/1;2;20;42258980;129191463;2025-10-01;2019-09-04;2025-10-01;0;0
65270662;9421677;c41075c1-8798-4ec3-8ecb-4d90b420d871;15692479;144;2;20;4896339;129179436;2025-09-30;2019-09-04;2025-09-30;0;0
66324687;9493929;d2f4aa53-5cc4-4a1a-bd23-a5cee7bf5ada;15791679;58;2;20;4935500;129182259;2025-09-30;2019-09-04;2025-09-30;0;0
67033599;11829558;dcfacadf-0586-442c-a076-fe66acd4e3e6;19182409;23;2;20;6344748;129174097;2025-09-29;2019-02-15;2025-09-29;0;0
67946947;9323973;e9e0ca8d-002d-44ba-89b9-6b1da28715b5;15549223;153;2;20;4837455;129179441;2025-09-30;2019-09-04;2025-09-30;0;0
68243744;79988666;ee10468f-a3c5-4635-a04c-c8ffe826ef9e;118879470;20;2;20;48366166;129181512;2025-09-30;2017-06-11;2025-09-30;0;0
69869217;36613170;3ae075fc-365a-4a8f-8469-44203d9cf24f;153593452;408;2;20;55551906;129177478;2025-09-30;2020-07-16;2025-09-30;0;0
55618291;68079023;3bcf44dc-49ac-4491-a745-f3cf70bb1b7d;101486579;35;2;20;41023499;129173224;2025-09-29;2018-06-08;2025-09-29;0;0
24610382;41182056;f0905e90-6885-4883-b24f-17541d43c386;62289510;36;2;10;0;129179004;2025-09-30;2016-07-12;2025-09-30;0;0
27687771;46335971;f85e00d2-c42a-4976-acc1-b77e6c644259;69750568;7;2;10;0;129166108;2025-09-29;2014-01-04;2025-09-29;0;0
38469856;63966614;35c009fa-c24b-4840-87c1-1cbc0c9d8703;95440548;108;2;20;38469812;129191666;2025-10-01;2016-08-18;2025-10-01;0;0
56153564;70247881;43606778-9a7b-47a2-a17e-b422816ff8de;104675128;95;2;20;42370410;129187120;2025-10-01;2019-09-04;2025-10-01;0;0
52461887;70142454;0f424b12-2566-44b4-9c7e-ef148e517c1d;104520376;60;2;20;42304306;129191469;2025-10-01;2019-09-04;2025-10-01;0;0
53679187;70172455;2072feed-7a98-47a8-ae7f-82ee7477e9f5;104566011;65;2;20;42323991;129191458;2025-10-01;2019-09-04;2025-10-01;0;0
54272851;70047403;28d08b2d-3175-46b1-82f8-c3aac6330b6f;104381797;124;2;20;42246456;129187674;2025-10-01;2019-09-04;2025-10-01;0;0
129135844;174816105;89732181-4fd2-423f-9e9c-665eba08815b;689388485;40;2;10;0;129183661;2025-09-30;2025-09-23;2025-09-30;0;0
129165587;174913808;5c1aebe1-87e6-4bd7-9072-8c4d70e74389;689634186;1Б;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129165579;174913799;7e7eebc7-cc55-44e2-9ed7-a76176b0a0af;689634171;1Б;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129165584;174913805;19c251e0-2f7d-4381-ab28-ca2576cfe0e6;689634183;1Б;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129165848;174914876;cf2e99a3-83c8-49e7-a711-be88e257f89d;689636393;50Б;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166133;174915874;c5573296-be7d-46b4-9c8b-40effe167ea1;689638210;48;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166156;174916311;6cdfe37b-c50c-46aa-b198-9ea9d86e89b7;689638800;1В;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166639;174917839;c307fc06-da20-4fcc-b8d7-d34f2fb76f19;689642582;69;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166667;174917936;03e4d94c-aced-40fe-bd70-b4cfc21607dc;689642832;274;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129166829;25540180;7ef1097f-da19-4d94-946a-b343309ded04;689643927;89;2;40;60374719;;2025-09-29;2025-09-29;2079-06-06;1;1
129166830;23078407;92eab810-8706-40ca-a45d-53f4c6ed9631;689643928;82;2;42;61788880;129166829;2025-09-29;2025-09-29;2079-06-06;1;0
129167292;174920158;7e487f2a-b354-4f07-96e7-7d5ed94e6347;689646388;11;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167755;174921208;90d3890e-b4cb-45fd-b5fb-c8aa78449689;689648242;11/3В;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129167938;174922095;1d33a1b8-cda9-4c0c-b0d6-1126777fe1c3;689649549;15;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129168852;174924371;1c6e95f3-df87-4781-8e27-d94f1d09c8a7;689652883;17;7;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170351;174929319;9ad1b7cf-8bde-464b-82c1-161fbff5b447;689667320;98;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170383;174929460;37e9eb8b-e3e3-4ab2-a61a-8664c1465deb;689667570;9А;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170464;174929849;ca41e9b3-b00d-44e8-b3cd-e7c94a0b2363;689668064;20;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170716;174930447;38bfbacf-c283-414f-8891-34a9ba3a6f94;689669572;4А;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129170971;174931353;87fad31c-bffa-446f-92a0-c3510ea0abf4;689671161;9/2;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171003;174931416;5979d755-57f1-4e2e-b0da-ee62adc4b9b8;689671351;80А;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171279;174932638;1d93720e-09a8-4835-885f-fdd69289fe4f;689673553;52;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171318;174932972;1b2f3def-99e5-4a52-af86-1a9a74203472;689674087;27/1;2;10;0;0;2025-09-29;2025-09-29;2079-06-06;1;1
129171744;18400261;71df7093-cc91-46e9-8e34-bdf66e0455a6;689676011;19;2;40;10611715;;2025-09-29;2025-09-29;2079-06-06;1;1
129171745;18378260;612864a3-f8b8-4bcc-a63b-4cd95279f0a3;689676012;19/36;2;42;10600154;129171744;2025-09-29;2025-09-29;2079-06-06;1;0
10611647;18400125;c85e3ed9-b8cf-41a5-accb-3756ea4e3eac;28965275;19;2;10;0;129171749;2025-09-29;2019-11-13;2025-09-29;0;0
