ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1324744861;2569752;457813586;689738874;8;23:30:0401001:3759;2025-09-30;2022-10-27;2025-09-30
105425861;16687643;26431570;689728431;8;23:13:1001079:71;2025-09-30;2015-10-14;2025-09-30
198515780;33925894;51673956;689735584;8;23-23-07/013/2006-276;2025-09-30;2015-10-29;2025-09-30
1644397433;72287210;689629814;0;8;23:13:1001022:56;2025-09-29;2025-09-29;2079-06-06
1644412226;174913799;689634171;0;1;2360;2025-09-29;2025-09-29;2079-06-06
1644412228;174913799;689634171;0;6;03239828001;2025-09-29;2025-09-29;2079-06-06
1644412230;174913799;689634171;0;8;23:24:0204311:777;2025-09-29;2025-09-29;2079-06-06
1644412232;174913799;689634171;0;13;036394281010000007120059000000000;2025-09-29;2025-09-29;2079-06-06
1644412236;174913800;689634175;0;1;2360;2025-09-29;2025-09-29;2079-06-06
1644412238;174913800;689634175;0;6;03239828001;2025-09-29;2025-09-29;2079-06-06
1644412240;174913800;689634175;0;8;23:24:0204311:783;2025-09-29;2025-09-29;2079-06-06
1644412242;174913800;689634175;0;13;036394281010000007130060000000000;2025-09-29;2025-09-29;2079-06-06
1644412266;174913803;689634180;0;1;2360;2025-09-29;2025-09-29;2079-06-06
1644412268;174913803;689634180;0;6;03239828001;2025-09-29;2025-09-29;2079-06-06
1644412270;174913803;689634180;0;8;23:24:0204311:780;2025-09-29;2025-09-29;2079-06-06
1644412272;174913803;689634180;0;13;036394281010000007130061000000000;2025-09-29;2025-09-29;2079-06-06
1644412309;174913808;689634186;0;1;2360;2025-09-29;2025-09-29;2079-06-06
1644412311;174913808;689634186;0;6;03239828001;2025-09-29;2025-09-29;2079-06-06
1644412313;174913808;689634186;0;8;23:24:0204311:781;2025-09-29;2025-09-29;2079-06-06
1644412315;174913808;689634186;0;13;036394281010000007130063000000000;2025-09-29;2025-09-29;2079-06-06
1644412361;174913814;689634192;0;1;2360;2025-09-29;2025-09-29;2079-06-06
1644412363;174913814;689634192;0;6;03239828001;2025-09-29;2025-09-29;2079-06-06
1644412365;174913814;689634192;0;8;23:24:0204311:782;2025-09-29;2025-09-29;2079-06-06
1644412367;174913814;689634192;0;13;036394281010000007130065000000000;2025-09-29;2025-09-29;2079-06-06
1644412283;174913805;689634183;0;1;2360;2025-09-29;2025-09-29;2079-06-06
1644412285;174913805;689634183;0;6;03239828001;2025-09-29;2025-09-29;2079-06-06
1644412287;174913805;689634183;0;8;23:24:0204311:779;2025-09-29;2025-09-29;2079-06-06
1644412289;174913805;689634183;0;13;036394281010000007130062000000000;2025-09-29;2025-09-29;2079-06-06
1644412353;174913813;689634191;0;1;2360;2025-09-29;2025-09-29;2079-06-06
1644412355;174913813;689634191;0;6;03239828001;2025-09-29;2025-09-29;2079-06-06
1644412357;174913813;689634191;0;8;23:24:0204311:778;2025-09-29;2025-09-29;2079-06-06
1644412359;174913813;689634191;0;13;036394281010000007130064000000000;2025-09-29;2025-09-29;2079-06-06
1644419408;174914876;689636393;0;1;2365;2025-09-29;2025-09-29;2079-06-06
1644419410;174914876;689636393;0;6;03255802008;2025-09-29;2025-09-29;2079-06-06
1644419412;174914876;689636393;0;8;23:33:0901000:1700;2025-09-29;2025-09-29;2079-06-06
1644419414;174914876;689636393;0;13;036554021110034000020016000000000;2025-09-29;2025-09-29;2079-06-06
1644425806;174915828;689638040;0;1;2364;2025-09-29;2025-09-29;2079-06-06
1644425808;174915828;689638040;0;6;03249819001;2025-09-29;2025-09-29;2079-06-06
1644425810;174915828;689638040;0;8;23:29:0304100:125;2025-09-29;2025-09-29;2079-06-06
