ID;OBJECTID;PARENTOBJID;CHANGEID;OKTMO;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTIVE;PATH
14731973;56597118;56591500;84637462;03701000;0;249687738;2025-10-01;2018-10-04;2025-10-01;0;294673.95237460.293930.300626.56591500.56597118
17337758;11822999;11803592;19172133;03701000;0;249623061;2025-09-29;2018-11-13;2025-09-29;0;294673.95237460.293930.303466.11803592.11822999
66236902;70144896;345662;104523169;03659413101;0;0;2025-10-01;2006-11-09;2079-06-06;0;294673.95237303.95237306.344901.345662.70144896
66241606;70151690;345662;104533549;03659413101;0;0;2025-10-01;2006-11-09;2079-06-06;0;294673.95237303.95237306.344901.345662.70151690
67341206;45439054;45437793;68446228;03657101;0;0;2025-10-01;2017-05-24;2079-06-06;0;294673.95237188.95237197.345593.344421.45437793.45439054
70405068;9339819;348415;15572169;03659413101;0;0;2025-09-30;2006-11-09;2079-06-06;0;294673.95237303.95237306.344901.348415.9339819
70527992;9493929;348415;15791571;03659413101;0;0;2025-09-30;2006-11-09;2079-06-06;0;294673.95237303.95237306.344901.348415.9493929
120109499;105482519;304310;289551288;03701000151;0;0;2025-10-01;2022-08-31;2079-06-06;0;294673.95237460.296094.304310.105482519
226079077;158376117;157779933;496813077;03701000001;0;0;2025-09-30;2023-03-23;2079-06-06;0;294673.95237460.293930.157779933.158376117
226085156;158378739;157779933;496821251;03701000001;0;0;2025-09-30;2023-03-23;2079-06-06;0;294673.95237460.293930.157779933.158378739
247187635;172763637;339624;647388434;03649419101;0;0;2025-09-30;2025-06-09;2079-06-06;0;294673.95237439.95237447.337491.339624.172763637
247187638;172763640;339624;647388437;03649419101;0;0;2025-09-30;2025-06-09;2079-06-06;0;294673.95237439.95237447.337491.339624.172763640
249187585;174525401;337813;688792262;03649419101;0;0;2025-09-30;2025-09-09;2079-06-06;0;294673.95237439.95237447.337491.337813.174525401
249487386;174816105;320752;689388485;03610407101;0;0;2025-09-30;2025-09-23;2079-06-06;0;294673.95237179.95237184.317053.320752.174816105
249585228;174912139;330019;689629815;03623428101;0;0;2025-09-29;2025-09-29;2079-06-06;1;294673.95237325.95237334.323899.330019.174912139
249585199;174912110;328150;689629785;03623428101;0;0;2025-09-29;2025-09-29;2079-06-06;1;294673.95237325.95237334.323899.328150.174912110
249585219;174912130;330279;689629805;03623428101;0;0;2025-09-29;2025-09-29;2079-06-06;1;294673.95237325.95237334.323899.330279.174912130
249585221;174912132;330279;689629807;03623428101;0;0;2025-09-29;2025-09-29;2079-06-06;1;294673.95237325.95237334.323899.330279.174912132
249585225;174912136;328769;689629811;03623428101;0;0;2025-09-29;2025-09-29;2079-06-06;1;294673.95237325.95237334.323899.328769.174912136
