OBJECTID;OBJECTGUID;CHANGEID;ISACTIVE;LEVELID;CREATEDATE;UPDATEDATE
21391804;ca139919-aa37-4473-924a-df8cf7457103;689738064;1;10;2019-07-09;2025-09-30
170112917;70ffd828-2811-436f-9cd1-37be1cb650c7;689740964;0;9;2025-02-07;2025-09-30
56597118;07be1048-9605-4003-9508-12d2f4a7e77f;689803230;1;11;2019-07-14;2025-10-01
97929052;160d2ef6-5cf5-4203-9a89-e313436addbe;689676020;1;11;2020-08-17;2025-09-29
313423;94bf222e-65f0-42e3-8c31-8fb70239d0a4;689825606;1;7;2017-12-10;2025-10-01
35944986;04a38669-ebe9-4ecc-a71c-d1539a7b0f00;689800328;1;11;2019-04-08;2025-10-01
34358574;4310f00d-54b4-402f-8827-c73962e40278;689730327;1;10;2018-10-19;2025-09-30
47752758;0c538d56-06b8-4639-a5f1-1065b0b88b6c;689741572;0;10;2017-12-17;2025-09-30
99033852;f27c4f24-9b42-42f6-9af5-f26b5a84407e;689817035;1;9;2020-11-11;2025-10-01
21425778;c7341395-2332-4fce-b981-2d3b92cff6f0;689738175;1;10;2019-07-09;2025-09-30
2262834;079cd844-6460-4076-a0ca-8a816ccf28b0;689705166;1;10;2019-07-09;2025-09-30
45438194;069f17e1-780c-4a55-8209-b070afa22fae;689695279;1;11;2019-04-08;2025-09-29
45438635;2a2f95ce-a820-49d8-aecd-4b6b2be263a1;689798055;1;11;2019-07-14;2025-10-01
86739705;dd2fd3cb-b3e1-4377-b536-c747abab961d;689802525;1;9;2018-10-17;2025-10-01
90945381;f06ad376-5884-4bde-ac91-b544cf1f0289;689737674;1;9;2019-08-23;2025-09-30
102795353;f469eada-5500-4fae-a64f-15588271ee9b;689744606;0;9;2021-10-27;2025-09-30
83429113;0d9f9a9e-ebf5-486b-9861-702f303c4ef0;689753042;1;10;2019-12-14;2025-09-30
9407540;03dc4484-af4f-4ecb-b8ac-46dc113a84d9;689728319;0;10;2017-10-12;2025-09-30
14873897;82e1a52b-d7bd-48d1-9048-932368ebcfaa;689742074;1;10;2017-12-18;2025-09-30
100105531;368da468-d8b2-4742-9c34-dfd75106db22;689813376;1;10;2021-01-28;2025-10-01
56557848;0078e0c2-0f0c-47b2-b71e-0843060e27cd;689803257;1;11;2019-07-14;2025-10-01
56558286;15bee94e-922b-4b67-98ef-10c4ca1bfa74;689825047;1;11;2019-07-14;2025-10-01
56932878;60b68f7a-1017-4310-a5b7-2d821cd72da6;689692217;0;11;2018-11-29;2025-09-29
60437914;52a057a6-1e01-4f9d-8f78-c4e5f04bb30d;689788699;1;10;2018-10-20;2025-10-01
60396970;cb197bd4-03a4-4fc2-827f-00d70bbb0170;689638235;1;10;2018-10-20;2025-09-29
60346000;e01bc367-c92a-4a77-8332-16b59d7c1d57;689786387;1;11;2019-09-25;2025-10-01
73428018;f7fc39f8-7511-4fd8-8f31-28a848a95ecc;689742133;1;10;2016-06-28;2025-09-30
41775449;2eb345de-7891-4988-a14c-d474c9051018;689737400;1;10;2019-07-07;2025-09-30
72544112;13d8e5bf-13f2-46a3-bcfd-35f3f48f98bc;689705134;1;10;2019-07-09;2025-09-30
