ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
583765337;13089431;21039423;689630631;8;24:54:0106002:443;2025-09-29;2018-10-03;2025-09-29
1311583093;54513054;448035559;689635274;8;24:54:0000000:6834;2025-09-29;2022-10-12;2025-09-29
1311603832;39278950;448056298;689629406;8;24:54:0000000:5636;2025-09-29;2022-10-12;2025-09-29
1331653951;157008214;461998904;689623263;8;24:50:0000000:38728;2025-09-29;2022-11-11;2025-09-29
1644382694;174910164;689624709;0;8;24:50:0200092:491;2025-09-29;2025-09-29;2079-06-06
1644382696;174910164;689624709;0;13;047010000000000038440006004600000;2025-09-29;2025-09-29;2079-06-06
1644382698;174910165;689624710;0;15;47;2025-09-29;2025-09-29;2079-06-06
1644382700;174910166;689624711;0;8;24:50:0200092:494;2025-09-29;2025-09-29;2079-06-06
1644382702;174910166;689624711;0;13;047010000000000038440006004800000;2025-09-29;2025-09-29;2079-06-06
1644382704;174910167;689624712;0;15;49;2025-09-29;2025-09-29;2079-06-06
1644382706;174910168;689624713;0;8;24:50:0200092:489;2025-09-29;2025-09-29;2079-06-06
1644382708;174910168;689624713;0;13;047010000000000038440006005000000;2025-09-29;2025-09-29;2079-06-06
1644382710;174910169;689624714;0;15;51;2025-09-29;2025-09-29;2079-06-06
1644382712;174910170;689624715;0;8;24:50:0200092:487;2025-09-29;2025-09-29;2079-06-06
1644382714;174910170;689624715;0;13;047010000000000038440006005200000;2025-09-29;2025-09-29;2079-06-06
1644382716;174910171;689624716;0;15;53;2025-09-29;2025-09-29;2079-06-06
1644382718;174910172;689624717;0;8;24:50:0200092:485;2025-09-29;2025-09-29;2079-06-06
1644382720;174910172;689624717;0;13;047010000000000038440006005400000;2025-09-29;2025-09-29;2079-06-06
1644382722;174910173;689624718;0;15;55;2025-09-29;2025-09-29;2079-06-06
1644382724;174910174;689624719;0;8;24:50:0200092:483;2025-09-29;2025-09-29;2079-06-06
1644382726;174910174;689624719;0;13;047010000000000038440006005600000;2025-09-29;2025-09-29;2079-06-06
1644382728;174910175;689624720;0;15;57;2025-09-29;2025-09-29;2079-06-06
1644382730;174910176;689624721;0;8;24:50:0200092:480;2025-09-29;2025-09-29;2079-06-06
1644382732;174910176;689624721;0;13;047010000000000038440006005800000;2025-09-29;2025-09-29;2079-06-06
1644382734;174910177;689624722;0;15;59;2025-09-29;2025-09-29;2079-06-06
1644382736;174910178;689624723;0;8;24:50:0200092:478;2025-09-29;2025-09-29;2079-06-06
1644382738;174910178;689624723;0;13;047010000000000038440006006000000;2025-09-29;2025-09-29;2079-06-06
1644382795;174910190;689624738;0;8;24:50:0200099:1952;2025-09-29;2025-09-29;2079-06-06
1644382797;174910190;689624738;0;13;047010000000000048440029000200000;2025-09-29;2025-09-29;2079-06-06
1644382799;174910191;689624739;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644382801;174910192;689624740;0;8;24:50:0200099:1970;2025-09-29;2025-09-29;2079-06-06
1644382803;174910192;689624740;0;13;047010000000000048440029000400000;2025-09-29;2025-09-29;2079-06-06
1644382805;174910193;689624741;0;15;5;2025-09-29;2025-09-29;2079-06-06
1644382807;174910194;689624742;0;8;24:50:0200099:1966;2025-09-29;2025-09-29;2079-06-06
1644382809;174910194;689624742;0;13;047010000000000048440029000600000;2025-09-29;2025-09-29;2079-06-06
1644382811;174910195;689624743;0;15;7;2025-09-29;2025-09-29;2079-06-06
1644382813;174910196;689624744;0;8;24:50:0200099:1962;2025-09-29;2025-09-29;2079-06-06
1644382815;174910196;689624744;0;13;047010000000000048440029000800000;2025-09-29;2025-09-29;2079-06-06
1644382817;174910197;689624745;0;15;9;2025-09-29;2025-09-29;2079-06-06
1644382819;174910198;689624746;0;8;24:50:0200099:1960;2025-09-29;2025-09-29;2079-06-06
1644382821;174910198;689624746;0;13;047010000000000048440029001000000;2025-09-29;2025-09-29;2079-06-06
1644382740;174910179;689624724;0;15;61;2025-09-29;2025-09-29;2079-06-06
1644382742;174910180;689624725;0;8;24:50:0200092:476;2025-09-29;2025-09-29;2079-06-06
1644382744;174910180;689624725;0;13;047010000000000038440006006200000;2025-09-29;2025-09-29;2079-06-06
1644382746;174910181;689624726;0;15;63;2025-09-29;2025-09-29;2079-06-06
1644382748;174910182;689624727;0;8;24:50:0200092:474;2025-09-29;2025-09-29;2079-06-06
1644382750;174910182;689624727;0;13;047010000000000038440006006400000;2025-09-29;2025-09-29;2079-06-06
1644382752;174910183;689624728;0;15;65;2025-09-29;2025-09-29;2079-06-06
1644382754;174910184;689624729;0;8;24:50:0200092:472;2025-09-29;2025-09-29;2079-06-06
1644382756;174910184;689624729;0;13;047010000000000038440006006600000;2025-09-29;2025-09-29;2079-06-06
1644382758;174910185;689624730;0;15;67;2025-09-29;2025-09-29;2079-06-06
1644382863;174910206;689624762;0;8;24:50:0600047:3391;2025-09-29;2025-09-29;2079-06-06
1644382865;174910206;689624762;0;13;047010000000000083240050000200000;2025-09-29;2025-09-29;2079-06-06
1644382867;174910207;689624763;0;15;3;2025-09-29;2025-09-29;2079-06-06
1644382882;174910211;689624771;0;8;24:50:0500163:1437;2025-09-29;2025-09-29;2079-06-06
1644382884;174910211;689624771;0;13;047010000010000033540145000300000;2025-09-29;2025-09-29;2079-06-06
1644382824;174910199;689624747;0;13;047010000000000048440029001100000;2025-09-29;2025-09-29;2079-06-06
1644382826;174910200;689624748;0;15;12;2025-09-29;2025-09-29;2079-06-06
1644382828;174910201;689624749;0;8;24:50:0200099:1954;2025-09-29;2025-09-29;2079-06-06
