ID;OBJECTID;OBJECTGUID;CHANGEID;HOUSENUM;HOUSETYPE;OPERTYPEID;PREVID;NEXTID;UPDATEDATE;STARTDATE;ENDDATE;ISACTUAL;ISACTIVE
54513811;27708394;2c3b9eba-9fb5-40f8-be10-f5bc6aee340f;42691069;140;2;20;16464239;129164361;2025-09-29;2009-07-03;2025-09-29;0;0
56364590;61486860;465ccc8b-4e55-413e-a601-231f3620910f;91811694;86а;2;20;36908596;129175380;2025-09-30;2019-12-17;2025-09-30;0;0
56977347;27674198;4f04c550-0958-4c8b-bf06-d2f0f20dad4d;42640445;128;2;20;16442047;129164359;2025-09-29;2009-07-03;2025-09-29;0;0
58495868;49336773;646fb242-f03b-4c84-abab-4d1d4d32f222;74111086;1;2;20;29509684;129187658;2025-10-01;2017-07-20;2025-10-01;0;0
59495412;27641258;728d6977-f23d-46b9-b621-82c52dd2c61c;42590256;132;2;20;16420664;129164358;2025-09-29;2009-07-03;2025-09-29;0;0
60193222;34185890;7c61b5f9-d801-4d91-a078-ac556a7868ef;52066818;6;2;20;20336588;129179898;2025-09-30;2014-01-04;2025-09-30;0;0
61959617;23212650;95531baf-fc01-4813-8b4d-eb17e6e52af4;36104590;13;2;20;13702058;129164364;2025-09-29;2009-07-03;2025-09-29;0;0
61999519;62088805;95e22320-23bb-4240-8ec3-a65eca98c340;92712430;17;2;20;37310231;129164334;2025-09-29;2014-01-04;2025-09-29;0;0
68191134;49344493;ed53ba97-446d-4c08-aeca-db59a4628cd0;74122602;3;2;20;29514466;129187659;2025-10-01;2017-07-20;2025-10-01;0;0
3383726;7027854;f44bb35b-0332-40a6-a7f3-1dd10d617584;12160509;11;2;10;0;129164421;2025-09-29;2009-07-03;2025-09-29;0;0
6034882;11310915;bd312399-417c-40c8-bb6a-c4600466804e;18425924;30;2;10;0;129164376;2025-09-29;2009-07-03;2025-09-29;0;0
7883614;14206433;d62295b3-a971-4ea0-a83d-21c30b3ca19a;22730117;57;2;10;0;129164396;2025-09-29;2009-07-03;2025-09-29;0;0
8386242;14941151;5ff1e5b4-75f9-4b9a-910c-da2a5fc3e649;23843783;16;2;10;0;129164345;2025-09-29;2009-07-03;2025-09-29;0;0
9276505;16298639;a6855ef6-0f36-4238-9d75-77d9e20184d1;25872448;20;2;10;0;129164401;2025-09-29;2009-07-03;2025-09-29;0;0
11029454;19100989;4235c4af-ed38-41f3-9ba3-d5b64eda3b44;29981555;4;2;10;0;129164382;2025-09-29;2009-07-03;2025-09-29;0;0
12440468;21215390;ae513ae3-8515-44e2-a0a9-b7042ee08056;33152271;59;2;10;0;129164363;2025-09-29;2009-07-03;2025-09-29;0;0
15264113;25750212;9f429cc3-1e58-4f18-af37-1786bf8a494c;39821871;43;2;10;0;129164404;2025-09-29;2009-07-03;2025-09-29;0;0
21496413;36156049;18a15e2a-adb4-487b-ae50-60318e211981;54894378;3;2;10;0;129164389;2025-09-29;2009-07-03;2025-09-29;0;0
24163591;40421195;afa4a907-ef77-4097-a8ab-1b2d308f940b;61181946;13а/8;5;10;0;129184564;2025-10-01;2018-12-11;2025-10-01;0;0
24752319;41417971;e658a26e-f83c-4149-ba0a-cd89d4b7dbd5;62631660;1/51;5;10;0;129175335;2025-09-30;2018-11-23;2025-09-30;0;0
