ID;OBJECTID;CHANGEID;CHANGEIDEND;TYPEID;VALUE;UPDATEDATE;STARTDATE;ENDDATE
1464658691;44490320;568046098;689702354;8;24:53:0110092:97;2025-09-30;2023-10-20;2025-09-30
1464665988;42208600;568053395;689701954;8;24:53:0110435:357;2025-09-30;2023-10-20;2025-09-30
1464692882;67680572;568080290;689701955;8;24:53:0110372:134;2025-09-30;2023-10-20;2025-09-30
1464695467;23044311;568082874;689702350;8;24:53:0110365:2504;2025-09-30;2023-10-20;2025-09-30
1464696581;44614282;568083988;689702353;8;24:53:0110092:380;2025-09-30;2023-10-20;2025-09-30
1464699127;51072416;568086534;689702356;8;24:53:0110363:3804;2025-09-30;2023-10-20;2025-09-30
1464699799;31934065;568087205;689704368;8;24:19:1101002:171;2025-09-30;2023-10-20;2025-09-30
1464699852;83105450;568087259;689702382;8;24:53:0110090:128;2025-09-30;2023-10-20;2025-09-30
1464700158;31966334;568087565;689718078;8;24:19:1101002:260;2025-09-30;2023-10-20;2025-09-30
1464701100;63175076;568088509;689702355;8;24:53:0110191:34;2025-09-30;2023-10-20;2025-09-30
1464701394;59604452;568088802;689702348;8;24:53:0110113:113;2025-09-30;2023-10-20;2025-09-30
1464708546;99473830;568095955;689701953;8;24:53:0000000:26654;2025-09-30;2023-10-20;2025-09-30
128833059;20915526;32704297;689780774;6;04231807000;2025-10-01;2018-09-26;2025-10-01
1311304917;42847076;447757383;689702387;8;24:53:0110043:38;2025-09-30;2022-10-12;2025-09-30
1311318818;67563659;447771284;689781735;8;24:54:0105003:986;2025-10-01;2022-10-12;2025-10-01
1311320523;23950689;447772991;689783967;8;24:54:0104007:1179;2025-10-01;2022-10-12;2025-10-01
1311324675;66495634;447777142;689780654;8;24:54:0106009:437;2025-10-01;2022-10-12;2025-10-01
1311910586;60496700;448362178;689708574;8;24:10:1602001:248;2025-09-30;2022-10-12;2025-09-30
1311981465;11713188;448430700;689702383;8;24:53:0110134:124;2025-09-30;2022-10-12;2025-09-30
1513987537;48885356;596011298;689730110;8;24:18:4301002:62;2025-09-30;2024-05-23;2025-09-30
1523269110;27724761;600167653;689624705;8;24:04:6302001:374;2025-09-29;2024-08-29;2025-09-29
1644373717;62546680;689623247;0;8;24:39:0119007:85;2025-09-29;2025-09-29;2079-06-06
1644373829;174909161;689623262;0;2;2461;2025-09-29;2025-09-29;2079-06-06
1644373831;174909161;689623262;0;7;04701000001;2025-09-29;2025-09-29;2079-06-06
1644373833;174909161;689623262;0;15;720;2025-09-29;2025-09-29;2079-06-06
1644373835;174909161;689623262;0;21;04701000;2025-09-29;2025-09-29;2079-06-06
1644373838;8064683;689623265;0;8;24:56:0000000:5296;2025-09-29;2025-09-29;2079-06-06
1644373915;174909169;689623281;0;2;2411;2025-09-29;2025-09-29;2079-06-06
1644373917;174909169;689623281;0;4;2444;2025-09-29;2025-09-29;2079-06-06
1644373919;174909169;689623281;0;7;04706000001;2025-09-29;2025-09-29;2079-06-06
1644373921;174909169;689623281;0;15;65;2025-09-29;2025-09-29;2079-06-06
1644373923;174909169;689623281;0;21;04706000;2025-09-29;2025-09-29;2079-06-06
1644373946;174909172;689623285;0;2;2411;2025-09-29;2025-09-29;2079-06-06
1644373948;174909172;689623285;0;4;2444;2025-09-29;2025-09-29;2079-06-06
1644373950;174909172;689623285;0;7;04706000001;2025-09-29;2025-09-29;2079-06-06
1644373952;174909172;689623285;0;15;76;2025-09-29;2025-09-29;2079-06-06
1644373954;174909172;689623285;0;21;04706000;2025-09-29;2025-09-29;2079-06-06
1644373925;174909170;689623282;0;2;2411;2025-09-29;2025-09-29;2079-06-06
1644373927;174909170;689623282;0;4;2444;2025-09-29;2025-09-29;2079-06-06
1644373929;174909170;689623282;0;7;04706000001;2025-09-29;2025-09-29;2079-06-06
1644373931;174909170;689623282;0;15;75;2025-09-29;2025-09-29;2079-06-06
1644373933;174909170;689623282;0;21;04706000;2025-09-29;2025-09-29;2079-06-06
1644373936;174909171;689623284;0;2;2411;2025-09-29;2025-09-29;2079-06-06
1644373938;174909171;689623284;0;4;2444;2025-09-29;2025-09-29;2079-06-06
1644373940;174909171;689623284;0;7;04706000001;2025-09-29;2025-09-29;2079-06-06
1644373942;174909171;689623284;0;15;25;2025-09-29;2025-09-29;2079-06-06
1644373944;174909171;689623284;0;21;04706000;2025-09-29;2025-09-29;2079-06-06
1644378819;174909720;689623971;0;1;2463;2025-09-29;2025-09-29;2079-06-06
1644378821;174909720;689623971;0;6;04401371000;2025-09-29;2025-09-29;2079-06-06
1644378823;174909720;689623971;0;8;24:50:0100487:1416;2025-09-29;2025-09-29;2079-06-06
1644378825;174909720;689623971;0;13;047010000000000107020586000000000;2025-09-29;2025-09-29;2079-06-06
1644378827;174909721;689623972;0;1;2463;2025-09-29;2025-09-29;2079-06-06
1644378829;174909721;689623972;0;6;04401371000;2025-09-29;2025-09-29;2079-06-06
1644378831;174909721;689623972;0;8;24:50:0100487:1339;2025-09-29;2025-09-29;2079-06-06
1644378833;174909721;689623972;0;13;047010000000000107020587000000000;2025-09-29;2025-09-29;2079-06-06
1644378835;174909722;689623973;0;1;2463;2025-09-29;2025-09-29;2079-06-06
1644378837;174909722;689623973;0;6;04401371000;2025-09-29;2025-09-29;2079-06-06
1644378839;174909722;689623973;0;8;24:50:0100487:524;2025-09-29;2025-09-29;2079-06-06
1644378841;174909722;689623973;0;13;047010000000000107020588000000000;2025-09-29;2025-09-29;2079-06-06
1644378843;174909723;689623974;0;1;2463;2025-09-29;2025-09-29;2079-06-06
1644378845;174909723;689623974;0;6;04401371000;2025-09-29;2025-09-29;2079-06-06
1644378847;174909723;689623974;0;8;24:50:0100487:1296;2025-09-29;2025-09-29;2079-06-06
1644378849;174909723;689623974;0;13;047010000000000107020589000000000;2025-09-29;2025-09-29;2079-06-06
1644378851;174909724;689623975;0;1;2463;2025-09-29;2025-09-29;2079-06-06
